w,taza
offer,0.125,"An Act for International Development, A Summary Presentation"
operate,0.08441558441558442,"An Act for International Development, A Summary Presentation"
policy,0.27272727272727276,"An Act for International Development, A Summary Presentation"
focusing,0.47368421052631576,"An Act for International Development, A Summary Presentation"
rates,0.1111111111111111,"An Act for International Development, A Summary Presentation"
attention,0.4347826086956522,"An Act for International Development, A Summary Presentation"
have,0.22755013077593725,"An Act for International Development, A Summary Presentation"
peculiarly,0.20689655172413796,"An Act for International Development, A Summary Presentation"
commit,0.0871559633027523,"An Act for International Development, A Summary Presentation"
concerned,0.16666666666666666,"An Act for International Development, A Summary Presentation"
areas,0.18867924528301888,"An Act for International Development, A Summary Presentation"
felt,0.05439330543933055,"An Act for International Development, A Summary Presentation"
More,0.021582733812949638,"An Act for International Development, A Summary Presentation"
placed,0.06960556844547564,"An Act for International Development, A Summary Presentation"
on,0.03424657534246575,"An Act for International Development, A Summary Presentation"
they,13000.0,"An Act for International Development, A Summary Presentation"
essential,0.75,"An Act for International Development, A Summary Presentation"
beyond,0.05555555555555555,"An Act for International Development, A Summary Presentation"
encourage,1.25,"An Act for International Development, A Summary Presentation"
encouragement,1.0,"An Act for International Development, A Summary Presentation"
time,0.04663212435233161,"An Act for International Development, A Summary Presentation"
developed,1.1415525114155252,"An Act for International Development, A Summary Presentation"
following,0.03825136612021858,"An Act for International Development, A Summary Presentation"
big,0.16666666666666666,"An Act for International Development, A Summary Presentation"
services,0.20987654320987656,"An Act for International Development, A Summary Presentation"
it,1300.0,"An Act for International Development, A Summary Presentation"
regard,0.08152173913043478,"An Act for International Development, A Summary Presentation"
out,0.12640449438202248,"An Act for International Development, A Summary Presentation"
Yet,0.06109324758842444,"An Act for International Development, A Summary Presentation"
serious,0.16564417177914112,"An Act for International Development, A Summary Presentation"
Others,1000.0,"An Act for International Development, A Summary Presentation"
activities,0.6666666666666666,"An Act for International Development, A Summary Presentation"
more,0.19424460431654675,"An Act for International Development, A Summary Presentation"
long-term,33.0,"An Act for International Development, A Summary Presentation"
induced,0.014569536423841059,"An Act for International Development, A Summary Presentation"
themselves,6000.0,"An Act for International Development, A Summary Presentation"
place,0.14381270903010035,"An Act for International Development, A Summary Presentation"
still,0.20652173913043478,"An Act for International Development, A Summary Presentation"
economic,3.2,"An Act for International Development, A Summary Presentation"
advice,0.25,"An Act for International Development, A Summary Presentation"
absorb,2.0,"An Act for International Development, A Summary Presentation"
plain,0.31683168316831684,"An Act for International Development, A Summary Presentation"
capabilities,1.1428571428571428,"An Act for International Development, A Summary Presentation"
priority,2.4,"An Act for International Development, A Summary Presentation"
world,0.1262135922330097,"An Act for International Development, A Summary Presentation"
decisive,0.2222222222222222,"An Act for International Development, A Summary Presentation"
very,0.11249999999999999,"An Act for International Development, A Summary Presentation"
Communist,2.0,"An Act for International Development, A Summary Presentation"
require,0.0963855421686747,"An Act for International Development, A Summary Presentation"
months,0.25,"An Act for International Development, A Summary Presentation"
Open,0.13526570048309178,"An Act for International Development, A Summary Presentation"
termination,0.2448979591836735,"An Act for International Development, A Summary Presentation"
Without,1000.0,"An Act for International Development, A Summary Presentation"
genuinely,0.08163265306122448,"An Act for International Development, A Summary Presentation"
course,0.07234042553191489,"An Act for International Development, A Summary Presentation"
various,0.1846153846153846,"An Act for International Development, A Summary Presentation"
Marshall,2.3333333333333335,"An Act for International Development, A Summary Presentation"
where,7000.0,"An Act for International Development, A Summary Presentation"
was,0.018226002430133656,"An Act for International Development, A Summary Presentation"
budget,1.0,"An Act for International Development, A Summary Presentation"
education,0.28205128205128205,"An Act for International Development, A Summary Presentation"
aimed,0.046448087431693985,"An Act for International Development, A Summary Presentation"
up,0.01910828025477707,"An Act for International Development, A Summary Presentation"
basic,1.2631578947368423,"An Act for International Development, A Summary Presentation"
not,0.029900332225913623,"An Act for International Development, A Summary Presentation"
suggesting,0.42105263157894735,"An Act for International Development, A Summary Presentation"
nation's,1000.0,"An Act for International Development, A Summary Presentation"
inadequacy,2.0,"An Act for International Development, A Summary Presentation"
whole,0.031180400890868598,"An Act for International Development, A Summary Presentation"
to,85000.0,"An Act for International Development, A Summary Presentation"
give,0.13203684749232344,"An Act for International Development, A Summary Presentation"
stretching,1.4666666666666668,"An Act for International Development, A Summary Presentation"
slow,0.27586206896551724,"An Act for International Development, A Summary Presentation"
required,0.18815331010452963,"An Act for International Development, A Summary Presentation"
targets,0.08280254777070063,"An Act for International Development, A Summary Presentation"
Third,0.42105263157894735,"An Act for International Development, A Summary Presentation"
realistic,1.0,"An Act for International Development, A Summary Presentation"
forward,2.2058823529411766,"An Act for International Development, A Summary Presentation"
Development,0.1875,"An Act for International Development, A Summary Presentation"
expect,0.08527131782945736,"An Act for International Development, A Summary Presentation"
Gradually,0.42857142857142855,"An Act for International Development, A Summary Presentation"
even,0.07667731629392971,"An Act for International Development, A Summary Presentation"
reasonably,0.425531914893617,"An Act for International Development, A Summary Presentation"
found,0.07214428857715431,"An Act for International Development, A Summary Presentation"
This,4000.0,"An Act for International Development, A Summary Presentation"
Moreover,4.5,"An Act for International Development, A Summary Presentation"
conditional,200.0,"An Act for International Development, A Summary Presentation"
worked,0.06065857885615252,"An Act for International Development, A Summary Presentation"
allocation,100.0,"An Act for International Development, A Summary Presentation"
erupted,0.9090909090909091,"An Act for International Development, A Summary Presentation"
raise,0.32450331125827814,"An Act for International Development, A Summary Presentation"
adopting,0.14285714285714285,"An Act for International Development, A Summary Presentation"
nor,1000.0,"An Act for International Development, A Summary Presentation"
Meantime,1.25,"An Act for International Development, A Summary Presentation"
personal,0.08,"An Act for International Development, A Summary Presentation"
program,2.3478260869565215,"An Act for International Development, A Summary Presentation"
recently,0.125,"An Act for International Development, A Summary Presentation"
and,52000.0,"An Act for International Development, A Summary Presentation"
scale,0.8125,"An Act for International Development, A Summary Presentation"
agriculture,0.6923076923076923,"An Act for International Development, A Summary Presentation"
while,0.044444444444444446,"An Act for International Development, A Summary Presentation"
sectors,2.0,"An Act for International Development, A Summary Presentation"
go,0.09266409266409267,"An Act for International Development, A Summary Presentation"
conceived,0.0660377358490566,"An Act for International Development, A Summary Presentation"
policies,1.090909090909091,"An Act for International Development, A Summary Presentation"
taken,0.05569205569205569,"An Act for International Development, A Summary Presentation"
damaging,0.6666666666666666,"An Act for International Development, A Summary Presentation"
upon,2000.0,"An Act for International Development, A Summary Presentation"
with,17000.0,"An Act for International Development, A Summary Presentation"
set,0.22889305816135086,"An Act for International Development, A Summary Presentation"
incentives,200.0,"An Act for International Development, A Summary Presentation"
efforts,0.31683168316831684,"An Act for International Development, A Summary Presentation"
social,1.0666666666666667,"An Act for International Development, A Summary Presentation"
developmental,100.0,"An Act for International Development, A Summary Presentation"
resources,2.2,"An Act for International Development, A Summary Presentation"
training,0.09411764705882353,"An Act for International Development, A Summary Presentation"
D,1.125,"An Act for International Development, A Summary Presentation"
view,0.24752475247524755,"An Act for International Development, A Summary Presentation"
an,800.0,"An Act for International Development, A Summary Presentation"
recognized,0.21839080459770116,"An Act for International Development, A Summary Presentation"
depart,0.10152284263959391,"An Act for International Development, A Summary Presentation"
established,0.07102272727272728,"An Act for International Development, A Summary Presentation"
assessment,1.0,"An Act for International Development, A Summary Presentation"
Thus,0.06792452830188679,"An Act for International Development, A Summary Presentation"
its,400.0,"An Act for International Development, A Summary Presentation"
factories,0.6666666666666666,"An Act for International Development, A Summary Presentation"
them,10000.0,"An Act for International Development, A Summary Presentation"
threefold,0.6,"An Act for International Development, A Summary Presentation"
entire,0.0967741935483871,"An Act for International Development, A Summary Presentation"
interdependent,1.5,"An Act for International Development, A Summary Presentation"
persuaded,0.8999999999999999,"An Act for International Development, A Summary Presentation"
exceed,0.3170731707317073,"An Act for International Development, A Summary Presentation"
sentiment,0.05555555555555555,"An Act for International Development, A Summary Presentation"
considerable,0.3333333333333333,"An Act for International Development, A Summary Presentation"
new,0.11282051282051282,"An Act for International Development, A Summary Presentation"
broad,0.5964912280701754,"An Act for International Development, A Summary Presentation"
effective,0.14685314685314688,"An Act for International Development, A Summary Presentation"
basis,0.47058823529411764,"An Act for International Development, A Summary Presentation"
India,2.0,"An Act for International Development, A Summary Presentation"
run,0.4750430292598968,"An Act for International Development, A Summary Presentation"
Neither,0.1,"An Act for International Development, A Summary Presentation"
multi-year,1000.0,"An Act for International Development, A Summary Presentation"
statements,0.3333333333333333,"An Act for International Development, A Summary Presentation"
capital,0.3,"An Act for International Development, A Summary Presentation"
subject,0.0901639344262295,"An Act for International Development, A Summary Presentation"
:,1000.0,"An Act for International Development, A Summary Presentation"
longrun,1000.0,"An Act for International Development, A Summary Presentation"
fiscal,2.0,"An Act for International Development, A Summary Presentation"
On,0.00228310502283105,"An Act for International Development, A Summary Presentation"
reasons,0.4888888888888889,"An Act for International Development, A Summary Presentation"
decide,0.5,"An Act for International Development, A Summary Presentation"
able,0.16666666666666666,"An Act for International Development, A Summary Presentation"
greatly,0.14285714285714285,"An Act for International Development, A Summary Presentation"
forms,0.0852575488454707,"An Act for International Development, A Summary Presentation"
administrative,2.0,"An Act for International Development, A Summary Presentation"
surveying,0.4666666666666667,"An Act for International Development, A Summary Presentation"
regulatory,4.0,"An Act for International Development, A Summary Presentation"
honesty,14.0,"An Act for International Development, A Summary Presentation"
diversion,4.0,"An Act for International Development, A Summary Presentation"
calls,0.2624113475177305,"An Act for International Development, A Summary Presentation"
section,0.14492753623188406,"An Act for International Development, A Summary Presentation"
number,0.1910828025477707,"An Act for International Development, A Summary Presentation"
likely,0.1320754716981132,"An Act for International Development, A Summary Presentation"
others,4000.0,"An Act for International Development, A Summary Presentation"
winning,0.3076923076923077,"An Act for International Development, A Summary Presentation"
common,0.28260869565217395,"An Act for International Development, A Summary Presentation"
excessive,1.1666666666666667,"An Act for International Development, A Summary Presentation"
mobilizing,1.4,"An Act for International Development, A Summary Presentation"
enterprise,2.0,"An Act for International Development, A Summary Presentation"
other,0.1282051282051282,"An Act for International Development, A Summary Presentation"
providing,0.15789473684210528,"An Act for International Development, A Summary Presentation"
skillful,0.05333333333333334,"An Act for International Development, A Summary Presentation"
own,0.04612850082372323,"An Act for International Development, A Summary Presentation"
cooperation,0.25,"An Act for International Development, A Summary Presentation"
technological,0.16666666666666666,"An Act for International Development, A Summary Presentation"
also,0.04098360655737705,"An Act for International Development, A Summary Presentation"
monetary,200.0,"An Act for International Development, A Summary Presentation"
confronted,0.04081632653061224,"An Act for International Development, A Summary Presentation"
foreseeing,1.75,"An Act for International Development, A Summary Presentation"
show,0.1087866108786611,"An Act for International Development, A Summary Presentation"
obvious,0.09090909090909091,"An Act for International Development, A Summary Presentation"
do,0.11857707509881422,"An Act for International Development, A Summary Presentation"
tunnel,100.0,"An Act for International Development, A Summary Presentation"
that,20000.0,"An Act for International Development, A Summary Presentation"
push,0.20952380952380953,"An Act for International Development, A Summary Presentation"
supporting,0.1528925619834711,"An Act for International Development, A Summary Presentation"
Encouraging,0.4666666666666667,"An Act for International Development, A Summary Presentation"
vary,0.19047619047619047,"An Act for International Development, A Summary Presentation"
major,0.2631578947368421,"An Act for International Development, A Summary Presentation"
substantially,0.034482758620689655,"An Act for International Development, A Summary Presentation"
C,0.6865671641791045,"An Act for International Development, A Summary Presentation"
barely,0.043478260869565216,"An Act for International Development, A Summary Presentation"
significant,0.14285714285714285,"An Act for International Development, A Summary Presentation"
dealing,0.17488789237668162,"An Act for International Development, A Summary Presentation"
underdeveloped,1.0,"An Act for International Development, A Summary Presentation"
rapid,0.5,"An Act for International Development, A Summary Presentation"
threshold,0.23076923076923078,"An Act for International Development, A Summary Presentation"
skilled,0.5,"An Act for International Development, A Summary Presentation"
systematic,6.0,"An Act for International Development, A Summary Presentation"
recipient,200.0,"An Act for International Development, A Summary Presentation"
aspects,0.0625,"An Act for International Development, A Summary Presentation"
promote,1.7142857142857144,"An Act for International Development, A Summary Presentation"
technical,1.0,"An Act for International Development, A Summary Presentation"
States,0.15267175572519084,"An Act for International Development, A Summary Presentation"
appraise,0.23333333333333334,"An Act for International Development, A Summary Presentation"
At,0.0065040650406504065,"An Act for International Development, A Summary Presentation"
completed,0.6666666666666666,"An Act for International Development, A Summary Presentation"
officialdom,100.0,"An Act for International Development, A Summary Presentation"
information,0.25,"An Act for International Development, A Summary Presentation"
exist,0.006587615283267457,"An Act for International Development, A Summary Presentation"
margin,1.5,"An Act for International Development, A Summary Presentation"
assistance,1.1538461538461537,"An Act for International Development, A Summary Presentation"
bring,0.04047619047619047,"An Act for International Development, A Summary Presentation"
commence,0.07333333333333333,"An Act for International Development, A Summary Presentation"
U.S.,1.064516129032258,"An Act for International Development, A Summary Presentation"
balance-of-payments,1000.0,"An Act for International Development, A Summary Presentation"
within,0.06349206349206349,"An Act for International Development, A Summary Presentation"
countries,1.1842105263157894,"An Act for International Development, A Summary Presentation"
things,0.030303030303030304,"An Act for International Development, A Summary Presentation"
increasingly,0.75,"An Act for International Development, A Summary Presentation"
help,0.42857142857142855,"An Act for International Development, A Summary Presentation"
self-sustaining,100.0,"An Act for International Development, A Summary Presentation"
ready,0.04639175257731958,"An Act for International Development, A Summary Presentation"
establishing,0.17272727272727273,"An Act for International Development, A Summary Presentation"
project,0.21224489795918366,"An Act for International Development, A Summary Presentation"
reports,0.11382113821138211,"An Act for International Development, A Summary Presentation"
can,3.5434173669467786,"An Act for International Development, A Summary Presentation"
attempt,0.171875,"An Act for International Development, A Summary Presentation"
development,4.125,"An Act for International Development, A Summary Presentation"
economy,3.0,"An Act for International Development, A Summary Presentation"
despite,0.8,"An Act for International Development, A Summary Presentation"
integral,0.411764705882353,"An Act for International Development, A Summary Presentation"
correct,0.13245033112582782,"An Act for International Development, A Summary Presentation"
preceding,0.2058823529411765,"An Act for International Development, A Summary Presentation"
population,0.20689655172413793,"An Act for International Development, A Summary Presentation"
responding,0.12121212121212122,"An Act for International Development, A Summary Presentation"
met,0.13989637305699482,"An Act for International Development, A Summary Presentation"
lead,0.08333333333333333,"An Act for International Development, A Summary Presentation"
transition,0.45454545454545453,"An Act for International Development, A Summary Presentation"
dramatic,0.25,"An Act for International Development, A Summary Presentation"
provide,0.31578947368421056,"An Act for International Development, A Summary Presentation"
External,0.2222222222222222,"An Act for International Development, A Summary Presentation"
supply,0.22448979591836737,"An Act for International Development, A Summary Presentation"
free,0.47058823529411764,"An Act for International Development, A Summary Presentation"
decisions,0.4,"An Act for International Development, A Summary Presentation"
there,0.08695652173913043,"An Act for International Development, A Summary Presentation"
entered,0.3278688524590164,"An Act for International Development, A Summary Presentation"
requirement,0.1346153846153846,"An Act for International Development, A Summary Presentation"
It,500.0,"An Act for International Development, A Summary Presentation"
nearing,0.2058823529411765,"An Act for International Development, A Summary Presentation"
attain,0.10429447852760737,"An Act for International Development, A Summary Presentation"
objectives,0.7,"An Act for International Development, A Summary Presentation"
case,0.28699551569506726,"An Act for International Development, A Summary Presentation"
goal,0.13793103448275862,"An Act for International Development, A Summary Presentation"
done,0.04078549848942598,"An Act for International Development, A Summary Presentation"
institutions,2.2857142857142856,"An Act for International Development, A Summary Presentation"
meeting,0.15165876777251186,"An Act for International Development, A Summary Presentation"
expanded,2.571428571428571,"An Act for International Development, A Summary Presentation"
over,0.25520833333333337,"An Act for International Development, A Summary Presentation"
goals,0.20689655172413793,"An Act for International Development, A Summary Presentation"
plans,0.24242424242424243,"An Act for International Development, A Summary Presentation"
of,88000.0,"An Act for International Development, A Summary Presentation"
being,0.034408602150537634,"An Act for International Development, A Summary Presentation"
includes,0.6315789473684211,"An Act for International Development, A Summary Presentation"
image,0.11822660098522167,"An Act for International Development, A Summary Presentation"
orders,0.12138728323699423,"An Act for International Development, A Summary Presentation"
move,0.20560747663551404,"An Act for International Development, A Summary Presentation"
spectrum,100.0,"An Act for International Development, A Summary Presentation"
collected,2.0,"An Act for International Development, A Summary Presentation"
Nevertheless,0.04615384615384615,"An Act for International Development, A Summary Presentation"
They,3000.0,"An Act for International Development, A Summary Presentation"
important,0.6,"An Act for International Development, A Summary Presentation"
These,1000.0,"An Act for International Development, A Summary Presentation"
Pakistan,100.0,"An Act for International Development, A Summary Presentation"
responsible,0.3333333333333333,"An Act for International Development, A Summary Presentation"
requires,0.04819277108433735,"An Act for International Development, A Summary Presentation"
sources,0.2857142857142857,"An Act for International Development, A Summary Presentation"
schemes,0.34615384615384615,"An Act for International Development, A Summary Presentation"
short,0.09836065573770493,"An Act for International Development, A Summary Presentation"
so-called,0.21428571428571427,"An Act for International Development, A Summary Presentation"
vitally,100.0,"An Act for International Development, A Summary Presentation"
may,0.21301775147928992,"An Act for International Development, A Summary Presentation"
evaluation,1.0,"An Act for International Development, A Summary Presentation"
infant,0.15,"An Act for International Development, A Summary Presentation"
bulk,0.23809523809523808,"An Act for International Development, A Summary Presentation"
same,0.0898876404494382,"An Act for International Development, A Summary Presentation"
withhold,100.0,"An Act for International Development, A Summary Presentation"
E,1.1111111111111112,"An Act for International Development, A Summary Presentation"
inflation,200.0,"An Act for International Development, A Summary Presentation"
ultimately,0.23809523809523808,"An Act for International Development, A Summary Presentation"
luxury,3.0,"An Act for International Development, A Summary Presentation"
Cuba,100.0,"An Act for International Development, A Summary Presentation"
support,0.48387096774193544,"An Act for International Development, A Summary Presentation"
practices,0.1015625,"An Act for International Development, A Summary Presentation"
But,0.00648508430609598,"An Act for International Development, A Summary Presentation"
defects,0.7777777777777777,"An Act for International Development, A Summary Presentation"
reform,6.0,"An Act for International Development, A Summary Presentation"
concept,0.3333333333333333,"An Act for International Development, A Summary Presentation"
Only,0.03680981595092024,"An Act for International Development, A Summary Presentation"
There,0.043478260869565216,"An Act for International Development, A Summary Presentation"
rarely,0.4444444444444444,"An Act for International Development, A Summary Presentation"
making,0.09806629834254144,"An Act for International Development, A Summary Presentation"
like,0.033846153846153845,"An Act for International Development, A Summary Presentation"
limit,0.3181818181818182,"An Act for International Development, A Summary Presentation"
tool,4.333333333333333,"An Act for International Development, A Summary Presentation"
true,0.2909090909090909,"An Act for International Development, A Summary Presentation"
tapping,0.8666666666666667,"An Act for International Development, A Summary Presentation"
5,0.21311475409836064,"An Act for International Development, A Summary Presentation"
considerably,0.034482758620689655,"An Act for International Development, A Summary Presentation"
therefore,0.045112781954887216,"An Act for International Development, A Summary Presentation"
