w,vector_semantico
make,"['take_in', 'make_believe', 'take_a_shit', 'relieve_oneself', 'create', 'realize', 'spend_a_penny', 'bring_in', 'name', 'stimulate', 'establish', 'piddle', 'make_up', 'puddle', 'cause', 'clear', 'construct', 'work', 'pass_water', 'take_a_crap', 'fix', 'constitute', 'pee', 'nominate', 'draw', 'urinate', 'score', 'pull_in', 'defecate', 'get', 'shuffle', 'take', 'progress_to', 'brand', 'give', 'hold', 'throw', 'induce', 'pee-pee', 'take_a_leak', 'shuffling', 'micturate', 'have', 'wee', 'do', 'pretend', 'gain', 'earn', 'get_to', 'seduce', 'cook', 'crap', 'form', 'hit', 'stool', 'ca-ca', 'piss', 'wee-wee', 'make_water', 'shit', 'make', 'reach', 'attain', 'ready', 'realise', 'produce', 'arrive_at', 'prepare', 'build', 'lay_down']",Handbook of Federal Aids to Communities. U.S. Department of
are,"['comprise', 'follow', 'embody', 'constitute', 'be', 'ar', 'equal', 'personify', 'cost', 'are', 'make_up', 'live', 'represent', 'exist']",Handbook of Federal Aids to Communities. U.S. Department of
Business,"['byplay', 'business_organization', 'commercial_enterprise', 'job', 'clientele', 'patronage', 'occupation', 'business_concern', 'line', 'stage_business', 'business_organisation', 'business_enterprise', 'line_of_work', 'business_sector', 'concern', 'business']",Handbook of Federal Aids to Communities. U.S. Department of
Pooling,['pool'],Handbook of Federal Aids to Communities. U.S. Department of
under,"['under', 'below', 'nether']",Handbook of Federal Aids to Communities. U.S. Department of
Can,"['ass', 'tush', 'backside', 'give_the_sack', 'stern', 'bathroom', 'behind', 'canful', 'butt', 'nates', 'fundament', 'tail_end', 'privy', 'keister', 'send_away', 'dismiss', 'rear_end', 'fanny', 'give_the_axe', 'lav', 'potty', 'arse', 'john', 'fire', 'hindquarters', 'seat', 'rump', 'bottom', 'sack', 'throne', 'give_notice', 'rear', 'lavatory', 'displace', 'derriere', 'terminate', 'posterior', 'buttocks', 'can', 'can_buoy', 'pot', 'stool', 'crapper', 'buns', 'tail', 'tin', 'tooshie', 'commode', 'put_up', 'toilet', 'tin_can', 'force_out', 'hind_end', 'prat', 'bum']",Handbook of Federal Aids to Communities. U.S. Department of
anticipated,"['predict', 'call', 'promise', 'foreknow', 'forestall', 'look_for', 'counter', 'hoped-for', 'anticipated', 'foretell', 'awaited', 'prognosticate', 'forebode', 'expect', 'previse', 'look_to', 'foresee', 'anticipate']",Handbook of Federal Aids to Communities. U.S. Department of
desired,"['in_demand', 'want', 'trust', 'sought_after', 'desired', 'coveted', 'craved', 'desire', 'hope']",Handbook of Federal Aids to Communities. U.S. Department of
Pa.,[],Handbook of Federal Aids to Communities. U.S. Department of
mineral,['mineral'],Handbook of Federal Aids to Communities. U.S. Department of
avail,"['avail', 'help', 'service']",Handbook of Federal Aids to Communities. U.S. Department of
National,"['national', 'subject', 'home', 'interior', 'internal']",Handbook of Federal Aids to Communities. U.S. Department of
Colo.,[],Handbook of Federal Aids to Communities. U.S. Department of
Developing,"['rise', 'development', 'develop', 'break', 'modernise', 'evolve', 'germinate', 'spring_up', 'grow', 'formulate', 'originate', 'explicate', 'educate', 'underdeveloped', 'get', 'modernize', 'build_up', 'acquire', 'developing', 'make_grow', 'train', 'recrudesce', 'arise', 'produce', 'prepare', 'uprise']",Handbook of Federal Aids to Communities. U.S. Department of
reviewing,"['brush_up', 'review', 'look_back', 'critique', 'reexamine', 'retrospect', 'refresh', 'survey', 'go_over']",Handbook of Federal Aids to Communities. U.S. Department of
out,"['stunned', 'knocked_out', 'forbidden', 'taboo', 'extinct', 'come_out_of_the_closet', 'prohibited', ""KO'd"", 'proscribed', 'kayoed', 'tabu', 'verboten', 'out', 'away', 'come_out']",Handbook of Federal Aids to Communities. U.S. Department of
material,"['fabric', 'material', 'real', 'substantial', 'cloth', 'textile', 'stuff', 'corporeal']",Handbook of Federal Aids to Communities. U.S. Department of
system,"['arrangement', 'system', 'organization', 'scheme', 'organisation', 'system_of_rules']",Handbook of Federal Aids to Communities. U.S. Department of
individuals,"['mortal', 'soul', 'individual', 'person', 'somebody', 'someone']",Handbook of Federal Aids to Communities. U.S. Department of
may,"['Crataegus_oxycantha', 'May', 'English_hawthorn', 'may', 'whitethorn', 'Crataegus_laevigata']",Handbook of Federal Aids to Communities. U.S. Department of
normal,"['rule', 'pattern', 'normal', 'convention', 'formula']",Handbook of Federal Aids to Communities. U.S. Department of
Printed,"['print', 'impress', 'publish']",Handbook of Federal Aids to Communities. U.S. Department of
Introduction,"['unveiling', 'introduction', 'creation', 'launching', 'first_appearance', 'insertion', 'origination', 'initiation', 'debut', 'intro', 'founding', 'foundation', 'institution', 'instauration', 'innovation', 'entry', 'intromission', 'presentation']",Handbook of Federal Aids to Communities. U.S. Department of
Practical,"['hardheaded', 'pragmatic', 'virtual', 'hard-nosed', 'practical']",Handbook of Federal Aids to Communities. U.S. Department of
sales,"['sales_event', 'sales_agreement', 'sales', 'cut-rate_sale', 'sale', 'gross_revenue', 'gross_sales']",Handbook of Federal Aids to Communities. U.S. Department of
organizations,"['establishment', 'arrangement', 'system', 'organization', 'governing_body', 'brass', 'organisation', 'administration', 'governance', 'formation', 'constitution']",Handbook of Federal Aids to Communities. U.S. Department of
supply,"['render', 'issue', 'furnish', 'provide', 'add', 'cater', 'provision', 'supplying', 'ply', 'supply', 'append']",Handbook of Federal Aids to Communities. U.S. Department of
A,"['group_A', 'ampere', 'angstrom_unit', 'type_A', 'deoxyadenosine_monophosphate', 'amp', 'antiophthalmic_factor', 'a', 'vitamin_A', 'angstrom', 'A', 'adenine', 'axerophthol']",Handbook of Federal Aids to Communities. U.S. Department of
authority,"['self-assurance', 'government_agency', 'agency', 'federal_agency', 'potency', 'dominance', 'bureau', 'authorisation', 'assurance', 'confidence', 'self-confidence', 'office', 'sanction', 'sureness', 'authority', 'say-so', 'authorization']",Handbook of Federal Aids to Communities. U.S. Department of
sources,"['author', 'root', 'source', 'seed', 'origin', 'germ', 'rootage', 'beginning', 'reference', 'reservoir', 'generator', 'informant']",Handbook of Federal Aids to Communities. U.S. Department of
Purpose,"['design', 'aim', 'use', 'role', 'purport', 'resolve', 'intention', 'intent', 'purpose', 'determination', 'propose', 'function']",Handbook of Federal Aids to Communities. U.S. Department of
dominant,"['rife', 'predominant', 'dominant_allele', 'prevalent', 'dominant', 'prevailing']",Handbook of Federal Aids to Communities. U.S. Department of
Requirements,"['requisite', 'requirement', 'prerequisite', 'essential', 'necessary', 'necessity', 'demand']",Handbook of Federal Aids to Communities. U.S. Department of
interests,"['matter_to', 'worry', 'involvement', 'interestingness', 'occupy', 'pastime', 'interest', 'sake', 'concern', 'interest_group', 'pursuit', 'stake']",Handbook of Federal Aids to Communities. U.S. Department of
understand,"['understand', 'sympathize', 'see', 'read', 'realize', 'interpret', 'infer', 'translate', 'realise', 'sympathise', 'empathize', 'empathise']",Handbook of Federal Aids to Communities. U.S. Department of
the,[],Handbook of Federal Aids to Communities. U.S. Department of
Wash.,[],Handbook of Federal Aids to Communities. U.S. Department of
