w,vector_semantico
file,"['data_file', 'file', 'file_away', 'Indian_file', 'filing_cabinet', 'register', 'single_file', 'charge', 'lodge', 'file_cabinet']",How to design your Interlocking Frame
tighten,"['constrain', 'reduce', 'tighten', 'fasten', 'tighten_up', 'stiffen']",How to design your Interlocking Frame
When,[],How to design your Interlocking Frame
19,"['nineteen', 'xix', '19', 'XIX']",How to design your Interlocking Frame
temporary,"['irregular', 'temporary', 'temporary_worker', 'impermanent', 'temp']",How to design your Interlocking Frame
tool,"['prick', 'peter', 'puppet', 'pecker', 'tool', 'cock', 'joyride', 'tool_around', 'instrument', 'shaft', 'putz', 'creature', 'dick']",How to design your Interlocking Frame
finished,"['cease', 'land_up', 'finish', 'wind_up', 'fetch_up', 'stop', 'finished', 'terminate', 'ruined', 'finish_up', 'polish_off', 'end_up', 'eat_up', 'end', 'complete']",How to design your Interlocking Frame
main,"['chief', 'primary', 'independent', 'main', 'master', 'briny', 'principal']",How to design your Interlocking Frame
seated,"['sit_down', 'invest', 'sitting', 'induct', 'seat', 'sit', 'seated']",How to design your Interlocking Frame
loose,"['unaffixed', 'unloose', 'escaped', 'easy', 'relax', 'at_large', 'liberal', 'idle', 'on_the_loose', 'loose', 'wanton', 'slack', 'free', 'light', 'release', 'unleash', 'informal', 'sluttish', 'loosen', 'unloosen', 'promiscuous', 'let_loose', 'liberate', 'lax', 'open']",How to design your Interlocking Frame
six,"['Captain_Hicks', 'six', 'VI', 'hexad', 'sextuplet', 'half_dozen', 'sextet', 'sestet', 'sixer', 'vi', 'sise', 'half-dozen', '6', 'half_a_dozen', 'six-spot']",How to design your Interlocking Frame
V-shaped,['v-shaped'],How to design your Interlocking Frame
devices,"['devices', 'gimmick', 'twist', 'device']",How to design your Interlocking Frame
Close,"['closing', 'stuffy', 'finis', 'fill_up', 'snug', 'tight', 'shut_down', 'closelipped', 'come_together', 'closely', 'faithful', 'closemouthed', 'conclude', 'last', 'ending', 'skinny', 'conclusion', 'finale', 'shut', 'secretive', 'penny-pinching', 'fold', 'cheeseparing', 'end', 'close', 'near', 'tightlipped', 'close-fitting', 'close_up', 'nigh', 'stopping_point', 'finish', 'airless', 'confining', 'closing_curtain', 'close_down', 'unaired']",How to design your Interlocking Frame
five,"['Phoebe', 'Little_Phoebe', 'v', 'quint', 'V', 'quintet', 'five-spot', 'fivesome', 'fin', 'basketball_team', '5', 'pentad', 'five', 'quintuplet', 'cinque']",How to design your Interlocking Frame
half,"['half', 'one-half']",How to design your Interlocking Frame
lines,"['describe', 'line', 'railway_line', 'production_line', 'assembly_line', 'lineage', 'credit_line', 'line_of_merchandise', 'draw', 'furrow', 'subscriber_line', 'argumentation', 'pedigree', 'parentage', 'demarcation', 'pipeline', 'communication_channel', 'transmission_line', 'wrinkle', 'dividing_line', 'line_of_credit', 'cable', 'short_letter', 'course', 'business_line', 'business', 'line_of_reasoning', 'descent', 'air', 'crinkle', 'telephone_line', 'channel', 'rail_line', 'stock', 'line_of_business', 'personal_line_of_credit', 'run_along', 'argument', 'logical_argument', 'line_of_products', 'job', 'telephone_circuit', 'billet', 'line_of_descent', 'crease', 'origin', 'melodic_line', 'ancestry', 'personal_credit_line', 'agate_line', 'product_line', 'delineate', 'contrast', 'tune', 'strain', 'melody', 'seam', 'phone_line', 'stemma', 'occupation', 'melodic_phrase', 'note', 'blood', 'line_of_work', 'trace', 'bank_line', 'bloodline', 'blood_line']",How to design your Interlocking Frame
spring,"['fountain', 'rebound', 'outflow', 'take_a_hop', 'resile', 'recoil', 'jump', 'ricochet', 'natural_spring', 'bound', 'leaping', 'form', 'springiness', 'take_shape', 'reverberate', 'spring', 'saltation', 'outpouring', 'leap', 'springtime', 'give', 'bounce', 'take_form']",How to design your Interlocking Frame
aren't,[],How to design your Interlocking Frame
wheels,"['roll', 'wheel_around', 'roulette_wheel', 'pedal', 'steering_wheel', 'rack', 'bicycle', 'bike', 'cycle', 'wheel']",How to design your Interlocking Frame
:,[],How to design your Interlocking Frame
match,"['cope_with', 'play_off', 'pair', 'correspond', 'meet', 'mates', 'peer', 'equalise', 'friction_match', 'catch', 'equalize', 'mate', 'equate', 'couple', 'fit', 'rival', 'check', 'twin', 'jibe', 'lucifer', 'oppose', 'equal', 'agree', 'match', 'gibe', 'compeer', 'touch', 'tally', 'pit']",How to design your Interlocking Frame
angles,"['slant', 'weight', 'tip', 'lean', 'fish', 'Angle', 'angle', 'tilt']",How to design your Interlocking Frame
any,"['whatever', 'any', 'whatsoever']",How to design your Interlocking Frame
Tap,"['pat', 'spigot', 'tip', 'water_faucet', 'solicit', 'rap', 'tap', 'exploit', 'pink', 'hydrant', 'knock', 'strike', 'intercept', 'tapdance', 'dab', 'bug', 'beg', 'wiretap', 'water_tap']",How to design your Interlocking Frame
them,[],How to design your Interlocking Frame
``,[],How to design your Interlocking Frame
locating,"['site', 'emplacement', 'localisation', 'place', 'placement', 'turn_up', 'locate', 'localization', 'settle', 'locating', 'location', 'situate', 'position', 'fix', 'positioning']",How to design your Interlocking Frame
help,"['assistance', 'serve', 'assistant', 'aid', 'avail', 'help_oneself', 'helper', 'service', 'facilitate', 'supporter', 'help', 'assist']",How to design your Interlocking Frame
through,"['through_and_through', 'done', 'through', 'through_with']",How to design your Interlocking Frame
'',[],How to design your Interlocking Frame
describe,"['describe', 'line', 'draw', 'depict', 'distinguish', 'name', 'key_out', 'report', 'trace', 'identify', 'key', 'delineate', 'account', 'discover']",How to design your Interlocking Frame
signal,"['indicate', 'signalise', 'bespeak', 'sign', 'signal', 'point', 'signaling', 'signalize', 'betoken']",How to design your Interlocking Frame
mechanical,"['mechanical', 'mechanically_skillful']",How to design your Interlocking Frame
files,"['data_file', 'file', 'file_away', 'Indian_file', 'filing_cabinet', 'register', 'single_file', 'charge', 'lodge', 'file_cabinet']",How to design your Interlocking Frame
counter-drill,['counter-drill'],How to design your Interlocking Frame
2-3/4'',[],How to design your Interlocking Frame
Tend,"['run', 'tend', 'be_given', 'lean', 'incline']",How to design your Interlocking Frame
Paul,"['Saul_of_Tarsus', 'Saul', 'Paul_the_Apostle', 'St._Paul', 'Apostle_Paul', 'Paul', 'Apostle_of_the_Gentiles', 'Alice_Paul', 'Saint_Paul']",How to design your Interlocking Frame
numbers,"['number', 'numbers_racket', 'total', 'telephone_number', 'identification_number', 'list', 'figure', 'numbers', 'issue', 'numbers_game', 'numerate', 'amount', 'count', 'numbers_pool', 'Numbers', 'keep_down', 'add_up', 'phone_number', 'enumerate', 'act', 'bit', 'come', 'routine', 'turn', 'Book_of_Numbers', 'numeral']",How to design your Interlocking Frame
red,"['red-faced', 'bolshie', 'reddish', 'redness', 'Bolshevik', 'reddened', 'red', 'flushed', 'scarlet', 'cherry-red', 'bolshy', 'ruby', 'loss', 'Red_River', 'cerise', 'Red', 'carmine', 'ruby-red', 'red_ink', 'crimson', 'violent', 'blood-red', 'ruddy', 'Marxist', 'cherry']",How to design your Interlocking Frame
Remove,"['get_rid_of', 'move_out', 'slay', 'take', 'remove', 'dispatch', 'withdraw', 'take_away', 'bump_off', 'absent', 'off', 'transfer', 'murder', 'hit', 'polish_off', 'take_out']",How to design your Interlocking Frame
except,"['exclude', 'demur', 'leave_off', 'leave_out', 'except', 'take_out', 'omit']",How to design your Interlocking Frame
3-48,[],How to design your Interlocking Frame
you'll,[],How to design your Interlocking Frame
Larson's,[],How to design your Interlocking Frame
safe,"['dependable', 'safety', 'safe', 'condom', 'prophylactic', 'secure', 'rubber', 'good']",How to design your Interlocking Frame
signaling,"['indicate', 'signalise', 'bespeak', 'sign', 'signal', 'point', 'signaling', 'signalize', 'betoken']",How to design your Interlocking Frame
tappet,['tappet'],How to design your Interlocking Frame
four,"['iv', 'quartet', 'four-spot', 'quadruplet', '4', 'IV', 'four', 'quaternary', 'quatern', 'quaternity', 'foursome', 'tetrad', 'Little_Joe', 'quaternion']",How to design your Interlocking Frame
has,"['sustain', 'experience', 'give_birth', 'make', 'take_in', 'hour_angle', 'suffer', 'have_got', 'cause', 'accept', 'own', 'have', 'feature', 'ingest', 'consume', 'get', 'bear', 'throw', 'induce', 'let', 'stimulate', 'birth', 'possess', 'take', 'deliver', 'give', 'HA', 'hold', 'receive']",How to design your Interlocking Frame
engineer,"['railroad_engineer', 'direct', 'applied_scientist', 'organize', 'engine_driver', 'organise', 'orchestrate', 'technologist', 'mastermind', 'locomotive_engineer', 'engineer']",How to design your Interlocking Frame
prevent,"['forestall', 'keep', 'preclude', 'foreclose', 'prevent', 'forbid']",How to design your Interlocking Frame
reassemble,['reassemble'],How to design your Interlocking Frame
job,"['line', 'Book_of_Job', 'job', 'occupation', 'problem', 'business', 'farm_out', 'line_of_work', 'task', 'Job', 'chore', 'caper', 'speculate', 'subcontract']",How to design your Interlocking Frame
design,"['conception', 'designing', 'intent', 'intention', 'innovation', 'design', 'excogitation', 'contrive', 'blueprint', 'pattern', 'project', 'figure', 'aim', 'invention', 'purpose', 'plan']",How to design your Interlocking Frame
Here's,[],How to design your Interlocking Frame
move,"['actuate', 'relocation', 'movement', 'make_a_motion', 'motility', 'proceed', 'be_active', 'motion', 'incite', 'motivate', 'prompt', 'move', 'impress', 'strike', 'locomote', 'displace', 'run', 'propel', 'act', 'go', 'affect', 'travel']",How to design your Interlocking Frame
required,"['requisite', 'involve', 'expect', 'necessitate', 'take', 'want', 'needed', 'required', 'mandatory', 'compulsory', 'command', 'postulate', 'require', 'ask', 'demand', 'needful', 'call_for', 'need']",How to design your Interlocking Frame
for,[],How to design your Interlocking Frame
thrown,"['make', 'cast_off', 'bemuse', 'bedevil', 'discombobulate', 'confound', 'flip', 'shake_off', 'have', 'throw_away', 'confuse', 'throw', 'cast', 'drop', 'thrown', 'throw_off', 'fox', 'befuddle', 'switch', 'shed', 'thrown_and_twisted', 'project', 'give', 'thrust', 'hurl', 'contrive', 'hold', 'fuddle', 'bewilder']",How to design your Interlocking Frame
lathe,['lathe'],How to design your Interlocking Frame
important,"['of_import', 'crucial', 'significant', 'important', 'authoritative']",How to design your Interlocking Frame
beyond,['beyond'],How to design your Interlocking Frame
corner,"['corner', 'niche', 'turning_point', 'nook', 'tree', 'recession', 'recess', 'quoin', 'box', 'street_corner']",How to design your Interlocking Frame
restored,"['mend', 'repair', 'furbish_up', 'reconstruct', 'restore', 'reinstate', 'touch_on', 'bushel', 'rejuvenate', 'doctor', 'regenerate', 'restitute', 'reestablish', 'fix']",How to design your Interlocking Frame
latter,['latter'],How to design your Interlocking Frame
surfaces,"['come_out', 'control_surface', 'come_up', ""Earth's_surface"", 'come_on', 'show_up', 'surface', 'turn_up', 'coat', 'rise', 'rise_up', 'airfoil', 'aerofoil', 'open']",How to design your Interlocking Frame
some,"['around', 'about', 'approximately', 'roughly', 'close_to', 'or_so', 'more_or_less', 'some', 'just_about']",How to design your Interlocking Frame
separated,"['break_up', 'carve_up', 'set-apart', 'disunite', 'furcate', 'discriminate', 'class', 'dissever', 'spaced', 'secern', 'differentiate', 'disjointed', 'dislocated', 'tell', 'sort_out', 'secernate', 'split', 'come_apart', 'classify', 'isolated', 'fall_apart', 'detached', 'fork', 'ramify', 'break', 'distinguish', 'separate', 'split_up', 'severalize', 'tell_apart', 'divide', 'part', 'sort', 'severalise', 'assort', 'branch', 'separated', 'single_out']",How to design your Interlocking Frame
and,[],How to design your Interlocking Frame
B,"['B-complex_vitamin', 'vitamin_B', 'b', 'atomic_number_5', 'B', 'bacillus', 'group_B', 'B_vitamin', 'vitamin_B_complex', 'Bel', 'B_complex', 'barn', 'boron', 'type_B']",How to design your Interlocking Frame
slots,"['one-armed_bandit', 'time_slot', 'slot', 'expansion_slot']",How to design your Interlocking Frame
list,"['number', 'inclination', 'leaning', 'heel', 'list', 'name', 'lean', 'listing', 'tilt']",How to design your Interlocking Frame
electrical,"['electrical', 'electric']",How to design your Interlocking Frame
45,"['xlv', '45', 'forty-five']",How to design your Interlocking Frame
partly,"['part', 'partially', 'partly']",How to design your Interlocking Frame
low-speed,[],How to design your Interlocking Frame
did,"['make', 'get_along', 'coif', 'cause', 'answer', 'behave', 'practise', 'fare', 'make_out', 'execute', 'do', 'set', 'exercise', 'dress', 'practice', 'coiffe', 'manage', 'perform', 'serve', 'arrange', 'act', 'suffice', 'come', 'coiffure']",How to design your Interlocking Frame
tapered,"['tapering', 'point', 'narrowing', 'sharpen', 'taper', 'tapered']",How to design your Interlocking Frame
all,"['entirely', 'all', 'whole', 'completely', 'totally', 'altogether', 'wholly']",How to design your Interlocking Frame
chart,"['chart', 'graph']",How to design your Interlocking Frame
times,"['metre', 'time', 'prison_term', 'fourth_dimension', 'times', 'clock_time', 'clip', 'meter', 'sentence', 'clock', 'multiplication']",How to design your Interlocking Frame
drawings,"['describe', 'line', 'get_out', 'draught', 'force', 'make', 'draft', 'draw', 'sop_up', 'take_in', 'take_up', 'puff', 'take_out', 'imbibe', 'suck_up', 'pull_in', 'guide', 'draftsmanship', 'pull_out', 'pull_back', 'thread', 'eviscerate', 'drag', 'lottery', 'drawing', 'get', 'drawing_off', 'withdraw', 'cast', 'depict', 'reap', 'string', 'draw_off', 'delineate', 'pass', 'tie', 'pull', 'run', 'drafting', 'disembowel', 'suck', 'soak_up', 'attract', 'absorb', 'quarter', 'trace', 'draw_and_quarter', 'draw_in']",How to design your Interlocking Frame
out,"['come_out', 'forbidden', 'taboo', 'stunned', 'tabu', 'away', 'extinct', 'kayoed', 'prohibited', 'proscribed', 'come_out_of_the_closet', 'out', 'verboten', 'knocked_out', ""KO'd""]",How to design your Interlocking Frame
details,"['item', 'point', 'contingent', 'details', 'inside_information', 'detail', 'particular']",How to design your Interlocking Frame
passes,"['perish', 'clear', 'authorize', 'whirl', 'buy_the_farm', 'expire', 'put_across', 'head', 'strait', 'make_pass', 'reach', 'evanesce', 'pass_on', 'conk', 'pass_off', 'blow_over', 'go_along', 'pass_along', 'die', 'passport', ""cash_in_one's_chips"", 'go_through', 'croak', 'happen', 'passing_play', 'overstep', 'overtake', 'spend', 'fade', 'bye', 'elapse', 'fall_out', 'pass_away', 'legislate', 'take_place', 'liberty_chit', 'eliminate', 'give-up_the_ghost', 'slide_by', 'transcend', 'lapse', 'walk', 'drop_dead', 'extend', 'choke', 'straits', 'go_on', 'notch', 'occur', 'draw', 'kick_the_bucket', 'overhaul', 'toss', 'sink', 'exit', 'communicate', 'hap', 'glide_by', 'slip_away', 'egest', 'passing', 'mountain_pass', 'decease', 'pass', 'run', 'passing_game', 'make_it', 'fleet', 'fling', 'pass_by', 'crack', 'return', 'travel_by', 'come_about', 'flip', 'guide', 'go_past', 'exceed', 'base_on_balls', 'turn_over', 'go_across', 'slip_by', 'fall', 'offer', 'top', 'surpass', 'laissez_passer', 'hand', 'pop_off', 'go_by', 'lead', 'devolve', 'excrete', 'go', 'give', 'authorise', 'snuff_it', 'qualifying']",How to design your Interlocking Frame
6,"['Captain_Hicks', 'six', 'VI', 'hexad', 'sextuplet', 'half_dozen', 'sextet', 'sestet', 'sixer', 'vi', 'sise', 'half-dozen', '6', 'half_a_dozen']",How to design your Interlocking Frame
too,"['excessively', 'overly', 'besides', 'also', 'to_a_fault', 'likewise', 'as_well', 'too']",How to design your Interlocking Frame
press,"['crusade', 'conjure', 'public_press', 'wardrobe', 'mechanical_press', 'insistence', 'pressure', 'printing_press', 'compact', 'exhort', 'weightlift', 'fight', 'iron', 'press_out', 'pressing', 'push', 'constrict', 'compress', 'military_press', 'squeeze', 'adjure', 'iron_out', 'press', 'weigh', 'weight-lift', 'entreat', 'urge', 'campaign', 'contract', 'closet', 'jam', 'insistency', 'imperativeness', 'beseech', 'bid', 'crush', 'agitate', 'urge_on']",How to design your Interlocking Frame
depends,"['reckon', 'calculate', 'look', 'depend', 'bet', 'count']",How to design your Interlocking Frame
widths,"['breadth', 'width']",How to design your Interlocking Frame
lower,"['humiliated', 'lower_berth', 'low-down', 'low-pitched', 'abject', 'dispirited', 'down', 'lowly', 'low', 'crushed', 'low-spirited', 'broken', 'frown', 'lour', 'take_down', 'get_down', 'depressed', 'depleted', 'scummy', 'lower', 'humble', 'low-toned', 'down_in_the_mouth', 'glower', 'miserable', 'depress', 'blue', 'let_down', 'downhearted', 'gloomy', 'downcast', 'scurvy', 'modest', 'turn_down', 'bring_down', 'grim', 'small', 'humbled']",How to design your Interlocking Frame
8,"['eighter', 'ogdoad', '8', 'eighter_from_Decatur', 'octet', 'VIII', 'octad', 'octonary', 'viii', 'eight']",How to design your Interlocking Frame
",",[],How to design your Interlocking Frame
Such,['such'],How to design your Interlocking Frame
top,"['circus_tent', 'tip', 'elevation', 'pinnacle', 'clear', 'whirligig', 'top_out', 'teetotum', 'overstep', 'go_past', 'round_top', 'exceed', 'upside', 'meridian', 'summit', 'tiptop', 'top_of_the_inning', 'crest', 'height', 'acme', 'cover', 'top', 'big_top', 'pass', 'pinch', 'top_off', 'lead', 'top_side', 'superlative', 'transcend', 'crown', 'peak', 'upper_side', 'spinning_top']",How to design your Interlocking Frame
cams,"['Cam_River', 'Cam', 'River_Cam', 'cam']",How to design your Interlocking Frame
turnout,"['siding', 'outfit', 'railroad_siding', 'sidetrack', 'getup', 'output', 'turnout', 'widening', 'outturn', 'rig']",How to design your Interlocking Frame
insert,"['enter', 'tuck', 'cut-in', 'enclose', 'introduce', 'put_in', 'sneak_in', 'infix', 'inclose', 'insert', 'stick_in', 'slip_in', 'inset']",How to design your Interlocking Frame
matching,"['cope_with', 'play_off', 'pair', 'correspond', 'meet', 'coordinated', 'co-ordinated', 'equalise', 'twinned', 'equalize', 'mate', 'equate', 'couple', 'fit', 'rival', 'check', 'twin', 'matching', 'jibe', 'oppose', 'equal', 'duplicate', 'agree', 'match', 'gibe', 'touch', 'tally', 'pit']",How to design your Interlocking Frame
let,"['allow', 'LET', 'countenance', 'get', 'Lashkar-e-Tayyiba', 'Lashkar-e-Taiba', 'have', 'Lashkar-e-Toiba', 'permit', 'lease', 'Army_of_the_Pure', 'Army_of_the_Righteous', 'let', 'rent', 'net_ball']",How to design your Interlocking Frame
