w,taza
For,0.0005
fulfillment,1.0
facing,0.55
economy,0.25
objectives,0.5714285714285714
momentum,0.5
cohesion,0.125
upon,0.0005
how,0.0002
early,6.0
number,1.1
expect,0.22727272727272727
where,0.0003333333333333333
concern,0.95
duty,2.0
enterprises,0.16666666666666666
ways,1.8
cannot,0.001
dearly,0.01
reference,0.3
takes,1.625
Iraq,0.01
utilization,2.3333333333333335
middle,0.01
understand,0.8333333333333334
often,3.7142857142857144
proceeding,0.16666666666666666
purpose,1.9166666666666667
destroy,0.01
Development,1.2222222222222223
role,3.6666666666666665
labor,0.06666666666666667
genuine,0.7142857142857143
processes,1.4
plan,1.25
large,1.6470588235294117
pertains,0.5
friendly,1.0
clear,0.1111111111111111
centralized,0.1
attitudes,0.25
government,0.2777777777777778
rigid,0.5714285714285714
respond,0.01
American,0.002
underline,0.01
wider,0.13333333333333333
of,1.0752688172043012e-05
employed,2.0
should,6.666666666666667e-05
needs,0.2875
fact,20.0
each,0.55
remain,0.08333333333333333
already,13.0
share,1.6428571428571428
around,6.5
certain,5.0
established,1.08
Thus,2.2222222222222223
suggested,0.375
we,9.090909090909092e-05
manner,0.3333333333333333
emphasized,0.7272727272727273
periods,0.6153846153846154
depends,0.5
modernizing,0.625
requirements,2.142857142857143
more,1.3666666666666667
various,5.0
inflexible,0.01
scene,0.7692307692307693
exceed,0.15384615384615385
yet,0.9473684210526315
waters,0.01
assume,0.2727272727272727
all,1.0714285714285714
productivity,0.01
generally,0.05555555555555555
characterize,0.01
appraisals,0.5
earlier,2.227272727272727
life,1.5
too,3.375
highest,1.4285714285714286
matters,1.625
continue,0.1111111111111111
nerve,0.01
communicating,0.5454545454545454
place,0.6046511627906976
Above,0.4
benefits,0.6
Isolated,0.058823529411764705
announced,0.2222222222222222
push,0.3181818181818182
national,0.16
war,0.6666666666666666
difficult,0.01
slightest,0.3333333333333333
derive,0.01
unity,8.444444444444445
participation,0.5
special,3.2857142857142856
genuinely,0.75
responsible,0.3333333333333333
major,1.4
permit,0.4444444444444444
volume,0.01
choose,1.0
call,0.08108108108108109
education,0.36363636363636365
long-term,0.6666666666666666
basis,0.875
competently,0.01
larger,2.3529411764705883
reasonably,0.7
old,0.7692307692307693
perpetuate,0.01
find,0.7666666666666667
planners,0.01
nation,0.4
demand,1.2727272727272727
inhibitions,0.5
later,1.5333333333333334
Convinced,0.5
seeking,0.4444444444444444
has,1.2413793103448276
covering,0.4634146341463415
inducing,5.083333333333333
display,0.2857142857142857
coordinated,0.8
surpluses,0.01
levels,0.9583333333333334
by,1.0147058823529411
afford,1.0
concerted,0.01
live,4.478260869565218
pluralistic,0.01
constantly,1.5
the,9.345794392523365e-06
not,3.1818181818181817
respect,0.9230769230769231
Philippines,0.005
balanced,0.005
carried,0.6071428571428571
recognized,0.3157894736842105
frank,0.1111111111111111
years,2.3181818181818183
central,0.17857142857142858
tenancy,0.01
several,9.666666666666666
encounter,0.7619047619047619
emphasis,1.5
appraise,2.2857142857142856
either,6.0
effort,0.09375
single,8.545454545454545
do,0.5166666666666667
conditions,1.1578947368421053
merely,11.2
psychological,0.01
attempt,0.45454545454545453
growth,0.16
such,3.0
difficulties,0.3333333333333333
divisive,0.01
readiness,0.75
subjects,1.631578947368421
Progress,0.21052631578947367
advantages,0.3333333333333333
Civil,0.01
deal,0.2076923076923077
but,1.2444444444444445
enthusiasm,0.01
reforms,0.01
acceptance,0.25
imposed,0.01
mobilized,0.2857142857142857
These,0.0005
varying,0.8
tackle,0.01
are,0.7551020408163265
appropriate,0.625
system,6.5
automatically,0.01
country,1.7777777777777777
horizon,0.375
drawn,0.45652173913043476
agriculture,0.01
irresponsible,0.01
tentative,0.4
characterized,0.005
adequate,0.7142857142857143
effectively,1.6666666666666667
count,1.0588235294117647
Capital,0.875
assistance,0.2
administrative,2.5
rely,0.01
They,0.0005
looks,1.2758620689655173
greatest,0.9642857142857143
sympathy,0.3333333333333333
at,0.9
confusion,0.14285714285714285
were,7.166666666666667
be,0.19907407407407407
to,1.2658227848101267e-05
program,0.25
some,2.4074074074074074
sources,0.9166666666666666
simultaneously,0.005
disrupting,0.01
work,0.7439024390243902
reform,0.0025
credits,0.2857142857142857
sphere,1.2142857142857142
wisdom,0.01
marginal,1.5
widen,0.5
services,0.6176470588235294
go,0.6527777777777778
countries,0.09876543209876543
prepare,0.9411764705882353
middle-,0.001
whose,0.0005
When,0.0005
very,1.0
governments,0.15873015873015875
fields,0.868421052631579
principle,0.25
powers,1.7619047619047619
obligation,0.4444444444444444
If,0.001
affect,0.26666666666666666
it,0.0025
they,0.000125
direction,1.5625
basically,0.01
trademark,0.01
still,0.13815789473684212
is,0.4215686274509804
potentialities,0.2
judgments,0.42857142857142855
The,0.00014285714285714287
positive,0.26666666666666666
making,1.5633802816901408
nationalism,0.01
move,0.3181818181818182
programs,0.15
their,3.571428571428572e-05
great,1.08
destroyed,0.01
for,4.761904761904762e-05
free,0.0625
discourage,0.01
people,0.14285714285714285
interrelationships,0.01
economies,0.5
long,0.08333333333333333
reassured,0.01
ambitions,0.01
face,0.3333333333333333
tremendous,0.21428571428571427
most,2.388888888888889
financial,0.5
past,9.428571428571429
meaningful,3.0
can,0.032467532467532464
world,0.21794871794871795
structures,0.2
communities,0.6666666666666666
It,0.0016666666666666668
dual,0.25
demonstrated,1.1428571428571428
indeed,8.0
exist,8.1
launched,1.1666666666666667
than,0.0005
first,0.35714285714285715
less,3.5
consequence,0.6
need,0.2916666666666667
health,1.0
rulers,0.005
Indian,0.25
standards,0.25
equate,0.125
But,11.2
power,0.5873015873015873
career,0.01
rural,1.6
goal,1.125
honestly,0.005
that,5e-05
hence,4.0
taken,1.7205882352941178
poor,0.9166666666666666
promoting,1.4166666666666667
democratic,0.6666666666666666
own,3.8125
payments,0.01
National,1.6
reacting,0.01
classes,2.638888888888889
status,5.666666666666667
There,2.8333333333333335
its,0.005
example,1.5833333333333333
feel,0.9285714285714286
important,3.6
view,0.48
within,13.5
tasks,0.10714285714285714
sorts,3.923076923076923
fates,0.2222222222222222
little,1.2142857142857142
comprehensive,0.6666666666666666
rationalize,0.01
factor,0.8333333333333334
aid,1.6666666666666667
must,0.35714285714285715
erratically,0.01
",",1.3333333333333333e-05
future,1.5714285714285714
third,0.125
creative,0.01
colleagues,0.01
develop,0.391304347826087
politically,1.0
threatened,0.125
support,0.25
made,0.8676470588235294
action,0.8333333333333334
troubled,0.01
period,0.3076923076923077
cooperation,0.01
emerging,0.005
relates,0.375
realize,0.6666666666666666
no,2.0
Actively,1.0
when,0.001
increased,1.5
condition,1.1333333333333333
other,2.8
historic,0.01
persists,0.18181818181818182
creatively,0.01
on,4.9375
supply,0.45454545454545453
drive,0.8571428571428571
have,0.23275862068965517
international,3.0
may,0.3888888888888889
training,0.3958333333333333
sense,0.09523809523809523
Brazil,0.01
forward,0.2
justify,0.3
been,1.7916666666666667
legislative,0.01
recognize,0.125
prevented,0.3333333333333333
Foreign,0.01
men's,0.01
project,0.46153846153846156
leaders,0.002
strong,0.46153846153846156
States,0.15
up,0.6666666666666666
our,0.0003333333333333333
minimum,0.01
colonial,0.5
assure,0.8461538461538461
fairly,0.6363636363636364
planning,0.25
working,1.4634146341463414
take,0.5416666666666666
identity,0.2857142857142857
framework,1.25
considerable,1.5
committed,0.42857142857142855
into,0.00025
comparative,0.6666666666666666
orderly,0.01
without,0.0005
increasingly,0.01
least,0.75
nations,0.2
hope,0.25
grave,0.05555555555555555
imports,0.8
success,0.5
commitments,0.01
impulses,0.07692307692307693
Service,0.5625
required,1.1111111111111112
big,1.0277777777777777
process,0.7
needed,1.2142857142857142
self-sustaining,0.08333333333333333
which,7.692307692307693e-05
assist,1.375
account,0.29411764705882354
party,0.01
human,0.8333333333333334
with,6.666666666666667e-05
short,0.5416666666666666
maintaining,0.5
stages,0.5208333333333334
interest,0.3333333333333333
.,1.4084507042253522e-05
who,0.01
realistically,0.0033333333333333335
from,0.00025
help,1.0833333333333333
fully,0.6
incentives,0.5
prone,0.01
intractable,0.01
management,5.0
exception,0.01
undertaken,0.125
plans,1.25
monopoly,0.01
far,1.3333333333333333
spread,0.1111111111111111
danger,0.6666666666666666
Land,0.125
serious,0.5555555555555556
Only,4.0
marginally,0.01
development,0.12222222222222223
external,1.0
practices,2.923076923076923
skilled,0.01
transitional,0.005
cases,0.78125
same,2.125
trained,0.85
decrees,0.5
satisfy,0.7142857142857143
as,3.518181818181818
consequences,0.6
To,0.001
society,0.24285714285714283
developments,1.2222222222222223
substantial,1.2
sector,0.005
home,1.7
above,0.2
boldly,0.01
town,0.01
uncertainty,0.125
and,1.3157894736842106e-05
if,0.0003333333333333333
telling,0.5666666666666667
incentive,0.5
adventures,0.35714285714285715
struggle,0.01
symbolically,0.01
domestic,0.005
institutions,0.125
alienated,0.125
stability,0.3333333333333333
material,0.5
looming,0.01
among,0.0003333333333333333
seriously,0.01
outward,0.01
men,0.25
ahead,0.7692307692307693
obstacles,0.5
conclusion,1.2142857142857142
community,0.5
relatively,2.5
will,0.13846153846153847
unpleasant,0.01
potential,1.2222222222222223
land,0.125
policy,0.07407407407407407
affects,0.13333333333333333
Taiwan,0.01
deficient,0.01
even,2.5
problem,1.3333333333333333
phase,1.25
make,0.5238095238095238
offering,0.6428571428571429
performance,0.19047619047619047
smaller,0.6
agricultural,0.005
effective,0.2
duration,1.0
passing,0.31313131313131315
agenda,0.01
relations,0.47058823529411764
--,0.0003333333333333333
Program,0.75
pressing,0.03571428571428571
Transitional,0.01
efficiency,1.0
progress,0.042105263157894736
sectors,0.005
now,1.1538461538461537
groups,4.333333333333333
state,0.3
difficulty,0.3333333333333333
seek,0.5714285714285714
small,0.6923076923076923
claims,0.8571428571428571
failure,0.01
finance,2.0
basic,0.16666666666666666
Iran,0.01
this,0.00016666666666666666
especially,4.75
Our,0.0005
gradually,1.0
operational,1.7142857142857142
relation,0.26666666666666666
security,0.005
only,0.6666666666666666
assumed,0.25925925925925924
based,1.5
class,2.638888888888889
shared,0.9090909090909091
statesmanship,0.01
constraining,0.01
vastly,0.01
instead,2.75
relationship,1.5
fail,0.23529411764705882
during,0.001
local,0.13333333333333333
lack,0.16666666666666666
members,0.4444444444444444
self-discipline,0.01
projection,0.1
enough,0.8
over,1.4285714285714286
wishes,1.1
accept,4.333333333333333
famed,0.75
accepted,3.7333333333333334
transition,0.01
provincial,0.3333333333333333
alone,1.5714285714285714
By,17.25
On,39.5
lose,0.005
dangerous,0.14285714285714285
holding,1.4333333333333333
time,0.7777777777777778
respects,0.8571428571428571
priority,0.01
authoritarian,0.01
mobilize,0.2857142857142857
stage,0.32467532467532473
conception,0.75
dominance,0.5833333333333334
able,0.6666666666666666
a,0.6131221719457014
an,0.0016666666666666668
itself,0.001
recreated,0.07692307692307693
or,0.0033333333333333335
likely,0.14285714285714285
memories,0.01
India,0.01
governmental,0.5
guide,0.30434782608695654
We,0.0002
announcement,0.01
balance,0.018518518518518517
thing,2.3333333333333335
actions,0.4166666666666667
fashion,0.3333333333333333
underlining,0.01
one,4.470588235294118
possible,5.0
intellectuals,0.01
investment,0.01
democratize,0.01
inadequate,2.75
category,8.833333333333334
public,2.0
combined,0.13333333333333333
