w,vector_semantico
rather,"['sort_of', 'sooner', 'quite', 'kinda', 'rather', 'instead', 'preferably', 'kind_of']"
developing,"['build_up', 'modernise', 'evolve', 'modernize', 'break', 'produce', 'spring_up', 'rise', 'uprise', 'underdeveloped', 'arise', 'originate', 'get', 'grow', 'explicate', 'recrudesce', 'acquire', 'develop', 'educate', 'germinate', 'train', 'prepare', 'make_grow', 'formulate', 'development', 'developing']"
contribute,"['bestow', 'bring', 'add', 'impart', 'chip_in', 'kick_in', 'contribute', 'lend', 'lead', 'give', 'conduce', 'put_up']"
capacity,"['electrical_capacity', 'capability', 'content', 'mental_ability', 'capacity', 'capacitance']"
dominant,"['prevalent', 'rife', 'prevailing', 'dominant', 'predominant', 'dominant_allele']"
showing,"['evince', 'prove', 'testify', 'register', 'usher', 'establish', 'screening', 'viewing', 'read', 'exhibit', 'designate', 'bear_witness', 'record', 'indicate', 'show', 'shew', 'show_up', 'demo', 'demonstrate', 'picture', 'render', 'display', 'depict', 'point', 'present', 'evidence', 'showing', 'express']"
front,"['front_man', 'front_end', 'forepart', 'front_line', 'presence', 'social_movement', 'nominal_head', 'battlefront', 'face', 'figurehead', 'straw_man', 'breast', 'front', 'strawman', 'movement', 'look']"
;,[]
civil,"['civic', 'civil', 'polite']"
any,"['any', 'whatsoever', 'whatever']"
goals,"['finish', 'end', 'goal', 'destination']"
programming,"['programme', 'computer_programming', 'programming', 'scheduling', 'computer_programing', 'programing', 'program']"
sacrifice,"['forfeiture', 'sacrifice', 'forfeit', 'give', 'ritual_killing']"
business,"['business_enterprise', 'line', 'business_sector', 'job', 'business_organisation', 'business_organization', 'business_concern', 'occupation', 'business', 'line_of_work', 'clientele', 'commercial_enterprise', 'stage_business', 'concern', 'patronage', 'byplay']"
always,"['constantly', 'forever', ""e'er"", 'incessantly', 'perpetually', 'always', 'invariably', 'ever']"
Another,"['some_other', 'another']"
achieve,"['achieve', 'accomplish', 'reach', 'attain']"
upper-level,"['upper-level', 'high-ranking', 'high-level']"
two,"['deuce', '2', 'ii', 'II', 'two']"
change,"['shift', 'change', 'transfer', 'interchange', 'alter', 'alteration', 'commute', 'switch', 'vary', 'variety', 'exchange', 'modification', 'convert', 'modify', 'deepen']"
foreign,"['strange', 'alien', 'foreign', 'extraneous']"
ready,"['cook', 'ready', 'make', 'set', 'gear_up', 'quick', 'prepare', 'set_up', 'fix']"
underdeveloped,"['underdeveloped', 'underdevelop', 'developing']"
escaped,"['turn_tail', 'loose', 'bunk', 'break_away', 'escaped', 'hightail_it', 'run', 'get_off', 'get_away', 'elude', 'head_for_the_hills', 'break_loose', 'get_out', 'at_large', 'fly_the_coop', 'scarper', 'on_the_loose', 'get_by', 'escape', 'scat', 'take_to_the_woods', 'lam', 'run_away', 'miss']"
about,"['or_so', 'close_to', 'about', 'more_or_less', 'almost', 'nearly', 'just_about', 'nigh', 'around', 'near', 'roughly', 'approximately', 'virtually', 'well-nigh', 'astir', 'some', 'most']"
private,"['common_soldier', 'buck_private', 'private', 'individual', 'secret']"
historically,['historically']
At,"['At', 'astatine', 'at', 'atomic_number_85']"
many,['many']
range,"['cast', 'straddle', 'kitchen_range', 'array', 'pasture', 'scope', 'order', 'place', 'image', 'range_of_mountains', 'rate', 'swan', 'drift', 'set_out', 'roll', 'browse', 'rank', 'chain_of_mountains', 'rove', 'reach', 'mountain_chain', 'run', 'range', 'graze', 'orbit', 'vagabond', 'ambit', 'ramble', 'stray', 'compass', 'kitchen_stove', 'lay_out', 'cooking_stove', 'range_of_a_function', 'stove', 'mountain_range', 'chain', 'grasp', 'tramp', 'roam', 'wander', 'crop', 'grade']"
communications,"['communicating', 'communication_theory', 'communications', 'communication']"
elite,"['elite_group', 'elite', 'elect']"
resources,"['resource', 'resourcefulness', 'imagination']"
Several,"['respective', 'several', 'various']"
measurable,"['mensurable', 'measurable']"
set,"['lot', 'position', 'hardened', 'circle', 'place', 'gear_up', 'coiffure', 'mark', 'located', 'pose', 'solidification', 'determine', 'Set', 'correct', 'dress', 'fix', 'coiffe', 'determined', 'localise', 'define', 'solidifying', 'ready', 'rig', 'go_under', 'situated', 'rigid', 'countersink', 'go_down', 'laid', 'bent', 'jell', 'arrange', 'do', 'sic', 'localize', 'plant', 'fixed', 'placed', 'set', 'stage_set', 'readiness', 'fructify', 'band', 'lay_out', 'dictated', 'curing', 'Seth', 'congeal', 'prepare', 'lay', 'typeset', 'hardening', 'coif', 'put', 'limit', 'exercise_set', 'fit', 'specify', 'set_up', 'primed', 'adjust']"
having,"['have', 'own', 'deliver', 'cause', 'throw', 'let', 'give_birth', 'birth', 'ingest', 'experience', 'consume', 'give', 'sustain', 'get', 'stimulate', 'take', 'have_got', 'hold', 'feature', 'bear', 'make', 'induce', 'accept', 'possess', 'take_in', 'suffer', 'receive']"
every,['every']
pattern,"['figure', 'model', 'rule', 'traffic_pattern', 'design', 'formula', 'pattern', 'shape', 'normal', 'blueprint', 'radiation_diagram', 'form', 'approach_pattern', 'practice', 'convention', 'radiation_pattern']"
economic,"['economical', 'economic']"
part,"['start', 'set_forth', 'partly', 'component', 'take_off', 'division', 'piece', 'component_part', 'break', 'region', 'set_out', 'percentage', 'voice', 'share', 'separate', 'office', 'split_up', 'theatrical_role', 'parting', 'set_off', 'persona', 'part', 'depart', 'start_out', 'break_up', 'divide', 'partially', 'role', 'portion', 'character', 'section', 'function', 'contribution', 'disunite', 'constituent', 'split']"
these,[]
murky,"['turbid', 'muddy', 'mirky', 'murky', 'cloudy']"
both,['both']
forward-moving,"['advancing', 'forward-moving', 'forward']"
changing,"['shift', 'change', 'transfer', 'interchange', 'alter', 'changing', 'commute', 'switch', 'vary', 'ever-changing', 'exchange', 'convert', 'modify', 'deepen']"
flows,"['flow_rate', 'current', 'menstruum', 'flowing', 'flux', 'menstruate', 'menstruation', 'fall', 'feed', 'run', 'rate_of_flow', 'stream', 'menses', 'catamenia', 'flow', 'course', 'hang', 'period']"
well,"['considerably', 'good', 'swell', 'substantially', 'easily', 'well', 'comfortably', 'advantageously', 'wellspring', 'fountainhead', 'intimately']"
much,"['a_great_deal', 'a_good_deal', 'lots', 'very_much', 'a_lot', 'practically', 'much', 'often']"
In,"['inch', 'in', 'Hoosier_State', 'inward', 'IN', 'inwards', 'atomic_number_49', 'Indiana', 'indium', 'In']"
wide,"['all-inclusive', 'all-encompassing', 'extensive', 'broad', 'wide-eyed', 'all-embracing', 'wide_of_the_mark', 'encompassing', 'blanket', 'panoptic', 'astray', 'widely', 'spacious', 'across-the-board', 'wide-cut', 'full', 'wide']"
Pakistan,"['Islamic_Republic_of_Pakistan', 'Pakistan', 'West_Pakistan']"
marked,"['pock', 'cross_off', 'tick', 'brand', 'note', 'stigmatise', 'distinguish', 'mark', 'notice', 'tag', 'cross_out', 'pronounced', 'differentiate', 'set', 'scar', 'tick_off', 'mark_off', 'check_off', 'stigmatize', 'denounce', 'punctuate', 'label', 'marked', 'check', 'pit', 'strike_out', 'score', 'nock', 'commemorate', 'grade', 'strike_off']"
prospects,"['expectation', 'prognosis', 'outlook', 'chance', 'prospect', 'panorama', 'candidate', 'view', 'aspect', 'medical_prognosis', 'scene', 'vista']"
formulate,"['forge', 'invent', 'explicate', 'excogitate', 'formulate', 'word', 'develop', 'articulate', 'phrase', 'contrive', 'devise', 'give_voice']"
until,[]
through,"['through_and_through', 'through', 'done', 'through_with']"
concerned,"['bear_on', 'concern', 'implicated', 'touch', 'interest', 'worry', 'pertain', 'touch_on', 'interested', 'have-to_doe_with', 'concerned', 'refer', 'come_to', 'relate', 'occupy']"
segment,"['section', 'segment']"
Finally,"['at_long_last', 'eventually', 'lastly', 'finally', 'in_the_end', 'in_conclusion', 'at_last', 'last', 'ultimately']"
purchased,"['purchase', 'buy']"
careful,"['thrifty', 'heedful', 'measured', 'careful', 'deliberate']"
persistence,"['persistence', 'doggedness', 'pertinacity', 'persistency', 'perseveration', 'perseverance', 'tenacity', 'continuity', 'tenaciousness']"
politics,"['political_sympathies', 'political_science', 'government', 'political_relation', 'politics']"
press,"['press', 'insistence', 'constrict', 'compress', 'campaign', 'crusade', 'urge_on', 'jam', 'iron', 'weight-lift', 'push', 'beseech', 'compact', 'pressure', 'insistency', 'military_press', 'conjure', 'exhort', 'mechanical_press', 'agitate', 'contract', 'urge', 'crush', 'weigh', 'iron_out', 'imperativeness', 'public_press', 'closet', 'bid', 'fight', 'weightlift', 'wardrobe', 'adjure', 'printing_press', 'press_out', 'entreat', 'squeeze', 'pressing']"
thus,"['thus', 'thusly', 'gum_olibanum', 'therefore', 'so', 'olibanum', 'thence', 'frankincense', 'hence']"
societies,"['club', 'guild', 'lodge', 'order', 'smart_set', 'society', 'high_society', 'companionship', 'social_club', 'beau_monde', 'gild', 'company', 'fellowship', 'bon_ton']"
left,"['provide', 'unexpended', 'left-hand', 'pass_on', 'result', 'left', 'lead', 'entrust', 'left_wing', 'left_hand', 'odd', 'impart', 'leftfield', 'allow_for', 'left_over', 'bequeath', 'give', 'remaining', 'go_forth', 'leave', 'get_out', 'left_field', 'go_away', 'go_out', 'leave_behind', 'allow', 'depart', 'will', 'exit', 'forget', 'leave_alone', 'leftover', 'pull_up_stakes']"
second,"['second_gear', 'secondment', 'irregular', 'arcsecond', 'second', 'second_base', 'secondly', 'indorsement', '2nd', 'minute', 'moment', 'bit', 'endorsement', 'indorse', 'back', 's', 'mo', 'instant', 'endorse', '2d', 'sec']"
mature,"['grow', 'get_on', 'maturate', 'age', 'suppurate', 'mature', 'senesce', 'ripen', 'matured', 'fledged', 'ripe']"
cold,"['frigidity', 'inhuman', 'frigid', 'moth-eaten', 'low_temperature', 'stale', 'cold', 'common_cold', 'coldness', 'frigidness', 'dusty', 'cold-blooded', 'insensate']"
encourage,"['advance', 'further', 'boost', 'encourage', 'promote']"
advisor,"['advisor', 'consultant', 'adviser']"
overhead,"['command_overhead', 'command_processing_overhead_time', 'budget_items', 'command_processing_overhead', 'disk_overhead', 'viewgraph', 'overhead', 'operating_cost', 'smash', 'operating_expense']"
prefer,"['opt', 'favour', 'favor', 'prefer', 'choose']"
changes,"['shift', 'change', 'transfer', 'interchange', 'alter', 'alteration', 'commute', 'switch', 'vary', 'variety', 'exchange', 'modification', 'convert', 'modify', 'deepen']"
accordance,"['accordance_of_rights', 'accordance', 'conformity', 'accord']"
appreciation,"['admiration', 'grasp', 'taste', 'hold', 'perceptiveness', 'discernment', 'appreciation']"
With,[]
ruling,"['dominate', 'ruling', 'rein', 'rule', 'prevail', 'harness', 'reigning', 'decree', 'govern', 'find', 'opinion', 'regnant', 'predominate', 'reign']"
promises,"['anticipate', 'promise', 'predict', 'prognosticate', 'hope', 'assure', 'forebode', 'foretell', 'call']"
isolated,"['stranded', 'isolated', 'sequestrate', 'isolate', 'stray', 'obscure', 'disjunct', 'keep_apart', 'detached', 'insulate', 'sequester', 'set_apart', 'marooned', 'quarantined', 'apart', 'separated', 'set-apart']"
forms,"['cast', 'imprint', 'flesh', 'signifier', 'sort', 'physical_body', 'material_body', 'anatomy', 'manikin', 'variety', 'physique', 'take_shape', 'mannikin', 'var.', 'human_body', 'conformation', 'bod', 'constitute', 'form', 'contour', 'word_form', 'configuration', 'mannequin', 'class', 'organize', 'work', 'pattern', 'shape', 'grade', 'frame', 'course', 'build', 'phase', 'mold', 'chassis', 'forge', 'figure', 'make', 'mould', 'take_form', 'descriptor', 'variant', 'kind', 'spring', 'organise', 'manakin', 'soma', 'strain']"
between,"[""'tween"", 'betwixt', 'between']"
rapidly,"['quickly', 'rapidly', 'chop-chop', 'apace', 'speedily']"
competence,"['competence', 'competency']"
cumulative,"['cumulative', 'accumulative']"
seem,"['appear', 'seem', 'look']"
also,"['also', 'besides', 'likewise', 'as_well', 'too']"
forces,"['violence', 'drive', 'force', 'wedge', 'thrust', 'draw', 'push', 'effect', 'military_group', 'pull', 'pressure', 'personnel', 'hale', 'forcefulness', 'force_out', 'military_unit', 'military_force', 'force-out', 'strength', 'coerce', 'ram', 'force_play', 'impel', 'storm', 'power', 'squeeze']"
urban,['urban']
field,"['theater_of_operations', 'theatre_of_operations', 'line_of_business', 'subject_field', 'battleground', 'champaign', 'playing_field', 'subject_area', 'subject', 'bailiwick', 'field_of_study', 'field_of_operation', 'flying_field', 'orbit', 'field_of_honor', 'force_field', 'field_of_battle', 'field', 'sphere', 'discipline', 'field_of_view', 'arena', 'plain', 'airfield', 'study', 'theatre', 'field_of_force', 'area', 'domain', 'theater', 'athletic_field', 'landing_field', 'field_of_operations', 'playing_area', 'battlefield']"
strides,"['step', 'stride', 'tread', 'footstep', 'pace']"
honest,"['honorable', 'dependable', 'good', 'honest', 'true', 'fair', 'reliable']"
neglected,"['overlook', 'pretermit', 'ignore', 'drop', 'neglected', 'omit', 'overleap', 'unheeded', 'disregard', 'miss', 'leave_out', 'fail', 'neglect', 'ignored', 'unattended']"
stable,"['stalls', 'static', 'horse_barn', 'stable', 'unchanging']"
fishing,"['angle', 'fish', 'sportfishing', 'fishing']"
supplemented,"['affix', 'add_on', 'supplement', 'append']"
related,"['bear_on', 'touch', 'link_up', 'colligate', 'tie_in', 'link', 'interrelate', 'pertain', 'touch_on', 'related_to', 'have-to_doe_with', 'connect', 'related', 'come_to', 'refer', 'associate', 'concern', 'relate']"
effectiveness,"['effectualness', 'strength', 'effectivity', 'effectiveness', 'potency', 'effectuality']"
necessary,"['requisite', 'necessity', 'necessary', 'essential', 'requirement']"
follow,"['survey', 'keep_up', 'keep_abreast', 'conform_to', 'trace', 'abide_by', 'keep_an_eye_on', 'watch', 'succeed', 'stick_to', 'be', 'come', 'watch_over', 'espouse', 'fall_out', 'accompany', 'surveil', 'adopt', 'come_after', 'play_along', 'follow', 'observe', 'stick_with', 'pursue', 'postdate', 'comply', 'take_after', 'travel_along']"
Burma,"['Myanmar', 'Union_of_Burma', 'Burma']"
treaty-making,[]
built,"['build_up', 'progress', 'reinforced', 'make', 'establish', 'work_up', 'ramp_up', 'construct', 'built', 'build']"
aspirants,"['hopeful', 'wannabe', 'aspirant', 'aspirer', 'wannabee']"
look,"['spirit', 'take_care', 'expect', 'count', 'flavor', 'calculate', 'tone', 'feel', 'search', 'seem', 'face', 'facial_expression', 'bet', 'wait', 'attend', 'see', 'looking', 'await', 'depend', 'aspect', 'feeling', 'appear', 'smell', 'look', 'reckon', 'looking_at', 'flavour', 'front', 'expression']"
communicate,"['pass_along', 'pass_on', 'pass', 'convey', 'commune', 'intercommunicate', 'transmit', 'put_across', 'communicate']"
those,[]
understanding,"['empathize', 'realise', 'interpret', 'apprehension', 'translate', 'read', 'sympathy', 'empathise', 'reason', 'see', 'infer', 'savvy', 'understand', 'discernment', 'intellect', 'realize', 'understanding', 'agreement', 'sympathize', 'sympathise']"
themselves,[]
does,"['DOE', 'practise', 'make_out', 'cause', 'coiffure', 'Energy', 'dress', 'coiffe', 'fare', 'answer', 'serve', 'doe', 'execute', 'do', 'come', 'arrange', 'set', 'perform', 'Department_of_Energy', 'exercise', 'Energy_Department', 'get_along', 'suffice', 'act', 'make', 'coif', 'manage', 'behave', 'practice']"
relevant,['relevant']
impeded,"['impeded', 'obstruct', 'block', 'hinder', 'occlude', 'jam', 'impede', 'close_up', 'obturate']"
context,"['linguistic_context', 'context', 'setting', 'circumstance', 'context_of_use']"
problems,"['job', 'trouble', 'problem']"
begun,"['set_about', 'start', 'set_out', 'begin', 'lead_off', 'commence', 'start_out', 'get', 'get_down']"
effected,"['effect', 'effectuate', 'effected', 'established', 'set_up', 'accomplished']"
counterparts,"['twin', 'similitude', 'opposite_number', 'vis-a-vis', 'counterpart']"
As,"['AS', 'as', 'American_Samoa', 'arsenic', 'A', 'angstrom_unit', 'a', 'axerophthol', 'type_A', 'deoxyadenosine_monophosphate', 'angstrom', 'every_bit', 'Eastern_Samoa', 'antiophthalmic_factor', 'vitamin_A', 'amp', 'atomic_number_33', 'ampere', 'equally', 'adenine', 'As', 'group_A']"
Lastly,"['lastly', 'finally', 'in_conclusion', 'last']"
being,"['represent', 'make_up', 'organism', 'beingness', 'cost', 'constitute', 'equal', 'existence', 'comprise', 'personify', 'follow', 'be', 'embody', 'exist', 'live', 'being']"
provide,"['provide', 'render', 'cater', 'offer', 'bring_home_the_bacon', 'allow_for', 'allow', 'furnish', 'ply', 'supply', 'put_up', 'leave']"
what,[]
believing,"['believing', 'trust', 'consider', 'believe', 'conceive', 'think']"
dealing,"['lot', 'dealing', 'conduct', 'allot', 'make_out', 'divvy_up', 'make_do', 'apportion', 'parcel_out', 'trade', 'portion_out', 'share', 'administer', 'contend', 'mete_out', 'care', 'transaction', 'dispense', 'cope', 'take', 'shell_out', 'distribute', 'dealings', 'dish_out', 'get_by', 'deal', 'plow', 'treat', 'deal_out', 'dole_out', 'look_at', 'grapple', 'consider', 'carry_on', 'manage', 'cover', 'handle', 'sell', 'address']"
professional,"['professional_person', 'professional', 'master', 'pro']"
situation,"['state_of_affairs', 'position', 'place', 'situation', 'berth', 'post', 'spot', 'billet', 'site', 'office']"
exploit,"['tap', 'work', 'exploit', 'effort', 'feat', 'overwork']"
new,"['fresh', 'unexampled', 'newly', 'newfangled', 'young', 'new', 'New', 'Modern', 'freshly', 'novel', 'raw']"
priorities,"['antecedency', 'precedency', 'precedence', 'anteriority', 'priority', 'antecedence']"
issue,"['result', 'cut', 'make_out', 'publish', 'number', 'issue', 'military_issue', 'write_out', 'egress', 'release', 'subject', 'effect', 'emergence', 'come_forth', 'issuing', 'offspring', 'matter', 'topic', 'proceeds', 'outcome', 'put_out', 'go_forth', 'come_out', 'progeny', 'take', 'yield', 'issuance', 'event', 'exit', 'takings', 'return', 'bring_out', 'consequence', 'outlet', 'payoff', 'upshot', 'way_out', 'publication', 'emerge', 'supply', 'government_issue']"
exchange,"['exchange', 'change', 'interchange', 'telephone_exchange', 'commutation', 'substitution', 'commute', 'switch', 'rally', 'central', 'replace', 'convert', 'switch_over', 'substitute']"
farm,"['grow', 'produce', 'farm', 'raise']"
different,"['dissimilar', 'unlike', 'different']"
solved,"['resolve', 'resolved', 'work_out', 'work', 'solve', 'clear', 'puzzle_out', 'lick', 'figure_out', 'solved']"
times,"['multiplication', 'times', 'sentence', 'clip', 'meter', 'metre', 'time', 'clock', 'clock_time', 'prison_term', 'fourth_dimension']"
free-world,[]
modernization,"['modernisation', 'modernization']"
firmly,"['firmly', 'firm', 'hard', 'unwaveringly', 'securely', 'steadfastly']"
West,"['west', 'Benjamin_West', 'Occident', 'W', 'due_west', 'Cicily_Isabel_Fairfield', 'West', 'westward', 'Dame_Rebecca_West', 'Mae_West', 'Rebecca_West', 'western_United_States']"
however,"['nonetheless', 'still', 'nevertheless', 'notwithstanding', 'withal', 'all_the_same', 'however', 'even_so', 'yet']"
personnel,"['force', 'personnel', 'personnel_office', 'staff_office', 'personnel_department']"
Community,"['residential_area', 'biotic_community', 'community_of_interests', 'community', 'residential_district']"
patience,"['forbearance', 'longanimity', 'patience', 'solitaire']"
achieved,"['achieve', 'accomplish', 'reach', 'attain']"
mystique,['mystique']
skillfully,"['skilfully', 'skillfully']"
pace,"['step', 'stride', 'tread', 'gait', 'footstep', 'yard', 'pace', 'rate', 'tempo']"
creating,"['create', 'produce', 'make']"
movement,"['drive', 'motility', 'apparent_movement', 'bm', 'trend', 'motion', 'front', 'cause', 'bowel_movement', 'drift', 'campaign', 'crusade', 'effort', 'move', 'apparent_motion', 'social_movement', 'movement']"
introduced,"['premise', 'acquaint', 'stick_in', 'bring_out', 'precede', 'enter', 'introduce', 'put_in', 'preface', 'innovate', 'enclose', 'bring_in', 'inaugurate', 'present', 'inclose', 'infix', 'usher_in', 'insert']"
Efforts,"['drive', 'travail', 'try', 'exertion', 'attempt', 'exploit', 'cause', 'elbow_grease', 'effort', 'feat', 'endeavor', 'campaign', 'crusade', 'endeavour', 'sweat', 'movement']"
generate,"['beget', 'return', 'render', 'yield', 'father', 'bring_forth', 'generate', 'sire', 'mother', 'give', 'get', 'engender']"
illusions,"['magic', 'thaumaturgy', 'fantasy', 'head_game', 'conjuration', 'illusion', 'magic_trick', 'trick', 'fancy', 'deception', 'phantasy', 'legerdemain', 'conjuring_trick', 'semblance', 'delusion']"
begin,"['set_about', 'start', 'Begin', 'set_out', 'begin', 'Menachem_Begin', 'lead_off', 'commence', 'start_out', 'get', 'get_down']"
modern,"['modernistic', 'advanced', 'Bodoni', 'Bodoni_font', 'modern_font', 'innovative', 'modern', 'mod', 'New', 'Modern', 'forward-looking']"
risk,"['gamble', 'hazard', 'risk_of_exposure', 'chance', 'take_a_chance', 'peril', 'jeopardy', 'endangerment', 'lay_on_the_line', 'danger', 'risk_of_infection', 'take_chances', 'run_a_risk', 'risk', 'put_on_the_line', 'adventure']"
follows,"['survey', 'keep_up', 'keep_abreast', 'conform_to', 'trace', 'abide_by', 'keep_an_eye_on', 'watch', 'succeed', 'stick_to', 'be', 'come', 'watch_over', 'espouse', 'fall_out', 'accompany', 'surveil', 'adopt', 'come_after', 'play_along', 'follow', 'observe', 'stick_with', 'pursue', 'postdate', 'comply', 'take_after', 'travel_along']"
structure,"['complex_body_part', 'social_organization', 'construction', 'social_structure', 'social_organisation', 'social_system', 'body_structure', 'anatomical_structure', 'bodily_structure', 'structure']"
Most,"['nearly', 'about', 'almost', 'nigh', 'to_the_highest_degree', 'near', 'virtually', 'well-nigh', 'most']"
foresight,"['foresight', 'foresightfulness', 'foresightedness', 'prospicience', 'prevision', 'farsightedness']"
although,[]
inferiority,"['inferiority', 'low_quality', 'lower_status', 'lower_rank', 'unfavorable_position']"
in,"['inch', 'in', 'Hoosier_State', 'inward', 'IN', 'inwards', 'atomic_number_49', 'Indiana', 'indium', 'In']"
diversions,"['recreation', 'digression', 'diversion', 'deflection', 'deviation', 'deflexion', 'diversionary_attack', 'divagation']"
independence,"['Independence', 'independency', 'independence']"
experts,['expert']
technical,"['technological', 'technical', 'technical_foul', 'proficient', 'expert']"
win,"['advance', 'gain', 'gain_ground', 'bring_home_the_bacon', 'acquire', 'deliver_the_goods', 'win', 'make_headway', 'succeed', 'profits', 'get_ahead', 'winnings', 'pull_ahead', 'come_through']"
emerge,"['come_out', 'emerge', 'issue', 'egress', 'go_forth', 'come_forth']"
For,[]
fulfillment,"['fulfilment', 'fulfillment']"
facing,"['facing', 'face_up', 'cladding', 'lining', 'confront', 'front', 'veneer', 'present', 'face', 'look']"
economy,"['economy', 'economic_system', 'saving', 'thriftiness']"
objectives,"['object', 'object_lens', 'objective', 'target', 'aim', 'objective_lens', 'object_glass']"
momentum,"['impulse', 'momentum']"
cohesion,"['cohesiveness', 'coherency', 'coherence', 'cohesion']"
upon,[]
how,[]
early,"['ahead_of_time', 'early_on', 'early', 'other', 'too_soon', 'betimes', 'former']"
