w,vector_uso
related,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 1, 2, 1]"
effectiveness,"[0, 1, 0, 0, 0, 0]"
necessary,"[0, 0, 6, 6, 0]"
follow,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
Burma,"[0, 0, 0]"
treaty-making,[]
built,"[0, 0, 0, 4, 1, 0, 0, 0, 0, 2]"
aspirants,"[0, 0, 0, 0, 0]"
look,"[1, 0, 1, 3, 0, 0, 0, 0, 2, 13, 0, 0, 0, 0, 2, 2, 0, 0, 0, 4, 5, 2, 0, 0, 0, 0, 0, 1, 1]"
communicate,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
those,[]
understanding,"[0, 0, 0, 0, 0, 6, 0, 0, 5, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0]"
themselves,[]
does,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 16, 0, 0, 4, 2, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 1]"
relevant,[1]
impeded,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
context,"[0, 2, 1, 0, 0]"
problems,"[0, 0, 8]"
begun,"[0, 0, 0, 0, 0, 0, 0, 8, 0]"
effected,"[2, 0, 0, 5, 0, 0]"
counterparts,"[2, 0, 0, 1, 0]"
As,"[0, 105, 0, 0, 18, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0]"
Lastly,"[0, 0, 0, 5]"
being,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 79, 1, 1, 0, 14]"
provide,"[7, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
what,[]
believing,"[0, 0, 0, 2, 2, 2]"
dealing,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 1, 6, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
professional,"[0, 2, 2, 0]"
situation,"[0, 1, 10, 7, 0, 0, 1, 0, 0, 3]"
exploit,"[0, 8, 0, 2, 0, 0]"
new,"[0, 0, 0, 0, 3, 8, 0, 0, 0, 0, 0]"
priorities,"[0, 0, 0, 0, 0, 0]"
issue,"[1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 5, 2, 0, 2, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
exchange,"[0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
farm,"[1, 0, 0, 2]"
different,"[0, 1, 9]"
solved,"[0, 0, 0, 8, 1, 3, 0, 0, 0, 1]"
times,"[0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0]"
free-world,[]
modernization,"[0, 0]"
firmly,"[1, 1, 0, 0, 0, 0]"
West,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
however,"[0, 9, 0, 0, 0, 0, 2, 0, 0]"
personnel,"[4, 1, 0, 0, 0]"
Community,"[0, 0, 0, 10, 0]"
patience,"[0, 0, 0, 0]"
achieved,"[0, 0, 3, 2]"
mystique,[0]
skillfully,"[0, 0]"
pace,"[0, 0, 0, 0, 0, 0, 2, 6, 0]"
creating,"[2, 0, 4]"
movement,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1]"
introduced,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0]"
Efforts,"[0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1]"
generate,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 8, 0]"
illusions,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
begin,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0]"
modern,"[0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
risk,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
follows,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
structure,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
Most,"[2, 16, 5, 0, 0, 1, 0, 0, 19]"
foresight,"[0, 0, 0, 0, 0, 0]"
although,[]
inferiority,"[1, 0, 0, 0, 0]"
in,"[0, 343, 0, 0, 0, 0, 0, 0, 0, 47]"
diversions,"[0, 0, 0, 0, 0, 0, 0, 0]"
independence,"[0, 0, 0]"
experts,[0]
technical,"[0, 0, 0, 0, 0]"
win,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
emerge,"[0, 0, 0, 0, 0, 0]"
For,[]
fulfillment,"[0, 2]"
facing,"[0, 0, 0, 0, 2, 1, 0, 8, 0, 0]"
economy,"[2, 0, 0, 0]"
objectives,"[1, 0, 2, 0, 1, 0, 0]"
momentum,"[1, 0]"
cohesion,"[0, 0, 0, 1]"
upon,[]
how,[]
early,"[0, 0, 5, 36, 0, 0, 1]"
number,"[0, 10, 0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0]"
expect,"[0, 0, 0, 0, 3, 0, 1, 0, 1, 0, 0]"
where,[]
concern,"[0, 0, 0, 0, 2, 0, 0, 5, 2, 1, 0, 0, 6, 0, 0, 2, 1, 0, 0, 0]"
duty,"[2, 0, 6, 0]"
enterprises,"[0, 0, 0, 1, 0, 0]"
ways,"[0, 2, 0, 0, 1, 0, 1, 7, 0, 0, 0, 7, 8, 1, 0]"
cannot,[]
dearly,"[0, 0, 0, 0]"
reference,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
takes,"[0, 46, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 1, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 1, 0, 3, 0, 15, 0, 0, 0, 0, 0, 0, 4, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0]"
Iraq,"[0, 0, 0, 0]"
utilization,"[0, 1, 0, 0, 13, 0]"
middle,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
understand,"[0, 0, 0, 2, 6, 0, 0, 0, 0, 2, 0, 0]"
often,"[0, 2, 0, 0, 0, 12, 12]"
proceeding,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
purpose,"[0, 0, 0, 0, 2, 13, 0, 0, 7, 1, 0, 0]"
destroy,"[0, 0, 0, 0, 0]"
Development,"[0, 5, 0, 3, 0, 0, 1, 0, 2]"
role,"[0, 0, 13, 9, 1, 7, 3, 0, 0]"
labor,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
genuine,"[0, 0, 0, 2, 0, 3, 0]"
processes,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 5, 0, 0, 3, 0, 1, 0, 10]"
plan,"[0, 0, 2, 4, 0, 3, 1, 0]"
large,"[0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21]"
pertains,"[0, 2, 0, 0, 0, 0, 0, 2, 0, 1]"
friendly,"[0, 1, 2]"
clear,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
centralized,"[0, 0, 1, 0, 0]"
attitudes,"[0, 0, 1, 0]"
government,"[1, 4, 0, 3, 0, 0, 0, 0, 2]"
rigid,"[0, 4, 0, 0, 0, 0, 0]"
respond,"[0, 0, 0, 0]"
American,"[0, 0, 0]"
underline,"[0, 0, 0, 0]"
wider,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
of,[]
employed,"[1, 0, 13, 0, 2, 0, 0, 0]"
should,[]
needs,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 0, 1, 0, 0, 6, 1]"
fact,[20]
each,"[0, 0, 0, 11, 0]"
remain,"[0, 0, 1, 0, 0, 0]"
already,[13]
share,"[0, 5, 1, 0, 9, 1, 0, 0, 0, 0, 0, 7, 0, 0]"
around,"[0, 0, 16, 0, 0, 0, 6, 0, 0, 43]"
certain,"[0, 15, 0]"
established,"[2, 0, 0, 0, 0, 0, 1, 1, 6, 0, 3, 5, 0, 0, 0, 2, 0, 1, 2, 0, 4, 0, 0, 0, 0]"
Thus,"[1, 0, 0, 2, 16, 0, 0, 0, 1]"
suggested,"[0, 3, 0, 0, 0, 0, 0, 0]"
we,[]
manner,"[0, 1, 0, 0, 0, 1]"
emphasized,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0]"
periods,"[0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4]"
depends,"[0, 0, 0, 0, 3, 0]"
modernizing,"[0, 0, 5, 0]"
requirements,"[0, 0, 2, 6, 6, 1, 0]"
more,"[0, 0, 41, 0, 0, 0]"
various,"[0, 0, 0, 1, 28, 1]"
inflexible,"[0, 0, 0, 0, 0]"
scene,"[2, 0, 0, 0, 0, 3, 1, 4, 0, 0, 0, 0, 0]"
exceed,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
yet,"[9, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]"
waters,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
assume,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
all,"[2, 31, 0, 10, 2, 0, 0]"
productivity,"[0, 0]"
generally,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
characterize,"[0, 0, 0]"
appraisals,"[1, 1, 0, 0]"
earlier,"[0, 0, 0, 5, 0, 36, 0, 0, 1, 7, 0]"
life,"[0, 0, 0, 0, 6, 0, 0, 0, 1, 14, 0, 0, 0, 0]"
too,"[19, 0, 1, 0, 0, 0, 7, 0]"
highest,"[10, 0, 0, 0, 0, 0, 0]"
matters,"[5, 2, 0, 2, 0, 0, 3, 1]"
continue,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
nerve,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
communicating,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2]"
place,"[1, 2, 10, 0, 0, 1, 0, 7, 0, 0, 0, 6, 0, 0, 6, 1, 0, 0, 1, 0, 3, 1, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0]"
Above,"[0, 2, 0, 0, 0]"
benefits,"[0, 3, 0, 0, 0]"
Isolated,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
announced,"[0, 0, 0, 0, 0, 2, 0, 0, 0]"
push,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
national,"[1, 6, 1, 0, 0]"
war,"[0, 0, 2]"
difficult,"[0, 0, 0]"
slightest,"[1, 0, 0, 0, 0, 0, 0, 2, 0]"
derive,"[0, 0, 0, 0, 0, 0, 0, 0]"
unity,"[49, 8, 2, 0, 10, 7, 0, 0, 0]"
participation,"[0, 0, 2, 0]"
special,"[0, 9, 11, 3, 0, 0, 0]"
genuinely,"[1, 0, 0, 2]"
responsible,"[0, 2, 0]"
major,"[0, 0, 0, 0, 7]"
permit,"[0, 1, 0, 2, 0, 0, 1, 0, 0]"
volume,"[0, 0, 0, 0, 0, 0]"
choose,"[0, 6, 0, 0, 0, 0]"
call,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
education,"[0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
long-term,"[2, 0, 0]"
basis,"[0, 0, 2, 0, 5, 0, 0, 0]"
competently,"[0, 0, 0, 0]"
larger,"[0, 1, 0, 0, 0, 3, 0, 0, 12, 0, 0, 0, 0, 0, 3, 0, 21]"
reasonably,"[0, 0, 0, 1, 4, 2, 0, 0, 0, 0]"
old,"[0, 0, 0, 0, 0, 6, 0, 0, 2, 0, 1, 0, 1]"
perpetuate,[0]
find,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 8, 0, 2, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 4, 0]"
planners,"[0, 0, 0]"
nation,"[0, 0, 0, 0, 0, 1, 2, 1, 0, 0]"
demand,"[6, 0, 6, 0, 0, 0, 0, 1, 1, 0, 0]"
inhibitions,"[0, 0, 0, 2]"
later,"[2, 2, 2, 0, 0, 1, 6, 0, 7, 2, 1, 0, 0, 0, 0]"
Convinced,"[0, 0, 0, 0, 3, 0]"
seeking,"[0, 0, 0, 1, 0, 1, 2, 0, 0]"
has,"[46, 13, 0, 1, 0, 0, 0, 7, 0, 14, 0, 3, 1, 8, 0, 0, 0, 6, 0, 2, 1, 0, 4, 0, 0, 2, 0, 0, 0]"
covering,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1]"
inducing,"[46, 0, 0, 0, 4, 0, 0, 2, 0, 1, 8, 0]"
display,"[0, 0, 2, 0, 0, 0, 0]"
coordinated,"[0, 0, 1, 2, 1, 3, 0, 0, 1, 0]"
surpluses,"[0, 0, 0, 0]"
levels,"[0, 0, 6, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 0, 0]"
by,"[3, 3, 63, 0]"
afford,"[0, 1, 3, 0]"
concerted,"[0, 0, 0, 0, 0]"
live,"[0, 0, 0, 0, 0, 1, 14, 0, 0, 0, 79, 0, 0, 1, 2, 0, 1, 0, 5, 0, 0, 0, 0]"
pluralistic,[0]
constantly,"[2, 0, 0, 7, 0, 0]"
the,[]
not,"[0, 70]"
respect,"[0, 0, 0, 0, 2, 0, 0, 0, 2, 8, 0, 0, 0]"
Philippines,"[0, 0, 0, 0, 0]"
balanced,"[0, 0, 0, 0, 0, 0]"
carried,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 6, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
recognized,"[0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
frank,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
years,"[6, 35, 2, 0, 6, 0, 2, 0, 0, 0, 0]"
central,"[0, 0, 2, 0, 0, 3, 0]"
tenancy,"[0, 0]"
several,"[0, 1, 28]"
encounter,"[0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 4, 0]"
emphasis,"[0, 4, 2, 0]"
appraise,"[0, 5, 0, 2, 8, 1, 0]"
either,[6]
effort,"[0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1]"
single,"[49, 8, 2, 0, 10, 0, 7, 3, 0, 15, 0]"
do,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 16, 0, 0, 4, 2, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 1]"
conditions,"[0, 16, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
merely,"[22, 0, 15, 1, 18]"
psychological,[0]
attempt,"[0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0]"
growth,"[0, 0, 0, 0, 5, 0, 0, 1, 0, 2]"
such,[24]
difficulties,"[0, 0, 1]"
divisive,"[0, 0, 0]"
readiness,"[0, 4, 2, 0, 0, 0, 0, 0]"
subjects,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 2, 0, 5, 0, 0, 15, 1, 2]"
Progress,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
advantages,"[1, 0, 0]"
Civil,"[0, 0, 0]"
