w,vector_uso
type,"[12, 16, 0, 0, 35, 0]",Handbook of Federal Aids to Communities. U.S. Department of
U.S.,"[14, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
agency,"[0, 1, 2, 27, 123, 16, 0, 1, 0, 5]",Handbook of Federal Aids to Communities. U.S. Department of
amended,"[0, 1, 0, 57, 8, 0, 4, 0, 0, 3]",Handbook of Federal Aids to Communities. U.S. Department of
conferences,"[0, 0, 2]",Handbook of Federal Aids to Communities. U.S. Department of
provdied,[],Handbook of Federal Aids to Communities. U.S. Department of
themselves,[],Handbook of Federal Aids to Communities. U.S. Department of
range,"[1, 0, 0, 1, 34, 2, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 3, 0, 13, 3, 21, 0, 0, 2, 0, 4, 1, 0, 72, 0, 43, 0, 0, 0, 0, 12, 0, 4, 6, 11, 7, 3]",Handbook of Federal Aids to Communities. U.S. Department of
first,"[0, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 169, 20, 0, 1, 19, 4, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
exceeds,"[0, 0, 29, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
forests,"[0, 0, 2, 2, 6, 0, 5]",Handbook of Federal Aids to Communities. U.S. Department of
And,[],Handbook of Federal Aids to Communities. U.S. Department of
written,"[1, 4, 0, 14, 10, 3, 0, 0, 1, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Interest,"[0, 8, 1, 0, 1, 0, 33, 3, 5, 0, 2, 2]",Handbook of Federal Aids to Communities. U.S. Department of
Offices,"[1, 0, 0, 43, 19, 2, 16, 58, 1, 47, 7, 0, 72, 1, 6, 0, 7, 0, 6]",Handbook of Federal Aids to Communities. U.S. Department of
basic,"[0, 0, 0, 0, 0, 19]",Handbook of Federal Aids to Communities. U.S. Department of
Bank,"[0, 0, 0, 0, 7, 7, 0, 0, 0, 1, 0, 0, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
monthly,[2],Handbook of Federal Aids to Communities. U.S. Department of
area,"[34, 0, 32, 0, 1, 0, 1, 9, 28, 1]",Handbook of Federal Aids to Communities. U.S. Department of
flyers,"[0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
house,"[0, 54, 74, 0, 0, 0, 0, 52, 13, 3, 0, 2, 0, 0, 11, 0]",Handbook of Federal Aids to Communities. U.S. Department of
budgetary,[0],Handbook of Federal Aids to Communities. U.S. Department of
much,"[0, 0, 0, 6, 47, 111, 0, 11]",Handbook of Federal Aids to Communities. U.S. Department of
make,"[0, 0, 0, 0, 4, 8, 0, 0, 31, 0, 3, 0, 0, 0, 18, 26, 0, 127, 0, 0, 1, 1, 0, 0, 9, 0, 9, 0, 0, 123, 2, 80, 0, 0, 51, 17, 6, 1, 0, 0, 0, 0, 492, 0, 163, 0, 5, 1, 0, 0, 4, 0, 39, 21, 1, 0, 0, 0, 0, 0, 113, 11, 1, 21, 0, 16, 0, 0, 9, 0]",Handbook of Federal Aids to Communities. U.S. Department of
are,"[3, 11, 0, 1, 722, 0, 12, 0, 21, 479, 0, 26, 6, 6]",Handbook of Federal Aids to Communities. U.S. Department of
Business,"[0, 0, 0, 39, 0, 3, 5, 0, 24, 0, 0, 0, 0, 0, 5, 31]",Handbook of Federal Aids to Communities. U.S. Department of
Pooling,[48],Handbook of Federal Aids to Communities. U.S. Department of
under,"[71, 10, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Can,"[1, 0, 1, 0, 7, 3, 38, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 12, 0, 13, 1, 0, 0, 3, 0, 0, 0, 0, 4, 0, 235, 0, 4, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
anticipated,"[0, 25, 9, 0, 1, 0, 1, 0, 4, 1, 1, 0, 0, 15, 0, 0, 0, 2]",Handbook of Federal Aids to Communities. U.S. Department of
desired,"[0, 51, 7, 0, 1, 1, 0, 16, 22]",Handbook of Federal Aids to Communities. U.S. Department of
Pa.,[],Handbook of Federal Aids to Communities. U.S. Department of
mineral,[1],Handbook of Federal Aids to Communities. U.S. Department of
avail,"[0, 41, 19]",Handbook of Federal Aids to Communities. U.S. Department of
National,"[8, 25, 54, 0, 4]",Handbook of Federal Aids to Communities. U.S. Department of
Colo.,[],Handbook of Federal Aids to Communities. U.S. Department of
Developing,"[10, 13, 12, 13, 0, 0, 0, 0, 12, 3, 0, 0, 1, 0, 123, 0, 0, 3, 3, 0, 7, 0, 1, 16, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
reviewing,"[0, 1, 0, 0, 0, 1, 0, 2, 0]",Handbook of Federal Aids to Communities. U.S. Department of
out,"[0, 0, 4, 1, 0, 0, 2, 0, 0, 0, 0, 0, 309, 40, 0]",Handbook of Federal Aids to Communities. U.S. Department of
material,"[0, 16, 33, 1, 2, 0, 5, 0]",Handbook of Federal Aids to Communities. U.S. Department of
system,"[4, 23, 8, 1, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
individuals,"[4, 7, 28, 19, 4, 14]",Handbook of Federal Aids to Communities. U.S. Department of
may,"[0, 2, 0, 167, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
normal,"[8, 8, 24, 3, 2]",Handbook of Federal Aids to Communities. U.S. Department of
Printed,"[0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Introduction,"[0, 1, 4, 0, 0, 0, 0, 2, 1, 0, 2, 1, 1, 0, 0, 2, 0, 2]",Handbook of Federal Aids to Communities. U.S. Department of
Practical,"[0, 1, 0, 0, 6]",Handbook of Federal Aids to Communities. U.S. Department of
sales,"[0, 0, 12, 0, 4, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
organizations,"[3, 4, 23, 8, 0, 0, 0, 8, 0, 5, 1]",Handbook of Federal Aids to Communities. U.S. Department of
supply,"[1, 16, 0, 16, 9, 1, 2, 1, 0, 3, 0]",Handbook of Federal Aids to Communities. U.S. Department of
A,"[0, 0, 0, 0, 0, 0, 0, 2793, 0, 0, 147, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
authority,"[0, 0, 2, 0, 0, 4, 1, 0, 1, 3, 2, 16, 1, 0, 1, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
sources,"[1, 4, 4, 5, 0, 1, 0, 20, 3, 1, 3, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Purpose,"[18, 3, 66, 7, 0, 1, 7, 1, 11, 1, 2, 6]",Handbook of Federal Aids to Communities. U.S. Department of
dominant,"[0, 0, 0, 0, 3, 2]",Handbook of Federal Aids to Communities. U.S. Department of
Requirements,"[0, 3, 0, 13, 18, 4, 14]",Handbook of Federal Aids to Communities. U.S. Department of
interests,"[0, 8, 1, 0, 1, 0, 33, 3, 5, 0, 2, 2]",Handbook of Federal Aids to Communities. U.S. Department of
understand,"[17, 0, 102, 21, 8, 2, 0, 4, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
the,[],Handbook of Federal Aids to Communities. U.S. Department of
Wash.,[],Handbook of Federal Aids to Communities. U.S. Department of
provides,"[1, 0, 0, 16, 0, 32, 0, 1, 0, 3, 11, 12]",Handbook of Federal Aids to Communities. U.S. Department of
improving,"[3, 0, 0, 57, 8, 0, 307]",Handbook of Federal Aids to Communities. U.S. Department of
various,"[16, 0, 4, 41, 4, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Branch,"[3, 0, 0, 7, 0, 0, 1, 2, 5, 2, 18, 4, 1]",Handbook of Federal Aids to Communities. U.S. Department of
banks,"[0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 1, 0, 0, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
civilian,[2],Handbook of Federal Aids to Communities. U.S. Department of
dollar,"[1, 0, 0, 9, 0, 2, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Economic,"[0, 5]",Handbook of Federal Aids to Communities. U.S. Department of
rates,"[0, 34, 0, 5, 17, 3, 21, 0, 0, 0, 0, 72, 0, 10, 12, 0, 17, 7, 0, 0, 0, 1, 8]",Handbook of Federal Aids to Communities. U.S. Department of
releases,"[0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 3, 71, 22, 7, 0, 2, 37, 3, 0, 0, 0, 0, 16, 0, 4, 2, 0, 4, 0]",Handbook of Federal Aids to Communities. U.S. Department of
San,[],Handbook of Federal Aids to Communities. U.S. Department of
been,"[3, 11, 0, 1, 722, 0, 12, 21, 0, 26, 6, 6]",Handbook of Federal Aids to Communities. U.S. Department of
will,"[218, 0, 32, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
which,[],Handbook of Federal Aids to Communities. U.S. Department of
income,[10],Handbook of Federal Aids to Communities. U.S. Department of
contributed,"[0, 51, 1, 0, 9, 0, 20, 1, 18, 0, 4, 1]",Handbook of Federal Aids to Communities. U.S. Department of
important,"[0, 32, 14, 4, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Assist,"[1, 4, 9, 0, 0, 3, 7, 41]",Handbook of Federal Aids to Communities. U.S. Department of
commercial,"[0, 0, 3]",Handbook of Federal Aids to Communities. U.S. Department of
waste,"[0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 10, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
present,"[2, 3, 0, 36, 0, 2, 6, 5, 0, 0, 11, 51, 0, 44, 0, 2, 0, 6, 62, 3, 6, 0]",Handbook of Federal Aids to Communities. U.S. Department of
owned,"[3, 492, 4, 111]",Handbook of Federal Aids to Communities. U.S. Department of
advised,"[0, 0, 0, 0, 0, 1, 0, 0, 5, 2, 2, 0]",Handbook of Federal Aids to Communities. U.S. Department of
international,"[29, 2, 5, 6]",Handbook of Federal Aids to Communities. U.S. Department of
made,"[0, 0, 0, 0, 4, 8, 0, 0, 31, 0, 3, 0, 0, 0, 18, 26, 117, 0, 127, 0, 0, 1, 1, 0, 0, 9, 0, 9, 0, 0, 123, 80, 0, 51, 17, 6, 1, 0, 0, 0, 492, 0, 163, 0, 5, 1, 0, 0, 4, 0, 39, 21, 1, 0, 0, 0, 0, 0, 113, 11, 1, 21, 0, 16, 0, 0, 9, 0]",Handbook of Federal Aids to Communities. U.S. Department of
This,[],Handbook of Federal Aids to Communities. U.S. Department of
conditions,"[7, 13, 0, 15, 17, 2, 0, 0, 0, 8, 0, 8, 2, 5, 0, 7, 6, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
streamlined,"[0, 0, 3, 2, 3]",Handbook of Federal Aids to Communities. U.S. Department of
Specifications,"[0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
position,"[1, 17, 43, 0, 19, 4, 4, 0, 16, 61, 0, 0, 51, 0, 0, 72, 0, 1, 0, 7, 18, 29, 1, 0, 6, 0, 1, 46]",Handbook of Federal Aids to Communities. U.S. Department of
exists,"[0, 722, 26, 5, 6]",Handbook of Federal Aids to Communities. U.S. Department of
toward,[],Handbook of Federal Aids to Communities. U.S. Department of
its,"[0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
needs,"[0, 6, 0, 0, 0, 51, 16, 54, 8, 6, 22, 80, 0, 5, 6, 14, 0, 0, 1, 0]",Handbook of Federal Aids to Communities. U.S. Department of
number,"[0, 0, 0, 12, 84, 42, 0, 0, 22, 22, 37, 21, 22, 0, 16, 24, 7, 0, 5, 0]",Handbook of Federal Aids to Communities. U.S. Department of
contribution,"[5, 0, 47, 17]",Handbook of Federal Aids to Communities. U.S. Department of
credit,"[0, 0, 0, 0, 0, 4, 0, 0, 3, 0, 5, 9, 2]",Handbook of Federal Aids to Communities. U.S. Department of
Types,"[12, 16, 0, 0, 35, 0]",Handbook of Federal Aids to Communities. U.S. Department of
expanding,"[0, 0, 0, 0, 2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
44,"[0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
commodities,"[0, 0, 134]",Handbook of Federal Aids to Communities. U.S. Department of
repaid,"[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
establishing,"[59, 0, 3, 3, 0, 1, 13, 0, 21, 51, 44, 0, 1, 1, 113, 3, 9, 8, 0]",Handbook of Federal Aids to Communities. U.S. Department of
invitations,[3],Handbook of Federal Aids to Communities. U.S. Department of
possible,"[41, 6]",Handbook of Federal Aids to Communities. U.S. Department of
more,"[271, 7, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
at,"[580, 0, 0, 35]",Handbook of Federal Aids to Communities. U.S. Department of
Ga.,[],Handbook of Federal Aids to Communities. U.S. Department of
pays,"[0, 19, 51, 3, 5, 0, 0, 6, 0, 0, 6, 5, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
Economics,"[0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
domestic,"[0, 0, 0, 4]",Handbook of Federal Aids to Communities. U.S. Department of
secured,"[0, 1, 0, 0, 0, 2, 3, 0, 0, 1, 5, 0]",Handbook of Federal Aids to Communities. U.S. Department of
thereby,[2],Handbook of Federal Aids to Communities. U.S. Department of
SBA's,[],Handbook of Federal Aids to Communities. U.S. Department of
given,"[13, 13, 3, 2, 36, 4, 38, 0, 3, 0, 1, 0, 1, 1, 0, 0, 3, 10, 1, 7, 1, 51, 6, 0, 2, 17, 6, 0, 2, 0, 41, 12, 1, 0, 492, 0, 0, 0, 0, 19, 32, 0, 6, 6, 113, 50, 11, 2, 0]",Handbook of Federal Aids to Communities. U.S. Department of
providing,"[1, 0, 0, 16, 0, 32, 0, 1, 0, 3, 11, 12]",Handbook of Federal Aids to Communities. U.S. Department of
Cooperative,"[0, 0, 0, 0, 2, 2]",Handbook of Federal Aids to Communities. U.S. Department of
pay,"[0, 19, 51, 3, 5, 0, 0, 6, 0, 0, 6, 5, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
source,"[1, 4, 4, 5, 0, 1, 0, 20, 3, 1, 3, 0]",Handbook of Federal Aids to Communities. U.S. Department of
be,"[6, 0, 3, 11, 0, 1, 722, 0, 12, 21, 0, 0, 0, 6, 4, 26]",Handbook of Federal Aids to Communities. U.S. Department of
short,"[0, 0, 1, 8, 0, 20, 0, 2, 0, 0, 99, 6, 2, 47, 0, 0, 0, 0, 0, 28, 4, 0, 27, 0]",Handbook of Federal Aids to Communities. U.S. Department of
publications,"[0, 2, 16]",Handbook of Federal Aids to Communities. U.S. Department of
regular,"[0, 0, 0, 115, 4, 10, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Survey,"[18, 0, 11, 17, 1, 24, 1, 2, 0, 1, 7]",Handbook of Federal Aids to Communities. U.S. Department of
OBE,[],Handbook of Federal Aids to Communities. U.S. Department of
borrow,"[0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Ill.,[],Handbook of Federal Aids to Communities. U.S. Department of
eligible,[2],Handbook of Federal Aids to Communities. U.S. Department of
along,"[839, 37]",Handbook of Federal Aids to Communities. U.S. Department of
Farm,"[12, 7, 16, 48]",Handbook of Federal Aids to Communities. U.S. Department of
semi-processed,[0],Handbook of Federal Aids to Communities. U.S. Department of
5-percent,[],Handbook of Federal Aids to Communities. U.S. Department of
representative,"[0, 0, 23, 2, 30, 1, 1, 10, 0]",Handbook of Federal Aids to Communities. U.S. Department of
primarily,"[0, 3, 2, 0, 3, 1]",Handbook of Federal Aids to Communities. U.S. Department of
urgently,"[2, 0]",Handbook of Federal Aids to Communities. U.S. Department of
