understanding,"[0, 8, 21, 2, 1, 1, 0, 11, 0, 1, 0, 0, 9, 102, 4, 17, 30, 0, 0, 0]",Stranger in a Strange Land.
hold,"[4, 1, 2, 35, 0, 12, 2, 38, 1, 0, 3, 3, 0, 0, 0, 0, 10, 0, 3, 9, 0, 0, 10, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 13, 0, 0, 80, 4, 7, 51, 0, 17, 6, 0, 0, 3, 1, 4, 1, 0, 1, 10, 5, 0, 0, 0, 492, 0, 0, 1, 0, 4, 6, 0, 0, 1, 0, 113, 2, 0, 5, 0, 6, 1, 2]",Stranger in a Strange Land.
light,"[0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 18, 0, 0, 2, 0, 0, 8, 20, 0, 3, 47, 16, 1, 0, 0, 0, 0, 0, 1, 28, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
start,"[0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 123, 0, 47, 0, 0, 4, 0, 0, 90, 169, 0, 0, 20, 0, 1, 1, 0, 19, 0, 8, 0, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
up,"[3, 0, 0, 0, 4, 307]",Stranger in a Strange Land.
it'll,[],Stranger in a Strange Land.
brother,"[16, 1, 0, 1, 0, 1, 0, 0, 0]",Stranger in a Strange Land.
don't,[],Stranger in a Strange Land.
America,"[14, 17, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
pool,"[4, 0, 48, 0, 0, 0, 0]",Stranger in a Strange Land.
remained,"[2, 13, 16, 16, 0, 13]",Stranger in a Strange Land.
ripple,"[0, 0, 4, 0, 0, 0, 3, 0, 0, 0, 1, 0]",Stranger in a Strange Land.
Digby,[],Stranger in a Strange Land.
growing-waiting,[],Stranger in a Strange Land.
life,"[0, 0, 0, 14, 0, 0, 0, 1, 0, 98, 0, 33, 0, 1]",Stranger in a Strange Land.
looking,"[41, 5, 0, 26, 15, 0, 0, 3, 10, 0, 0, 102, 0, 0, 7, 59, 4, 7, 62, 23, 4]",Stranger in a Strange Land.
Tabernacle,"[0, 0, 3, 0, 1]",Stranger in a Strange Land.
meantime,"[1, 0, 1, 0, 2]",Stranger in a Strange Land.
Mahmoud,[],Stranger in a Strange Land.
tasted,"[0, 0, 22, 1, 0, 7, 0]",Stranger in a Strange Land.
consisting,"[3, 8, 0, 0, 2]",Stranger in a Strange Land.
disappearance,"[3, 0, 0]",Stranger in a Strange Land.
there's,[],Stranger in a Strange Land.
shape,"[0, 0, 0, 1, 13, 0, 127, 0, 17, 1, 0, 0, 1, 1, 22, 0, 12, 0, 0, 3, 39, 0, 8, 5, 4, 0, 6, 0, 3, 9]",Stranger in a Strange Land.
seemed,"[3, 59, 26]",Stranger in a Strange Land.
spaces,"[0, 0, 0, 2, 2, 72, 43, 16]",Stranger in a Strange Land.
Palermo,[1],Stranger in a Strange Land.
most,"[237, 18, 23, 66, 0, 104, 3, 0, 0]",Stranger in a Strange Land.
necessity,"[0, 3, 13, 18, 4]",Stranger in a Strange Land.
Ardent,"[0, 0, 11, 2, 0, 2, 1, 0]",Stranger in a Strange Land.
Sicily,"[0, 1]",Stranger in a Strange Land.
President,"[0, 14, 0, 4, 8, 0, 0, 0, 0, 3]",Stranger in a Strange Land.
stupid,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]",Stranger in a Strange Land.
nestling,"[0, 0, 17, 1, 0, 0, 0, 0, 0, 0, 1, 1, 4, 0, 0, 0, 4, 0, 0]",Stranger in a Strange Land.
Technician,[0],Stranger in a Strange Land.
Indian,"[0, 6, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
sands,"[1, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",Stranger in a Strange Land.
work,"[0, 0, 1, 23, 0, 13, 18, 0, 127, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 1, 0, 0, 22, 90, 0, 0, 3, 12, 12, 37, 2, 43, 6, 39, 6, 24, 113, 0, 0, 3, 9]",Stranger in a Strange Land.
powers,"[10, 0, 0, 14, 16, 0, 58, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 81]",Stranger in a Strange Land.
clinches,"[5, 0, 1, 0, 0]",Stranger in a Strange Land.
D,"[0, 0, 0, 13, 3, 0, 0, 0, 0]",Stranger in a Strange Land.
few,[71],Stranger in a Strange Land.
Warm,"[9, 1, 11, 0, 1, 0, 0, 1, 2, 25]",Stranger in a Strange Land.
Bishop,[0],Stranger in a Strange Land.
known,"[49, 0, 49, 0, 0, 0, 0, 0, 0, 26, 3, 0, 0, 0, 129, 2, 0, 0, 24, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 8, 5, 0]",Stranger in a Strange Land.
discovered,"[0, 0, 2, 3, 55, 13, 1, 31, 0, 0, 4, 0, 8, 0, 0, 6, 4, 0, 0, 4, 6, 12, 0, 102, 6, 2, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 0, 0, 8, 0]",Stranger in a Strange Land.
reviewed,"[0, 1, 0, 0, 0, 1, 0, 2, 0]",Stranger in a Strange Land.
angel,"[5, 0, 0, 0, 4, 0, 4]",Stranger in a Strange Land.
!,[],Stranger in a Strange Land.
threes-fulfilled,[],Stranger in a Strange Land.
disappointed,"[3, 1, 3, 1, 0, 0, 0, 0]",Stranger in a Strange Land.
bed,"[0, 49, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 129, 0, 0, 0, 0, 0, 0, 13, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0]",Stranger in a Strange Land.
Miracle,[2],Stranger in a Strange Land.
first,"[0, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 169, 20, 0, 1, 19, 4, 0, 0, 0]",Stranger in a Strange Land.
professional,"[0, 12, 1, 9]",Stranger in a Strange Land.
voice,"[0, 47, 0, 0, 2, 30, 0, 1, 0, 0, 25, 0, 0, 0]",Stranger in a Strange Land.
Hi,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
spring,"[3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 4, 4, 0, 19, 0, 39, 0, 0, 7]",Stranger in a Strange Land.
Anyhow,"[3, 0, 0, 6, 0, 0]",Stranger in a Strange Land.
doing,"[3, 0, 0, 9, 18, 0, 84, 0, 5, 0, 1, 6, 22, 0, 6, 25, 0, 1, 163, 0, 0, 3, 113, 46]",Stranger in a Strange Land.
having,"[49, 0, 6, 111, 2, 7, 0, 0, 51, 18, 0, 4, 123, 80, 51, 17, 0, 6, 1, 3, 492, 4, 1, 0, 113, 2, 6]",Stranger in a Strange Land.
am,"[3, 21, 0, 0, 26, 6, 0, 0, 0, 1, 12, 0, 0, 0, 0, 0, 0, 11, 722, 6]",Stranger in a Strange Land.
check,"[12, 0, 4, 0, 0, 16, 0, 0, 13, 0, 0, 10, 0, 0, 0, 5, 38, 3, 0, 1, 3, 17, 0, 0, 8, 4, 0, 1, 1, 0, 7, 0, 1, 0, 1, 0, 0, 0, 3, 2, 102, 0, 0, 17, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 7, 4, 0, 0, 6, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",Stranger in a Strange Land.
look,"[41, 5, 0, 0, 26, 0, 15, 0, 0, 3, 14, 10, 37, 0, 102, 14, 23, 0, 8, 2, 7, 59, 4, 6, 7, 62, 6, 23, 4]",Stranger in a Strange Land.
miss,"[0, 9, 0, 51, 10, 0, 1, 3, 1, 0, 0, 0, 0, 0, 7, 8, 9, 0]",Stranger in a Strange Land.
Larry,[],Stranger in a Strange Land.
much,"[0, 0, 0, 6, 47, 111, 0, 11]",Stranger in a Strange Land.
loose,"[0, 0, 0, 9, 38, 0, 0, 0, 0, 7, 0, 0, 22, 7, 0, 47, 16, 0, 3, 0, 1, 4, 0, 2, 0]",Stranger in a Strange Land.
make,"[0, 0, 0, 0, 4, 8, 0, 0, 31, 0, 3, 0, 0, 0, 18, 26, 0, 127, 0, 0, 1, 1, 0, 0, 9, 0, 9, 0, 0, 123, 2, 80, 0, 0, 51, 17, 6, 1, 0, 0, 0, 0, 492, 0, 163, 0, 5, 1, 0, 0, 4, 0, 39, 21, 1, 0, 0, 0, 0, 0, 113, 11, 1, 21, 0, 16, 0, 0, 9, 0]",Stranger in a Strange Land.
are,"[3, 11, 0, 1, 722, 0, 12, 0, 21, 479, 0, 26, 6, 6]",Stranger in a Strange Land.
estimate,"[0, 1, 9, 1, 0, 4, 31, 0, 0, 12, 22, 0, 0, 3]",Stranger in a Strange Land.
fleeting,"[0, 0, 0, 2, 0, 0, 1, 0, 12, 0, 0, 0, 0]",Stranger in a Strange Land.
goodness,"[134, 4]",Stranger in a Strange Land.
edition,"[7, 0, 0, 1]",Stranger in a Strange Land.
dismissed,"[0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 29, 1, 0, 0, 0, 5, 0, 0, 0, 0, 235, 0, 9, 0, 0, 0]",Stranger in a Strange Land.
clear-headed,[],Stranger in a Strange Land.
spend,"[0, 12, 9, 4]",Stranger in a Strange Land.
I've,[],Stranger in a Strange Land.
sigh,"[0, 0, 2]",Stranger in a Strange Land.
warm,"[9, 1, 11, 0, 1, 0, 0, 1, 2, 25]",Stranger in a Strange Land.
National,"[8, 25, 54, 0, 4]",Stranger in a Strange Land.
ever,"[59, 0, 46, 0, 0]",Stranger in a Strange Land.
considerate,[1],Stranger in a Strange Land.
because,[],Stranger in a Strange Land.
straighten,"[0, 0, 0, 0, 2, 0, 0, 0, 0]",Stranger in a Strange Land.
promotion,"[0, 0, 1, 3, 0, 0, 0]",Stranger in a Strange Land.
without,[],Stranger in a Strange Land.
darling,"[0, 0, 0, 8, 0, 3, 2, 0, 0, 3, 0]",Stranger in a Strange Land.
hand-woven,[],Stranger in a Strange Land.
We,[],Stranger in a Strange Land.
out,"[0, 0, 4, 1, 0, 0, 2, 0, 0, 0, 0, 0, 309, 40, 0]",Stranger in a Strange Land.
saw,"[0, 12, 0, 49, 8, 17, 3, 0, 0, 55, 0, 0, 11, 2, 6, 4, 0, 5, 38, 4, 1, 0, 1, 4, 0, 3, 0, 0, 13, 59, 1, 0, 8, 0, 7, 10, 0, 102, 7, 1, 0, 0, 1, 22, 20, 0, 2, 0, 0, 0, 0, 17, 15, 6, 19, 59, 4, 0, 0, 0, 0]",Stranger in a Strange Land.
nymphs,"[0, 0]",Stranger in a Strange Land.
normal,"[8, 8, 24, 3, 2]",Stranger in a Strange Land.
among,[],Stranger in a Strange Land.
weary,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 7]",Stranger in a Strange Land.
?,[],Stranger in a Strange Land.
speeded,"[0, 0, 30, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 14, 1]",Stranger in a Strange Land.
congregation,"[2, 1, 3, 0]",Stranger in a Strange Land.
He,"[0, 1039, 486, 2]",Stranger in a Strange Land.
barometric,"[0, 1]",Stranger in a Strange Land.
A,"[0, 0, 0, 0, 0, 0, 0, 2793, 0, 0, 147, 0, 0]",Stranger in a Strange Land.
personae,"[12, 47, 0, 7, 0, 13]",Stranger in a Strange Land.
uneasy,"[1, 1, 1, 0, 0, 3, 4, 0]",Stranger in a Strange Land.
learning,"[0, 0, 12, 21, 3, 0, 0, 3, 1, 4, 0, 0, 0, 4, 0, 80, 102, 1, 0, 1, 3, 0, 1, 5, 15, 6, 0, 24, 0, 0, 0]",Stranger in a Strange Land.
breathing,"[0, 0, 2, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 7]",Stranger in a Strange Land.
naked,"[0, 0, 8, 5, 5, 4]",Stranger in a Strange Land.
understand,"[17, 0, 102, 21, 8, 2, 0, 4, 0, 0, 0, 0]",Stranger in a Strange Land.
the,[],Stranger in a Strange Land.
uncurled,"[0, 1]",Stranger in a Strange Land.
assistant,"[0, 3, 41, 0, 0]",Stranger in a Strange Land.
equator,[1],Stranger in a Strange Land.
millennia,"[1, 0]",Stranger in a Strange Land.
Self's,[],Stranger in a Strange Land.
Then,"[177, 228, 0, 0]",Stranger in a Strange Land.
cold,"[0, 0, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0, 15]",Stranger in a Strange Land.
ship,"[17, 0, 0, 10]",Stranger in a Strange Land.
ways,"[15, 27, 2, 8, 0, 8, 123, 0, 6, 9, 3, 0, 0, 12, 31]",Stranger in a Strange Land.
Boone,"[2, 0]",Stranger in a Strange Land.
like,"[5, 15, 17, 1, 2, 0, 0, 21, 88, 0, 176]",Stranger in a Strange Land.
rock-steady,"[0, 0, 1]",Stranger in a Strange Land.
worried,"[6, 8, 33, 0, 0, 4, 21, 0, 0, 5, 1, 0]",Stranger in a Strange Land.
been,"[3, 11, 0, 1, 722, 0, 12, 21, 0, 26, 6, 6]",Stranger in a Strange Land.
indicted,[0],Stranger in a Strange Land.
deduced,"[0, 0, 1, 0]",Stranger in a Strange Land.
which,[],Stranger in a Strange Land.
weakness,"[2, 3, 0, 0]",Stranger in a Strange Land.
ill-starred,"[1, 0, 1, 2, 0]",Stranger in a Strange Land.
Anne,[28],Stranger in a Strange Land.
limited,"[0, 0, 24, 1, 0, 1, 1, 0, 10, 1, 5, 0, 2, 7, 0, 0, 46, 7]",Stranger in a Strange Land.
yourself,[],Stranger in a Strange Land.
sentence,"[0, 0, 3, 1, 0, 2, 0, 188]",Stranger in a Strange Land.
made,"[0, 0, 0, 0, 4, 8, 0, 0, 31, 0, 3, 0, 0, 0, 18, 26, 117, 0, 127, 0, 0, 1, 1, 0, 0, 9, 0, 9, 0, 0, 123, 80, 0, 51, 17, 6, 1, 0, 0, 0, 492, 0, 163, 0, 5, 1, 0, 0, 4, 0, 39, 21, 1, 0, 0, 0, 0, 0, 113, 11, 1, 21, 0, 16, 0, 0, 9, 0]",Stranger in a Strange Land.
This,[],Stranger in a Strange Land.
conditions,"[7, 13, 0, 15, 17, 2, 0, 0, 0, 8, 0, 8, 2, 5, 0, 7, 6, 0, 1]",Stranger in a Strange Land.
we,[],Stranger in a Strange Land.
toward,[],Stranger in a Strange Land.
opened,"[38, 0, 0, 10, 12, 51, 11, 0]",Stranger in a Strange Land.
after,"[33, 0, 0, 89, 0, 3]",Stranger in a Strange Land.
Douglas,"[0, 0, 1, 0]",Stranger in a Strange Land.
come,"[0, 1, 0, 12, 0, 0, 3, 0, 5, 84, 42, 3, 3, 0, 0, 123, 0, 20, 22, 0, 0, 163, 0, 11, 0]",Stranger in a Strange Land.
right,"[0, 0, 0, 0, 2, 0, 10, 0, 1, 0, 3, 0, 0, 4, 84, 0, 0, 3, 0, 4, 0, 3, 9, 0, 0, 0, 8, 134]",Stranger in a Strange Land.
Do,"[1, 0, 3, 0, 0, 0, 9, 18, 0, 0, 84, 0, 5, 0, 0, 1, 6, 22, 0, 6, 25, 0, 0, 1, 163, 0, 0, 3, 113, 46]",Stranger in a Strange Land.
Even,"[47, 1, 1, 14, 0, 14, 0, 0, 115, 10, 8, 103]",Stranger in a Strange Land.
still,"[1, 3, 0, 6, 0, 2, 0, 0, 0, 115, 47, 0, 4, 6, 3, 0, 35, 0, 0, 0, 2, 103, 0, 0, 0, 0, 0, 1, 12, 0, 0, 6, 2, 9, 0, 0, 0, 11]",Stranger in a Strange Land.
darkness,"[0, 31, 3, 0, 0, 0, 8]",Stranger in a Strange Land.
colder,"[1, 0, 0, 4, 0, 1, 0, 15]",Stranger in a Strange Land.
punk,"[0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1]",Stranger in a Strange Land.
get,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 5, 113, 2, 19, 16, 1, 0, 0, 2]",Stranger in a Strange Land.
more,"[271, 7, 0, 0, 0, 0]",Stranger in a Strange Land.
at,"[580, 0, 0, 35]",Stranger in a Strange Land.
went,"[0, 0, 0, 0, 0, 0, 13, 0, 0, 83, 1, 26, 0, 3, 0, 127, 0, 0, 1, 0, 8, 0, 0, 0, 0, 0, 123, 33, 0, 0, 90, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 12, 11, 20, 6, 19, 43, 6, 1, 0, 6, 0, 25, 0, 19, 17, 5]",Stranger in a Strange Land.
candidate,"[3, 6, 0, 0]",Stranger in a Strange Land.
Joseph,"[0, 8]",Stranger in a Strange Land.
started,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 123, 0, 47, 0, 4, 0, 90, 0, 0, 0, 19, 0, 8, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
turned,"[0, 1, 0, 4, 3, 0, 0, 0, 127, 12, 0, 0, 102, 0, 0, 33, 0, 7, 37, 54, 0, 0, 0, 0, 4]",Stranger in a Strange Land.
louse,"[0, 0, 0, 1, 1, 0, 0, 0]",Stranger in a Strange Land.
worse,"[5, 0, 1, 2, 0, 0, 53, 0, 19, 0, 0, 7, 0, 0, 5, 7, 0]",Stranger in a Strange Land.
parents,"[7, 3, 0, 1, 0]",Stranger in a Strange Land.
kissing,"[1, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",Stranger in a Strange Land.
serviettes,"[0, 0, 0]",Stranger in a Strange Land.
Okay,"[0, 22, 0, 3, 0, 1, 2, 0, 0, 1, 0, 0, 0]",Stranger in a Strange Land.
teaches,"[0, 0, 4, 0, 0, 4, 0, 0]",Stranger in a Strange Land.
waiting,"[17, 0, 10, 59, 0, 15, 0, 0, 0]",Stranger in a Strange Land.
triumphantly,[1],Stranger in a Strange Land.
ethereal,"[0, 0, 0, 1, 0, 0, 0, 1]",Stranger in a Strange Land.
be,"[6, 0, 3, 11, 0, 1, 722, 0, 12, 21, 0, 0, 0, 6, 4, 26]",Stranger in a Strange Land.
almost,"[237, 18, 23, 66, 0, 104, 3, 0]",Stranger in a Strange Land.
translated,"[17, 1, 21, 2, 2, 4]",Stranger in a Strange Land.
posture,"[0, 19, 8, 10, 0, 18, 3, 1, 6, 0, 0, 0, 0]",Stranger in a Strange Land.
with-but-after,[],Stranger in a Strange Land.
between,"[83, 0, 0]",Stranger in a Strange Land.
company,"[2, 0, 2, 0, 1, 0, 14, 0, 15, 11, 0]",Stranger in a Strange Land.
Second,"[40, 1, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 45, 1, 0, 0, 0, 0, 24, 162, 1]",Stranger in a Strange Land.
neither,[10],Stranger in a Strange Land.
down,"[146, 0, 0, 20, 0, 0, 0, 0, 0, 5, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9, 0]",Stranger in a Strange Land.
studied,"[0, 80, 10, 0, 21, 11, 0, 5, 0, 2, 24, 2, 4, 0]",Stranger in a Strange Land.
while,"[1, 1, 11, 77]",Stranger in a Strange Land.
Manchester,[1],Stranger in a Strange Land.
wailing,"[2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0]",Stranger in a Strange Land.
let,"[10, 492, 0, 5, 0, 0, 1, 1, 0, 0, 0, 51, 0, 12, 123]",Stranger in a Strange Land.
ran,"[30, 23, 1, 0, 74, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 127, 2, 0, 9, 0, 0, 9, 0, 7, 0, 21, 0, 6, 0, 90, 1, 3, 0, 12, 0, 20, 43, 6, 5, 2, 0, 0, 1, 0, 11, 7, 0, 19, 0]",Stranger in a Strange Land.
until,[],Stranger in a Strange Land.
Hell,"[14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 0]",Stranger in a Strange Land.
Science,"[0, 8, 11]",Stranger in a Strange Land.
snack,"[0, 0, 1, 1]",Stranger in a Strange Land.
