However,"[0, 1, 0, 6, 35, 47, 0, 103, 3]",Toward a Concept of National Responsibility
safe,"[0, 0, 13, 134, 4, 3, 0, 8]",Toward a Concept of National Responsibility
fervors,"[29, 1, 0, 0, 1, 6, 0, 0, 0, 0]",Toward a Concept of National Responsibility
will,"[0, 0, 32, 218, 0]",Toward a Concept of National Responsibility
parochial,"[1, 0]",Toward a Concept of National Responsibility
but,"[409, 25, 115, 211, 11]",Toward a Concept of National Responsibility
characteristic,"[17, 1, 0]",Toward a Concept of National Responsibility
groups,"[30, 0, 0, 0, 0, 1]",Toward a Concept of National Responsibility
external,"[29, 2, 5, 0]",Toward a Concept of National Responsibility
come,"[84, 0, 0, 5, 42, 12, 0, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 0, 0, 20, 22, 0]",Toward a Concept of National Responsibility
transformation,"[0, 7, 1, 1]",Toward a Concept of National Responsibility
powers,"[10, 16, 58, 0, 0, 0, 6, 0, 0, 81, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0]",Toward a Concept of National Responsibility
articulation,"[0, 0, 4, 0, 30, 0, 2]",Toward a Concept of National Responsibility
fascination,"[1, 1, 0, 0]",Toward a Concept of National Responsibility
third,"[1, 0, 16, 0, 2, 0, 0, 0]",Toward a Concept of National Responsibility
conditions,"[0, 7, 15, 8, 7, 0, 0, 5, 1, 17, 13, 0, 8, 0, 2, 0, 0, 2, 6]",Toward a Concept of National Responsibility
part,"[0, 16, 4, 12, 4, 47, 6, 0, 0, 0, 17, 5, 1, 0, 0, 0, 0, 1, 19, 7, 0, 0, 3, 3, 6, 0, 9, 11, 12, 0, 5, 6, 13, 30, 1, 0]",Toward a Concept of National Responsibility
accumulating,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 1]",Toward a Concept of National Responsibility
complex,"[15, 0, 0, 0]",Toward a Concept of National Responsibility
commands,"[6, 2, 0, 0, 8, 1, 0, 0, 0, 4, 38, 4, 4]",Toward a Concept of National Responsibility
navy,"[0, 0, 0, 0, 0, 0, 3, 0]",Toward a Concept of National Responsibility
(,[],Toward a Concept of National Responsibility
idea,"[50, 67, 0, 0, 0, 7, 3, 31, 1]",Toward a Concept of National Responsibility
perform,"[163, 0, 1]",Toward a Concept of National Responsibility
establish,"[13, 8, 51, 3, 113, 0, 0, 21, 59, 3, 44, 3, 1, 9, 1, 0, 0, 0, 1]",Toward a Concept of National Responsibility
assert,"[0, 0, 0, 0, 0, 5, 0, 2, 1, 3, 3]",Toward a Concept of National Responsibility
wants,"[6, 16, 10, 17, 54, 0, 1, 51, 0, 2, 0]",Toward a Concept of National Responsibility
By,"[497, 39, 7, 40]",Toward a Concept of National Responsibility
motivations,"[8, 0, 54, 6]",Toward a Concept of National Responsibility
dynamic,"[3, 0, 4, 0]",Toward a Concept of National Responsibility
seminal,"[0, 1, 0]",Toward a Concept of National Responsibility
peoples,"[0, 2, 0, 4, 0, 0, 2, 102]",Toward a Concept of National Responsibility
legal,"[4, 0, 25]",Toward a Concept of National Responsibility
Pax,"[0, 0]",Toward a Concept of National Responsibility
relief,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 8, 0, 0, 0, 0, 0, 0, 16, 0, 4, 0, 0, 0]",Toward a Concept of National Responsibility
epitomizes,"[0, 0, 0]",Toward a Concept of National Responsibility
internal,"[0, 54, 3, 4, 3, 0, 8]",Toward a Concept of National Responsibility
made,"[0, 9, 0, 0, 1, 1, 1, 0, 0, 80, 0, 1, 8, 0, 51, 5, 3, 0, 113, 0, 0, 0, 0, 18, 123, 31, 0, 0, 0, 9, 0, 6, 4, 0, 4, 117, 11, 163, 0, 0, 26, 0, 0, 0, 492, 9, 1, 0, 21, 0, 0, 0, 0, 0, 16, 0, 17, 127, 39, 0, 0, 0, 0, 0, 21, 1, 0, 0]",Toward a Concept of National Responsibility
sovereigns,"[0, 0, 0]",Toward a Concept of National Responsibility
contours,"[0, 0, 0, 39, 3, 13]",Toward a Concept of National Responsibility
planet,"[0, 0, 8]",Toward a Concept of National Responsibility
owed,[1],Toward a Concept of National Responsibility
International,"[29, 2, 6, 5]",Toward a Concept of National Responsibility
Recognizing,"[0, 0, 2, 0, 0, 0, 0, 0, 129, 5, 8, 0, 6, 2, 0, 0]",Toward a Concept of National Responsibility
together,"[30, 0, 0]",Toward a Concept of National Responsibility
defined,"[0, 0, 2, 0, 2, 1, 1, 0, 1, 46, 0]",Toward a Concept of National Responsibility
included,"[0, 10, 9, 9]",Toward a Concept of National Responsibility
nation,"[0, 49, 0, 32, 11, 1, 28, 0, 0, 0]",Toward a Concept of National Responsibility
nineteenth-century,[],Toward a Concept of National Responsibility
world-wide,"[0, 1, 0, 96, 0, 1, 9, 32, 0, 0]",Toward a Concept of National Responsibility
spread,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 0, 0, 11, 0, 0, 1, 3, 0, 0, 0, 0, 0, 6, 0, 0, 2]",Toward a Concept of National Responsibility
liberty,"[0, 0, 2, 0, 0, 0]",Toward a Concept of National Responsibility
.,[],Toward a Concept of National Responsibility
above,"[0, 0, 0, 0, 20]",Toward a Concept of National Responsibility
been,"[6, 21, 6, 0, 722, 0, 11, 3, 26, 1, 12, 0]",Toward a Concept of National Responsibility
tenable,"[2, 0]",Toward a Concept of National Responsibility
supranationalism,[],Toward a Concept of National Responsibility
off,"[2, 102, 0, 54, 1, 1, 0, 21, 0, 9, 7, 0, 40]",Toward a Concept of National Responsibility
Revolution,"[0, 0, 5]",Toward a Concept of National Responsibility
cultural,"[0, 0, 4]",Toward a Concept of National Responsibility
truism,[0],Toward a Concept of National Responsibility
non-Western,[],Toward a Concept of National Responsibility
describe,"[3, 24, 0, 6, 31, 0, 8, 9, 6, 4, 0, 3, 2, 13]",Toward a Concept of National Responsibility
friendly,"[7, 1, 0]",Toward a Concept of National Responsibility
establishment,"[0, 1, 1, 5, 8, 0, 0, 0, 0, 3, 8, 0]",Toward a Concept of National Responsibility
power,"[10, 16, 58, 0, 0, 0, 6, 0, 0, 81, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0]",Toward a Concept of National Responsibility
fact,[74],Toward a Concept of National Responsibility
itself,[],Toward a Concept of National Responsibility
capacity,"[0, 7, 1, 5, 0, 0]",Toward a Concept of National Responsibility
National,"[54, 25, 4, 0, 8]",Toward a Concept of National Responsibility
only,"[409, 25, 3, 4, 115, 13, 3, 1, 0, 211, 17, 3, 0, 0, 11]",Toward a Concept of National Responsibility
influence,"[127, 0, 1, 0, 2, 12, 1, 13, 3]",Toward a Concept of National Responsibility
usefulness,"[3, 2]",Toward a Concept of National Responsibility
general,"[0, 1, 0, 0, 1, 32, 9, 0, 0]",Toward a Concept of National Responsibility
under,"[10, 71, 0]",Toward a Concept of National Responsibility
income,[10],Toward a Concept of National Responsibility
between,"[0, 0, 83]",Toward a Concept of National Responsibility
in,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]",Toward a Concept of National Responsibility
their,[],Toward a Concept of National Responsibility
split,"[7, 0, 3, 47, 1, 0, 5, 0, 1, 0, 1, 0, 0, 0, 3, 0, 5, 0, 0, 2, 13, 0, 0]",Toward a Concept of National Responsibility
most,"[0, 104, 18, 0, 66, 0, 3, 23, 237]",Toward a Concept of National Responsibility
benefited,"[7, 5, 1, 0]",Toward a Concept of National Responsibility
borders,"[0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 6, 5, 0, 12, 0, 1, 7, 0, 1, 0, 0, 0, 1]",Toward a Concept of National Responsibility
would,[],Toward a Concept of National Responsibility
content,"[0, 7, 0, 0, 5, 2, 25, 0, 8, 0, 0]",Toward a Concept of National Responsibility
relations,"[1, 0, 8, 0, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 0, 9, 8]",Toward a Concept of National Responsibility
application,"[0, 7, 0, 0, 0, 3, 1, 0]",Toward a Concept of National Responsibility
territorial,"[1, 0]",Toward a Concept of National Responsibility
High-level,"[0, 0, 0, 0]",Toward a Concept of National Responsibility
before,"[14, 0, 123, 17]",Toward a Concept of National Responsibility
cure,"[0, 5, 0, 3, 2, 0]",Toward a Concept of National Responsibility
Social,"[15, 0, 0, 0]",Toward a Concept of National Responsibility
suggestions,"[3, 3, 0, 0, 0, 0, 0, 5]",Toward a Concept of National Responsibility
preferences,"[0, 0, 0, 1, 7, 0]",Toward a Concept of National Responsibility
hypothesis,"[9, 0, 10, 1, 0, 4, 12, 0, 0]",Toward a Concept of National Responsibility
downfall,"[0, 20, 0, 0, 2]",Toward a Concept of National Responsibility
ideas,"[50, 67, 0, 0, 0, 7, 3, 31, 1]",Toward a Concept of National Responsibility
nine,"[0, 0, 0, 0, 0, 3, 0, 11, 0, 8, 0]",Toward a Concept of National Responsibility
Beyond,[18],Toward a Concept of National Responsibility
has,"[49, 2, 0, 1, 4, 80, 0, 0, 51, 3, 113, 18, 7, 123, 2, 6, 0, 111, 6, 0, 6, 4, 1, 492, 0, 0, 51, 17, 0]",Toward a Concept of National Responsibility
standardized,"[0, 1, 0, 0, 0, 15, 0]",Toward a Concept of National Responsibility
cite,"[3, 2, 0, 0, 0, 9, 31, 0, 0, 3, 0, 0, 0, 5, 2, 0]",Toward a Concept of National Responsibility
feature,"[17, 1, 492, 4, 0, 0, 0, 0, 0]",Toward a Concept of National Responsibility
noteworthy,"[0, 0, 4]",Toward a Concept of National Responsibility
unit,"[0, 5, 28, 0, 0]",Toward a Concept of National Responsibility
undergoing,[2],Toward a Concept of National Responsibility
To,[],Toward a Concept of National Responsibility
disparate,[0],Toward a Concept of National Responsibility
pattern,"[2, 0, 39, 8, 18, 0, 0, 6, 8, 0, 8, 0, 13, 24, 22, 3]",Toward a Concept of National Responsibility
for,[],Toward a Concept of National Responsibility
ruling,"[1, 0, 1, 8, 0, 5, 1, 55, 1, 1, 1, 1, 4, 0]",Toward a Concept of National Responsibility
principles,"[14, 0, 8, 0]",Toward a Concept of National Responsibility
both,[76],Toward a Concept of National Responsibility
enormous,"[6, 4]",Toward a Concept of National Responsibility
1930,[],Toward a Concept of National Responsibility
non-Soviet,[],Toward a Concept of National Responsibility
confines,"[0, 5, 0, 17, 1, 1, 2, 0, 0, 1, 0, 7, 1]",Toward a Concept of National Responsibility
positive,"[0, 0, 6, 0, 0, 4, 0, 3, 0, 21, 0, 0, 0, 0, 0]",Toward a Concept of National Responsibility
jobs,"[36, 31, 24, 0, 0, 0, 0, 0, 0, 1, 39, 5, 0, 7]",Toward a Concept of National Responsibility
international,"[29, 2, 6, 5]",Toward a Concept of National Responsibility
outside,"[4, 5, 0, 0, 0, 0, 0, 8, 2, 29, 1, 40]",Toward a Concept of National Responsibility
those,[],Toward a Concept of National Responsibility
equality,"[0, 1, 7, 1]",Toward a Concept of National Responsibility
strongly,"[3, 0]",Toward a Concept of National Responsibility
United,"[3, 5, 2, 4, 0, 3, 5, 0, 0, 0]",Toward a Concept of National Responsibility
manner,"[3, 8, 6, 0, 15, 123]",Toward a Concept of National Responsibility
were,"[6, 21, 6, 0, 722, 0, 11, 3, 26, 1, 12, 0]",Toward a Concept of National Responsibility
guiding,"[0, 0, 0, 80, 73, 1, 2, 37, 0, 0, 9, 5, 0, 43, 16, 0, 0, 2, 1, 12, 20]",Toward a Concept of National Responsibility
seas,"[13, 19]",Toward a Concept of National Responsibility
marked,"[3, 9, 1, 3, 0, 0, 0, 10, 0, 8, 2, 0, 0, 6, 9, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 8, 0, 0, 46, 0, 12]",Toward a Concept of National Responsibility
make,"[0, 9, 0, 0, 1, 1, 1, 0, 0, 80, 0, 1, 8, 0, 51, 5, 3, 0, 113, 0, 0, 0, 0, 18, 123, 31, 0, 0, 0, 9, 0, 6, 4, 0, 4, 11, 163, 0, 0, 26, 0, 0, 0, 492, 9, 1, 0, 21, 0, 0, 0, 0, 0, 0, 16, 0, 17, 127, 39, 0, 0, 2, 0, 0, 0, 21, 0, 1, 0, 0]",Toward a Concept of National Responsibility
Maine,"[0, 0, 0]",Toward a Concept of National Responsibility
precisely,"[13, 0, 4, 115, 0, 0, 0]",Toward a Concept of National Responsibility
example,"[0, 23, 2, 0, 8, 35, 5, 0, 1, 10, 1, 0]",Toward a Concept of National Responsibility
operate,"[0, 0, 127, 43, 1, 90, 0, 3, 0, 6, 0, 0, 38]",Toward a Concept of National Responsibility
'',[],Toward a Concept of National Responsibility
feudalism,"[0, 0]",Toward a Concept of National Responsibility
democratic,"[3, 0, 7]",Toward a Concept of National Responsibility
become,"[123, 90, 33, 37, 7]",Toward a Concept of National Responsibility
independence,"[0, 5, 0]",Toward a Concept of National Responsibility
rise,"[3, 4, 0, 8, 0, 0, 0, 0, 0, 7, 0, 0, 12, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 10, 0, 0, 7, 0, 0, 0, 1, 0, 4, 0, 12, 0, 18, 0, 0]",Toward a Concept of National Responsibility
facets,"[0, 8]",Toward a Concept of National Responsibility
attention,"[1, 7, 17, 0, 21]",Toward a Concept of National Responsibility
have,"[49, 2, 1, 4, 80, 0, 0, 0, 51, 3, 113, 18, 7, 123, 2, 6, 0, 111, 6, 6, 4, 1, 492, 0, 0, 0, 51, 17, 0]",Toward a Concept of National Responsibility
increasing,"[5, 13]",Toward a Concept of National Responsibility
areas,"[1, 1, 9, 0, 1, 0, 32, 28, 0, 34]",Toward a Concept of National Responsibility
?,[],Toward a Concept of National Responsibility
facade,"[0, 0, 1, 0]",Toward a Concept of National Responsibility
society,"[0, 0, 0, 0, 0, 0, 0, 15, 1, 11, 11, 1, 34, 0]",Toward a Concept of National Responsibility
having,"[49, 2, 1, 4, 80, 0, 0, 51, 3, 113, 18, 7, 123, 2, 6, 0, 111, 6, 6, 4, 1, 492, 0, 0, 51, 17, 0]",Toward a Concept of National Responsibility
eighteenth,"[0, 0]",Toward a Concept of National Responsibility
placed,"[0, 0, 6, 14, 7, 10, 72, 21, 4, 29, 37, 4, 0, 34, 3, 19, 2, 16, 1, 17, 2, 0, 19, 1, 51, 1, 0, 46, 3, 12]",Toward a Concept of National Responsibility
on,"[37, 839]",Toward a Concept of National Responsibility
collective,"[2, 3]",Toward a Concept of National Responsibility
they,[],Toward a Concept of National Responsibility
unity,"[786, 5, 29, 1, 24, 0, 1, 2, 321]",Toward a Concept of National Responsibility
beyond,[18],Toward a Concept of National Responsibility
proposal,"[3, 0, 5, 0, 0]",Toward a Concept of National Responsibility
victorious,"[4, 0, 0]",Toward a Concept of National Responsibility
popular,"[0, 0, 7]",Toward a Concept of National Responsibility
strife,"[0, 0]",Toward a Concept of National Responsibility
time,"[0, 0, 3, 0, 0, 1, 0, 1, 188]",Toward a Concept of National Responsibility
developed,"[18, 3, 1, 0, 0, 7, 12, 0, 0, 0, 0, 123, 0, 0, 0, 0, 3, 10, 0, 0, 1, 16, 12, 0, 13]",Toward a Concept of National Responsibility
below,"[10, 0, 1, 2, 0, 71, 0, 0, 0]",Toward a Concept of National Responsibility
worldwide,"[0, 1, 0, 96, 0, 1, 9, 32, 0, 0]",Toward a Concept of National Responsibility
following,"[20, 0, 12, 3, 84, 0, 3, 2, 0, 47, 0, 0, 11, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 722, 0, 0, 0, 0, 2, 0, 0, 0, 4, 1]",Toward a Concept of National Responsibility
it,"[0, 0]",Toward a Concept of National Responsibility
out,"[0, 0, 0, 0, 4, 309, 2, 0, 0, 0, 0, 1, 0, 0, 40]",Toward a Concept of National Responsibility
internally,[0],Toward a Concept of National Responsibility
more,"[7, 0, 0, 0, 271, 0]",Toward a Concept of National Responsibility
two,"[0, 0, 26, 0, 158]",Toward a Concept of National Responsibility
still,"[11, 0, 0, 0, 0, 0, 35, 0, 47, 2, 4, 103, 3, 0, 0, 0, 3, 0, 1, 2, 0, 115, 2, 0, 0, 1, 9, 0, 6, 0, 0, 0, 0, 0, 6, 6, 12, 0]",Toward a Concept of National Responsibility
economic,"[0, 5]",Toward a Concept of National Responsibility
harm,"[16, 4, 0, 2, 3, 1, 0]",Toward a Concept of National Responsibility
breakup,"[1, 0, 0, 1]",Toward a Concept of National Responsibility
world,"[0, 1, 173, 11, 9, 1, 0, 35, 0, 0, 96, 0, 4, 4, 0, 1, 0, 0, 0, 20, 22, 11, 8, 0, 16, 0]",Toward a Concept of National Responsibility
redefined,[0],Toward a Concept of National Responsibility
very,"[40, 1, 81, 0, 33, 5]",Toward a Concept of National Responsibility
live,"[49, 5, 0, 0, 4, 129, 12, 6, 0, 0, 1, 2, 0, 0, 26, 0, 16, 0, 0, 722, 0, 90, 83]",Toward a Concept of National Responsibility
multiple,[4],Toward a Concept of National Responsibility
greatest,"[53, 0, 30, 0, 0, 0, 0, 61, 1, 0, 5, 3, 4, 4, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 18]",Toward a Concept of National Responsibility
Congress,"[1, 8, 0, 0, 0, 0, 0, 9, 0, 0, 5, 0, 0, 0, 0]",Toward a Concept of National Responsibility
1961,[],Toward a Concept of National Responsibility
moreover,"[1, 1, 0]",Toward a Concept of National Responsibility
becomes,"[123, 90, 33, 37, 7]",Toward a Concept of National Responsibility
societal,"[15, 0]",Toward a Concept of National Responsibility
strictly,"[0, 9, 4, 0]",Toward a Concept of National Responsibility
That,[],Toward a Concept of National Responsibility
conscious,"[11, 0]",Toward a Concept of National Responsibility
War,"[0, 2, 31]",Toward a Concept of National Responsibility
viability,[0],Toward a Concept of National Responsibility
Today,"[2, 28, 129]",Toward a Concept of National Responsibility
importance,"[11, 0]",Toward a Concept of National Responsibility
Historically,[1],Toward a Concept of National Responsibility
course,"[24, 0, 43, 0, 39, 4, 4, 0, 0, 4, 2, 9, 6, 74, 2, 12, 12]",Toward a Concept of National Responsibility
bind,"[2, 1, 17, 1, 0, 2, 0, 0, 0, 6, 0, 1, 3, 0, 0, 0]",Toward a Concept of National Responsibility
people,"[0, 0, 4, 0, 0, 2, 102]",Toward a Concept of National Responsibility
legitimate,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2]",Toward a Concept of National Responsibility
Act,"[0, 0, 0, 42, 3, 0, 0, 1, 37, 0, 19, 163, 6, 5, 22, 0, 127, 24, 23, 0]",Toward a Concept of National Responsibility
was,"[0, 6, 21, 6, 0, 722, 0, 11, 0, 3, 26, 1, 15, 12, 0]",Toward a Concept of National Responsibility
Ratified,"[13, 0, 1, 0]",Toward a Concept of National Responsibility
loosely,"[12, 2, 0, 0, 1]",Toward a Concept of National Responsibility
glorifies,"[0, 0, 0, 0, 0, 1, 0]",Toward a Concept of National Responsibility
Hands-off,[0],Toward a Concept of National Responsibility
avaricious,"[0, 2, 0, 0, 0, 0]",Toward a Concept of National Responsibility
American,"[0, 39, 0]",Toward a Concept of National Responsibility
up,"[4, 0, 0, 3, 307, 0]",Toward a Concept of National Responsibility
basic,"[0, 0, 0, 0, 19, 0]",Toward a Concept of National Responsibility
not,"[0, 602]",Toward a Concept of National Responsibility
broadened,"[0, 1, 0, 0, 0]",Toward a Concept of National Responsibility
legitimacy,"[0, 0, 0]",Toward a Concept of National Responsibility
further,"[18, 5, 0, 1, 57, 2, 2, 3]",Toward a Concept of National Responsibility
large,"[53, 4, 30, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0]",Toward a Concept of National Responsibility
internal-external,[],Toward a Concept of National Responsibility
evidenced,"[3, 5, 15, 8, 0, 0, 39, 1, 0, 44, 3]",Toward a Concept of National Responsibility
assumed,"[5, 0, 0, 80, 0, 0, 0, 9, 0, 6, 0, 0, 0, 6, 3, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 6]",Toward a Concept of National Responsibility
nation's,[],Toward a Concept of National Responsibility
coined,"[0, 1, 1]",Toward a Concept of National Responsibility
better,"[0, 115, 0, 0, 8, 0, 8, 57, 0, 5, 1, 5, 84, 82, 0, 1, 20, 2, 1, 3, 0, 3, 7, 0, 5, 2, 23, 0, 0, 25, 0, 0, 134, 0, 1, 8, 9, 4, 0, 0, 0, 24, 0, 0, 8, 13, 0, 36]",Toward a Concept of National Responsibility
how,[],Toward a Concept of National Responsibility
to,[],Toward a Concept of National Responsibility
reveal,"[0, 0, 3, 0, 0, 0, 6, 13, 0, 0, 0, 1, 2]",Toward a Concept of National Responsibility
think,"[0, 14, 0, 65, 0, 31, 5, 12, 0, 0, 37, 10, 0, 12, 0, 2, 0, 15, 0]",Toward a Concept of National Responsibility
aspirations,"[0, 0, 1, 5, 0, 0, 2]",Toward a Concept of National Responsibility
shown,"[8, 21, 3, 7, 1, 19, 0, 15, 37, 36, 44, 3, 0, 1, 20, 0, 1, 7, 1, 0, 0, 0, 6, 1]",Toward a Concept of National Responsibility
helpful,[3],Toward a Concept of National Responsibility
Speaking,"[0, 0, 2, 5, 0, 6, 26, 14, 14, 0, 0, 0]",Toward a Concept of National Responsibility
campaigns,"[0, 18, 43, 4, 16, 0, 10, 10, 1, 0, 8, 0, 11, 0, 0, 11]",Toward a Concept of National Responsibility
insured,"[0, 1, 102, 3, 0, 0, 2, 5, 2, 0, 6, 8, 0, 38]",Toward a Concept of National Responsibility
could,[],Toward a Concept of National Responsibility
action,"[1, 0, 12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 52, 8, 0, 0, 0]",Toward a Concept of National Responsibility
ironic,"[0, 0, 0, 12]",Toward a Concept of National Responsibility
conventional,"[5, 2, 0, 10, 0]",Toward a Concept of National Responsibility
tends,"[43, 0, 2, 1, 1]",Toward a Concept of National Responsibility
well-being,"[0, 5, 2, 0, 0, 0]",Toward a Concept of National Responsibility
gained,"[2, 0, 1, 8, 0, 5, 113, 1, 0, 0, 0, 16, 11, 3, 3, 0, 26, 0, 1, 7, 0, 0, 1, 21, 0]",Toward a Concept of National Responsibility
Administration,"[4, 0, 13, 0, 2, 8, 0, 0, 0, 0, 3, 8, 0, 0, 0]",Toward a Concept of National Responsibility
statement,"[7, 0, 0, 8, 0, 2, 3, 4]",Toward a Concept of National Responsibility
former,"[11, 41, 183, 0, 1, 10, 0, 30, 0, 0, 79]",Toward a Concept of National Responsibility
receives,"[4, 49, 123, 7, 2, 3, 492, 5, 55, 19, 1, 0, 0]",Toward a Concept of National Responsibility
even,"[10, 1, 0, 1, 14, 8, 0, 14, 47, 0, 115, 103]",Toward a Concept of National Responsibility
historical,"[1, 1, 7]",Toward a Concept of National Responsibility
fell,"[0, 84, 0, 2, 0, 4, 6, 0, 0, 13, 1, 20, 0, 5, 3, 0, 3, 0, 1, 1, 0, 2, 1, 0, 47, 9, 20, 0, 1, 12, 0, 0, 0, 0]",Toward a Concept of National Responsibility
battleground,"[0, 1, 0, 0, 34]",Toward a Concept of National Responsibility
This,[],Toward a Concept of National Responsibility
order,"[0, 0, 0, 1, 0, 70, 0, 11, 21, 0, 0, 0, 0, 72, 0, 0, 39, 0, 1, 0, 1, 34, 3, 0, 0, 0, 17, 11, 1, 0, 1, 0, 51, 0, 0, 0, 0, 0, 0, 12, 0, 0]",Toward a Concept of National Responsibility
uneven,"[0, 6, 0, 2, 0]",Toward a Concept of National Responsibility
duty,"[4, 0, 0, 3]",Toward a Concept of National Responsibility
worked,"[0, 0, 0, 0, 0, 6, 12, 0, 3, 113, 0, 0, 12, 18, 0, 0, 0, 2, 3, 1, 5, 37, 13, 0, 0, 43, 22, 1, 127, 90, 39, 1, 6, 23, 0]",Toward a Concept of National Responsibility
extension,"[0, 5, 3, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Toward a Concept of National Responsibility
latter,[9],Toward a Concept of National Responsibility
remainder,"[51, 0, 0, 0, 16, 0, 0, 0, 16, 26]",Toward a Concept of National Responsibility
Positive,"[0, 0, 6, 0, 0, 4, 0, 3, 0, 21, 0, 0, 0, 0, 0]",Toward a Concept of National Responsibility
