make,"[0, 9, 0, 0, 1, 1, 1, 0, 0, 80, 0, 1, 8, 0, 51, 5, 3, 0, 113, 0, 0, 0, 0, 18, 123, 31, 0, 0, 0, 9, 0, 6, 4, 0, 4, 11, 163, 0, 0, 26, 0, 0, 0, 492, 9, 1, 0, 21, 0, 0, 0, 0, 0, 0, 16, 0, 17, 127, 39, 0, 0, 2, 0, 0, 0, 21, 0, 1, 0, 0]","An Act for International Development, A Summary Presentation"
consistency,"[0, 0, 50, 1]","An Act for International Development, A Summary Presentation"
nonexistent,[0],"An Act for International Development, A Summary Presentation"
1,"[786, 5, 29, 24, 3, 0, 321, 1]","An Act for International Development, A Summary Presentation"
offer,"[0, 0, 90, 11, 1, 1, 0, 0, 0, 12, 0, 0, 4, 2, 0, 16, 4, 3]","An Act for International Development, A Summary Presentation"
operate,"[0, 0, 127, 43, 1, 90, 0, 3, 0, 6, 0, 0, 38]","An Act for International Development, A Summary Presentation"
policy,"[5, 0, 6]","An Act for International Development, A Summary Presentation"
focusing,"[0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 0, 2, 0]","An Act for International Development, A Summary Presentation"
rates,"[0, 0, 0, 0, 0, 0, 0, 72, 21, 0, 34, 3, 8, 7, 0, 17, 10, 17, 0, 5, 1, 0, 12]","An Act for International Development, A Summary Presentation"
attention,"[1, 7, 17, 0, 21]","An Act for International Development, A Summary Presentation"
have,"[49, 2, 1, 4, 80, 0, 0, 0, 51, 3, 113, 18, 7, 123, 2, 6, 0, 111, 6, 6, 4, 1, 492, 0, 0, 0, 51, 17, 0]","An Act for International Development, A Summary Presentation"
peculiarly,"[0, 0, 3, 11, 14, 1]","An Act for International Development, A Summary Presentation"
commit,"[7, 10, 51, 72, 0, 0, 0, 1, 6, 0, 1, 0, 0, 0, 1, 8, 7, 3, 51]","An Act for International Development, A Summary Presentation"
concerned,"[5, 14, 3, 11, 0, 8, 1, 1, 12, 0, 1, 33, 0, 1, 0]","An Act for International Development, A Summary Presentation"
areas,"[1, 1, 9, 0, 1, 0, 32, 28, 0, 34]","An Act for International Development, A Summary Presentation"
felt,"[49, 0, 0, 55, 37, 49, 0, 40, 8, 0, 0, 1, 0]","An Act for International Development, A Summary Presentation"
More,"[7, 0, 0, 0, 271, 0]","An Act for International Development, A Summary Presentation"
placed,"[0, 0, 6, 14, 7, 10, 72, 21, 4, 29, 37, 4, 0, 34, 3, 19, 2, 16, 1, 17, 2, 0, 19, 1, 51, 1, 0, 46, 3, 12]","An Act for International Development, A Summary Presentation"
on,"[37, 839]","An Act for International Development, A Summary Presentation"
they,[],"An Act for International Development, A Summary Presentation"
essential,"[4, 13, 3, 0, 18, 0, 4, 1, 0, 0, 1]","An Act for International Development, A Summary Presentation"
beyond,[18],"An Act for International Development, A Summary Presentation"
encourage,"[18, 0, 1, 2, 3]","An Act for International Development, A Summary Presentation"
encouragement,"[1, 1]","An Act for International Development, A Summary Presentation"
time,"[0, 0, 3, 0, 0, 1, 0, 1, 188]","An Act for International Development, A Summary Presentation"
developed,"[18, 3, 1, 0, 0, 7, 12, 0, 0, 0, 0, 123, 0, 0, 0, 0, 3, 10, 0, 0, 1, 16, 12, 0, 13]","An Act for International Development, A Summary Presentation"
following,"[20, 0, 12, 3, 84, 0, 3, 2, 0, 47, 0, 0, 11, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 722, 0, 0, 0, 0, 2, 0, 0, 0, 4, 1]","An Act for International Development, A Summary Presentation"
big,"[53, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 61, 0, 7, 0, 13, 0, 0, 0, 19, 0, 4, 0, 8, 0, 0, 0, 0, 0, 0, 0, 18]","An Act for International Development, A Summary Presentation"
services,"[19, 1, 8, 0, 41, 0, 0, 0, 3, 9, 0, 0, 0, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
it,"[0, 0]","An Act for International Development, A Summary Presentation"
regard,"[0, 5, 17, 0, 7, 11, 17, 0, 2, 13, 102, 10, 0, 0, 0]","An Act for International Development, A Summary Presentation"
out,"[0, 0, 0, 0, 4, 309, 2, 0, 0, 0, 0, 1, 0, 0, 40]","An Act for International Development, A Summary Presentation"
Yet,"[0, 0, 0, 35, 47, 1, 3, 103, 0, 0, 115, 0, 0, 0, 1, 6, 0, 0, 0]","An Act for International Development, A Summary Presentation"
serious,"[4, 134, 9, 8, 0, 0, 2, 0, 6]","An Act for International Development, A Summary Presentation"
Others,[],"An Act for International Development, A Summary Presentation"
activities,"[0, 0, 0, 0, 52, 8, 0, 0]","An Act for International Development, A Summary Presentation"
more,"[7, 0, 0, 0, 271, 0]","An Act for International Development, A Summary Presentation"
long-term,"[0, 0, 1]","An Act for International Development, A Summary Presentation"
induced,"[0, 0, 18, 123, 492, 1, 0, 1, 7, 0, 113]","An Act for International Development, A Summary Presentation"
themselves,[],"An Act for International Development, A Summary Presentation"
place,"[12, 0, 16, 0, 7, 14, 43, 10, 72, 21, 0, 0, 4, 37, 4, 0, 34, 3, 19, 2, 16, 1, 54, 0, 10, 17, 2, 0, 0, 1, 1, 1, 7, 0, 0, 46, 12, 6, 43, 0, 51, 3, 29]","An Act for International Development, A Summary Presentation"
still,"[11, 0, 0, 0, 0, 0, 35, 0, 47, 2, 4, 103, 3, 0, 0, 0, 3, 0, 1, 2, 0, 115, 2, 0, 0, 1, 9, 0, 6, 0, 0, 0, 0, 0, 6, 6, 12, 0]","An Act for International Development, A Summary Presentation"
economic,"[0, 5]","An Act for International Development, A Summary Presentation"
advice,[4],"An Act for International Development, A Summary Presentation"
absorb,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 1, 0, 0, 5, 0, 2, 0, 0, 0]","An Act for International Development, A Summary Presentation"
plain,"[9, 2, 0, 0, 3, 10, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 3, 0, 0, 0, 5, 1, 0, 0, 4, 0, 1, 9, 0, 2, 5, 34]","An Act for International Development, A Summary Presentation"
capabilities,"[1, 5, 0, 1]","An Act for International Development, A Summary Presentation"
priority,"[0, 0, 5, 0, 0, 0]","An Act for International Development, A Summary Presentation"
world,"[0, 1, 173, 11, 9, 1, 0, 35, 0, 0, 96, 0, 4, 4, 0, 1, 0, 0, 0, 20, 22, 11, 8, 0, 16, 0]","An Act for International Development, A Summary Presentation"
decisive,"[5, 4]","An Act for International Development, A Summary Presentation"
very,"[40, 1, 81, 0, 33, 5]","An Act for International Development, A Summary Presentation"
Communist,"[0, 0, 1, 1]","An Act for International Development, A Summary Presentation"
require,"[6, 5, 2, 54, 0, 80, 0, 14, 15, 51, 22, 0]","An Act for International Development, A Summary Presentation"
months,"[0, 8]","An Act for International Development, A Summary Presentation"
Open,"[0, 0, 0, 0, 0, 51, 0, 0, 12, 2, 0, 0, 0, 0, 0, 0, 38, 26, 25, 11, 0, 10, 0, 0, 3, 18, 7, 4]","An Act for International Development, A Summary Presentation"
termination,"[6, 1, 0, 0, 0, 7, 0, 27, 0, 3, 0, 5]","An Act for International Development, A Summary Presentation"
Without,[],"An Act for International Development, A Summary Presentation"
genuinely,"[40, 0, 1, 8]","An Act for International Development, A Summary Presentation"
course,"[24, 0, 43, 0, 39, 4, 4, 0, 0, 4, 2, 9, 6, 74, 2, 12, 12]","An Act for International Development, A Summary Presentation"
various,"[41, 0, 4, 0, 16, 4]","An Act for International Development, A Summary Presentation"
Marshall,"[0, 3, 0, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
where,[],"An Act for International Development, A Summary Presentation"
was,"[0, 6, 21, 6, 0, 722, 0, 11, 0, 3, 26, 1, 15, 12, 0]","An Act for International Development, A Summary Presentation"
budget,[1],"An Act for International Development, A Summary Presentation"
education,"[3, 9, 0, 1, 19, 0, 0, 0, 0, 3, 4]","An Act for International Development, A Summary Presentation"
aimed,"[4, 16, 11, 123, 37, 0, 0, 72, 0, 80, 0, 0, 2, 7, 3, 0, 11]","An Act for International Development, A Summary Presentation"
up,"[4, 0, 0, 3, 307, 0]","An Act for International Development, A Summary Presentation"
basic,"[0, 0, 0, 0, 19, 0]","An Act for International Development, A Summary Presentation"
not,"[0, 602]","An Act for International Development, A Summary Presentation"
suggesting,"[5, 7, 0, 0, 1, 1, 2, 3]","An Act for International Development, A Summary Presentation"
nation's,[],"An Act for International Development, A Summary Presentation"
inadequacy,"[2, 0, 0, 0]","An Act for International Development, A Summary Presentation"
whole,"[2, 13, 5, 28, 0, 1, 0, 2, 24, 6, 352, 14, 2, 0]","An Act for International Development, A Summary Presentation"
to,[],"An Act for International Development, A Summary Presentation"
give,"[7, 0, 19, 6, 51, 1, 0, 4, 0, 3, 113, 3, 36, 1, 13, 0, 6, 0, 11, 38, 0, 6, 492, 32, 1, 0, 19, 0, 10, 0, 0, 0, 17, 1, 50, 0, 0, 3, 12, 13, 6, 2, 1]","An Act for International Development, A Summary Presentation"
stretching,"[5, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0]","An Act for International Development, A Summary Presentation"
slow,"[0, 2, 38, 0, 1, 0, 16, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 21, 0]","An Act for International Development, A Summary Presentation"
required,"[6, 5, 28, 2, 54, 1, 0, 0, 80, 0, 14, 15, 51, 0, 9, 22, 0, 0]","An Act for International Development, A Summary Presentation"
targets,"[4, 1, 8, 1, 0, 16, 37, 10, 0, 0, 72, 3, 5]","An Act for International Development, A Summary Presentation"
Third,"[1, 0, 16, 0, 2, 0, 0, 0]","An Act for International Development, A Summary Presentation"
realistic,"[3, 1]","An Act for International Development, A Summary Presentation"
forward,"[0, 0, 1, 0, 0, 0, 0, 9, 14, 0, 0, 0, 9, 1, 0]","An Act for International Development, A Summary Presentation"
Development,"[0, 0, 8, 23, 0, 13, 3, 1, 0]","An Act for International Development, A Summary Presentation"
expect,"[6, 9, 0, 6, 10, 15, 0, 22, 59, 0, 2]","An Act for International Development, A Summary Presentation"
Gradually,"[0, 0, 7]","An Act for International Development, A Summary Presentation"
even,"[10, 1, 0, 1, 14, 8, 0, 14, 47, 0, 115, 103]","An Act for International Development, A Summary Presentation"
reasonably,"[0, 19, 0, 2, 0, 0, 0, 3, 6, 17]","An Act for International Development, A Summary Presentation"
