means,"[27, 2, 2, 0, 0, 2, 0, 65, 0, 2, 123, 1, 37, 0]",Proceedings of the 1961 Heat
Continuous,"[1, 0]",Proceedings of the 1961 Heat
arc,"[0, 0, 2, 0, 3, 3, 1, 0]",Proceedings of the 1961 Heat
since,[],Proceedings of the 1961 Heat
size,"[18, 0, 0]",Proceedings of the 1961 Heat
described,"[3, 24, 0, 6, 31, 0, 14, 8, 9, 6, 4, 0, 3, 2, 13]",Proceedings of the 1961 Heat
However,"[0, 1, 0, 6, 35, 47, 0, 103, 3]",Proceedings of the 1961 Heat
analysis,"[7, 4, 0, 0]",Proceedings of the 1961 Heat
detailed,"[5, 3, 0, 2]",Proceedings of the 1961 Heat
currents,"[2, 5, 0, 8]",Proceedings of the 1961 Heat
will,"[0, 0, 32, 218, 0]",Proceedings of the 1961 Heat
shield,"[0, 6, 0, 0, 2, 0, 3, 1]",Proceedings of the 1961 Heat
but,"[409, 25, 115, 211, 11]",Proceedings of the 1961 Heat
characteristic,"[17, 1, 0]",Proceedings of the 1961 Heat
aluminum,"[1, 2, 0, 0]",Proceedings of the 1961 Heat
resistive,"[0, 1, 0]",Proceedings of the 1961 Heat
measurements,"[8, 0, 0, 1]",Proceedings of the 1961 Heat
powers,"[10, 16, 58, 0, 0, 0, 6, 0, 0, 81, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0]",Proceedings of the 1961 Heat
third,"[1, 0, 16, 0, 2, 0, 0, 0]",Proceedings of the 1961 Heat
Pyrometer,[0],Proceedings of the 1961 Heat
conditions,"[0, 7, 15, 8, 7, 0, 0, 5, 1, 17, 13, 0, 8, 0, 2, 0, 0, 2, 6]",Proceedings of the 1961 Heat
part,"[0, 16, 4, 12, 4, 47, 6, 0, 0, 0, 17, 5, 1, 0, 0, 0, 0, 1, 19, 7, 0, 0, 3, 3, 6, 0, 9, 11, 12, 0, 5, 6, 13, 30, 1, 0]",Proceedings of the 1961 Heat
fourth,"[0, 1, 0, 0, 3, 5, 0, 0, 0, 0]",Proceedings of the 1961 Heat
arcs,"[0, 0, 2, 0, 3, 3, 1, 0]",Proceedings of the 1961 Heat
1/4,[],Proceedings of the 1961 Heat
2,"[0, 0, 26, 0, 158]",Proceedings of the 1961 Heat
whereby,[],Proceedings of the 1961 Heat
values,"[0, 0, 1, 0, 1, 17, 1, 1, 0, 17, 13, 1, 7, 0, 10, 0, 8]",Proceedings of the 1961 Heat
(,[],Proceedings of the 1961 Heat
co-workers,"[0, 0, 0, 0]",Proceedings of the 1961 Heat
Inflow,"[0, 1]",Proceedings of the 1961 Heat
establish,"[13, 8, 51, 3, 113, 0, 0, 21, 59, 3, 44, 3, 1, 9, 1, 0, 0, 0, 1]",Proceedings of the 1961 Heat
toward,[],Proceedings of the 1961 Heat
ejected,"[0, 0, 0, 7, 0, 0, 1, 1, 3, 0, 0, 0, 0]",Proceedings of the 1961 Heat
point,"[0, 0, 6, 0, 0, 0, 0, 14, 0, 73, 72, 0, 4, 0, 14, 0, 37, 3, 0, 0, 1, 18, 44, 5, 0, 0, 0, 0, 0, 16, 0, 0, 2, 0, 11, 22, 7, 1, 8, 2, 0, 0, 0, 6, 0, 3, 0]",Proceedings of the 1961 Heat
Figures,"[0, 0, 6, 42, 0, 3, 0, 1, 0, 0, 31, 0, 18, 0, 13, 0, 0, 0, 5, 13, 0, 12, 1, 0, 20, 0, 0, 9, 4, 8, 6, 22, 0, 0, 0, 39, 102, 1, 1, 0, 0]",Proceedings of the 1961 Heat
reduction,"[0, 8, 0, 3, 0, 0]",Proceedings of the 1961 Heat
peculiar,"[0, 0, 8, 24, 6, 5, 2, 20, 3, 1]",Proceedings of the 1961 Heat
use,"[7, 0, 6, 0, 0, 0, 9, 11, 0, 66, 6, 5, 7, 3, 0, 0, 0, 1, 0, 1, 1, 0, 2]",Proceedings of the 1961 Heat
regions,"[9, 7, 47, 2, 32]",Proceedings of the 1961 Heat
this,[],Proceedings of the 1961 Heat
Sheer,"[0, 0, 0, 2, 0, 0, 7, 0, 0, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1, 20, 0, 2, 2, 0, 0, 0, 0, 1]",Proceedings of the 1961 Heat
x,"[20, 0, 0, 3, 90, 0, 0, 0, 18, 1, 3, 19, 0, 0]",Proceedings of the 1961 Heat
made,"[0, 9, 0, 0, 1, 1, 1, 0, 0, 80, 0, 1, 8, 0, 51, 5, 3, 0, 113, 0, 0, 0, 0, 18, 123, 31, 0, 0, 0, 9, 0, 6, 4, 0, 4, 117, 11, 163, 0, 0, 26, 0, 0, 0, 492, 9, 1, 0, 21, 0, 0, 0, 0, 0, 16, 0, 17, 127, 39, 0, 0, 0, 0, 0, 21, 1, 0, 0]",Proceedings of the 1961 Heat
energy,"[0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 1, 7]",Proceedings of the 1961 Heat
applying,"[0, 7, 0, 0, 17, 66, 6, 0, 1, 0, 51, 0, 0]",Proceedings of the 1961 Heat
started,"[0, 0, 4, 0, 47, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 19, 0, 0, 0, 8, 0, 0, 90, 0, 0, 0]",Proceedings of the 1961 Heat
together,"[30, 0, 0]",Proceedings of the 1961 Heat
Af,[],Proceedings of the 1961 Heat
convection,[0],Proceedings of the 1961 Heat
included,"[0, 10, 9, 9]",Proceedings of the 1961 Heat
reflected,"[0, 0, 0, 2, 0, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0]",Proceedings of the 1961 Heat
Carbon,"[0, 0, 0, 1, 0]",Proceedings of the 1961 Heat
instance,"[23, 2, 35, 3, 1, 1, 10]",Proceedings of the 1961 Heat
blown,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Proceedings of the 1961 Heat
accurate,"[3, 0, 2]",Proceedings of the 1961 Heat
.,[],Proceedings of the 1961 Heat
been,"[6, 21, 6, 0, 722, 0, 11, 3, 26, 1, 12, 0]",Proceedings of the 1961 Heat
above,"[0, 0, 0, 0, 20]",Proceedings of the 1961 Heat
ensure,"[0, 6, 102, 3, 0, 0, 5, 2, 1, 38]",Proceedings of the 1961 Heat
work,"[0, 0, 0, 0, 0, 0, 6, 12, 0, 3, 113, 0, 0, 12, 9, 0, 24, 18, 0, 0, 0, 2, 3, 0, 1, 5, 37, 13, 0, 0, 43, 0, 22, 1, 127, 90, 39, 1, 6, 23, 0]",Proceedings of the 1961 Heat
accuracy,"[12, 4]",Proceedings of the 1961 Heat
spot,"[16, 0, 0, 7, 2, 43, 0, 0, 0, 0, 72, 2, 0, 0, 37, 0, 1, 5, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 0, 11, 24, 6, 1, 0, 1, 0, 1]",Proceedings of the 1961 Heat
excess,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 5, 6]",Proceedings of the 1961 Heat
Co.,[],Proceedings of the 1961 Heat
coaxial,"[0, 0]",Proceedings of the 1961 Heat
Simultaneously,"[0, 5]",Proceedings of the 1961 Heat
power,"[10, 16, 58, 0, 0, 0, 6, 0, 0, 81, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0]",Proceedings of the 1961 Heat
must,"[0, 0, 115]",Proceedings of the 1961 Heat
designed,"[2, 15, 12, 18, 6, 0]",Proceedings of the 1961 Heat
flux,"[0, 5, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",Proceedings of the 1961 Heat
fact,[74],Proceedings of the 1961 Heat
itself,[],Proceedings of the 1961 Heat
attempted,"[7, 0, 12, 22, 3, 1, 0, 3]",Proceedings of the 1961 Heat
only,"[409, 25, 3, 4, 115, 13, 3, 1, 0, 211, 17, 3, 0, 0, 11]",Proceedings of the 1961 Heat
National,"[54, 25, 4, 0, 8]",Proceedings of the 1961 Heat
equilibrium,"[0, 0, 0, 0, 0, 0, 0, 26, 0]",Proceedings of the 1961 Heat
between,"[0, 0, 83]",Proceedings of the 1961 Heat
in,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]",Proceedings of the 1961 Heat
Experiments,"[8, 0, 4]",Proceedings of the 1961 Heat
exposed,"[0, 0, 0, 6, 0, 3, 0, 2, 0, 0, 0, 2, 38, 0, 0, 1, 0, 6, 13, 1, 2, 0]",Proceedings of the 1961 Heat
condensation,"[0, 0, 0, 0, 0, 0, 0, 4]",Proceedings of the 1961 Heat
rim,"[1, 0, 0, 0]",Proceedings of the 1961 Heat
denoted,"[3, 0, 0]",Proceedings of the 1961 Heat
metals,"[12, 0, 0]",Proceedings of the 1961 Heat
95,"[0, 0, 0]",Proceedings of the 1961 Heat
bottles,"[0, 0, 0, 6]",Proceedings of the 1961 Heat
addition,"[6, 0, 0, 0, 12, 13, 5, 0]",Proceedings of the 1961 Heat
has,"[49, 2, 0, 1, 4, 80, 0, 0, 51, 3, 113, 18, 7, 123, 2, 6, 0, 111, 6, 0, 6, 4, 1, 492, 0, 0, 51, 17, 0]",Proceedings of the 1961 Heat
apparent,"[7, 1, 3, 4, 0, 1, 9, 0]",Proceedings of the 1961 Heat
direct,"[16, 0, 0, 0, 0, 10, 80, 73, 7, 72, 0, 4, 2, 37, 0, 0, 0, 5, 0, 4, 16, 12, 0, 0, 0, 6, 1, 20, 0, 3, 0]",Proceedings of the 1961 Heat
To,[],Proceedings of the 1961 Heat
for,[],Proceedings of the 1961 Heat
based,"[59, 3, 14, 21, 3, 0]",Proceedings of the 1961 Heat
plate,"[0, 6, 0, 0, 0, 0, 0, 54, 0, 0, 3, 7]",Proceedings of the 1961 Heat
experimentally,"[3, 0, 0]",Proceedings of the 1961 Heat
rectifier,[0],Proceedings of the 1961 Heat
starter,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Proceedings of the 1961 Heat
divided,"[4, 0, 1, 0, 0, 3, 47, 0, 0, 0, 2, 0, 5, 1]",Proceedings of the 1961 Heat
readings,"[0, 21, 22, 70, 80, 4, 1, 24, 0, 19, 2, 17, 4, 44, 0, 1, 10, 0, 7, 0, 0]",Proceedings of the 1961 Heat
atmosphere,"[0, 13, 0, 0, 0, 26, 0, 0, 0]",Proceedings of the 1961 Heat
proper,"[9, 84]",Proceedings of the 1961 Heat
C.,[],Proceedings of the 1961 Heat
rator,[],Proceedings of the 1961 Heat
environment,"[1, 2, 0, 1]",Proceedings of the 1961 Heat
given,"[7, 0, 0, 6, 51, 1, 0, 4, 0, 3, 113, 0, 3, 36, 1, 0, 13, 0, 2, 6, 1, 0, 11, 38, 0, 6, 2, 492, 32, 1, 19, 0, 10, 0, 0, 0, 17, 1, 50, 0, 0, 41, 3, 12, 13, 6, 2, 2, 1]",Proceedings of the 1961 Heat
outside,"[4, 5, 0, 0, 0, 0, 0, 8, 2, 29, 1, 40]",Proceedings of the 1961 Heat
anode,[0],Proceedings of the 1961 Heat
those,[],Proceedings of the 1961 Heat
measured,"[0, 0, 0, 0, 1, 1, 6, 17, 1, 8, 0, 1, 3, 4, 0, 0, 0]",Proceedings of the 1961 Heat
were,"[6, 21, 6, 0, 722, 0, 11, 3, 26, 1, 12, 0]",Proceedings of the 1961 Heat
marked,"[3, 9, 1, 3, 0, 0, 0, 10, 0, 8, 2, 0, 0, 6, 9, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 8, 0, 0, 46, 0, 12]",Proceedings of the 1961 Heat
make,"[0, 9, 0, 0, 1, 1, 1, 0, 0, 80, 0, 1, 8, 0, 51, 5, 3, 0, 113, 0, 0, 0, 0, 18, 123, 31, 0, 0, 0, 9, 0, 6, 4, 0, 4, 11, 163, 0, 0, 26, 0, 0, 0, 492, 9, 1, 0, 21, 0, 0, 0, 0, 0, 0, 16, 0, 17, 127, 39, 0, 0, 2, 0, 0, 0, 21, 0, 1, 0, 0]",Proceedings of the 1961 Heat
magnetic,"[0, 0, 0, 0]",Proceedings of the 1961 Heat
sufficiently,[7],Proceedings of the 1961 Heat
1,"[786, 5, 29, 24, 3, 0, 321, 1]",Proceedings of the 1961 Heat
regulated,"[0, 2, 1, 0, 12, 0, 1, 0, 13, 34, 1, 3]",Proceedings of the 1961 Heat
'',[],Proceedings of the 1961 Heat
surrounding,"[0, 0, 0, 12, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 14, 0, 12]",Proceedings of the 1961 Heat
analogously,[0],Proceedings of the 1961 Heat
forced,"[3, 0, 0, 11, 0, 4, 15, 0, 0, 7, 9, 4, 5, 14, 0, 1, 10]",Proceedings of the 1961 Heat
rise,"[3, 4, 0, 8, 0, 0, 0, 0, 0, 7, 0, 0, 12, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 10, 0, 0, 7, 0, 0, 0, 1, 0, 4, 0, 12, 0, 18, 0, 0]",Proceedings of the 1961 Heat
decreased,"[0, 8, 20, 0, 0, 1, 0]",Proceedings of the 1961 Heat
distributed,"[0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 0, 3, 0, 0, 0, 0, 2]",Proceedings of the 1961 Heat
rates,"[0, 0, 0, 0, 0, 0, 0, 72, 21, 0, 34, 3, 8, 7, 0, 17, 10, 17, 0, 5, 1, 0, 12]",Proceedings of the 1961 Heat
Aj,[],Proceedings of the 1961 Heat
have,"[49, 2, 1, 4, 80, 0, 0, 0, 51, 3, 113, 18, 7, 123, 2, 6, 0, 111, 6, 6, 4, 1, 492, 0, 0, 0, 51, 17, 0]",Proceedings of the 1961 Heat
concerned,"[5, 14, 3, 11, 0, 8, 1, 1, 12, 0, 1, 33, 0, 1, 0]",Proceedings of the 1961 Heat
regulator,"[0, 2]",Proceedings of the 1961 Heat
listed,"[1, 31, 2, 42, 21, 5]",Proceedings of the 1961 Heat
velocities,"[3, 14]",Proceedings of the 1961 Heat
Abstract,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0]",Proceedings of the 1961 Heat
on,"[37, 839]",Proceedings of the 1961 Heat
arise,"[10, 2, 0, 12, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 0]",Proceedings of the 1961 Heat
placed,"[0, 0, 6, 14, 7, 10, 72, 21, 4, 29, 37, 4, 0, 34, 3, 19, 2, 16, 1, 17, 2, 0, 19, 1, 51, 1, 0, 46, 3, 12]",Proceedings of the 1961 Heat
they,[],Proceedings of the 1961 Heat
highly,"[12, 4]",Proceedings of the 1961 Heat
physical,"[14, 0, 0]",Proceedings of the 1961 Heat
resemble,[0],Proceedings of the 1961 Heat
precaution,"[1, 1, 1, 0, 4, 21]",Proceedings of the 1961 Heat
time,"[0, 0, 3, 0, 0, 1, 0, 1, 188]",Proceedings of the 1961 Heat
following,"[20, 0, 12, 3, 84, 0, 3, 2, 0, 47, 0, 0, 11, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 722, 0, 0, 0, 0, 2, 0, 0, 0, 4, 1]",Proceedings of the 1961 Heat
below,"[10, 0, 1, 2, 0, 71, 0, 0, 0]",Proceedings of the 1961 Heat
field,"[1, 2, 1, 0, 0, 1, 0, 0, 0, 5, 7, 24, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 32, 0, 0, 0, 0, 0, 0, 0, 0, 34]",Proceedings of the 1961 Heat
varied,"[0, 0, 1, 0, 0, 34, 0, 0, 5, 3]",Proceedings of the 1961 Heat
it,"[0, 0]",Proceedings of the 1961 Heat
out,"[0, 0, 0, 0, 4, 309, 2, 0, 0, 0, 0, 1, 0, 0, 40]",Proceedings of the 1961 Heat
transferred,"[2, 2, 0, 7, 0, 0, 0, 34, 0, 1, 0, 0]",Proceedings of the 1961 Heat
function,"[16, 47, 6, 5, 0, 1, 11, 1, 6, 3, 66, 0, 7, 0, 0, 43, 0, 5, 0, 127, 90, 9, 0, 0]",Proceedings of the 1961 Heat
environmental,[1],Proceedings of the 1961 Heat
calculated,"[1, 3, 3, 0, 0, 0, 0, 0, 0, 13, 1, 16, 5, 4, 22, 59, 7, 1, 4, 3]",Proceedings of the 1961 Heat
more,"[7, 0, 0, 0, 271, 0]",Proceedings of the 1961 Heat
porosity,"[0, 0]",Proceedings of the 1961 Heat
two,"[0, 0, 26, 0, 158]",Proceedings of the 1961 Heat
still,"[11, 0, 0, 0, 0, 0, 35, 0, 47, 2, 4, 103, 3, 0, 0, 0, 3, 0, 1, 2, 0, 115, 2, 0, 0, 1, 9, 0, 6, 0, 0, 0, 0, 0, 6, 6, 12, 0]",Proceedings of the 1961 Heat
studied,"[0, 2, 24, 2, 21, 0, 0, 10, 11, 0, 80, 4, 5, 0]",Proceedings of the 1961 Heat
very,"[40, 1, 81, 0, 33, 5]",Proceedings of the 1961 Heat
typical,"[4, 2]",Proceedings of the 1961 Heat
scanned,"[0, 0, 21, 0, 1, 0]",Proceedings of the 1961 Heat
additional,"[6, 13]",Proceedings of the 1961 Heat
sheath,"[0, 35, 0]",Proceedings of the 1961 Heat
input,"[0, 5, 0, 0, 0, 6, 9]",Proceedings of the 1961 Heat
transpiring,"[0, 0, 0]",Proceedings of the 1961 Heat
calculation,"[1, 0, 3, 0, 1, 0]",Proceedings of the 1961 Heat
rest,"[0, 0, 0, 0, 1, 2, 26, 0, 3, 0, 0, 8, 0, 0, 1, 1, 0, 0, 0, 16, 16, 0, 19, 13, 0, 8]",Proceedings of the 1961 Heat
various,"[41, 0, 4, 0, 16, 4]",Proceedings of the 1961 Heat
simultaneous,"[0, 0, 0, 0, 0, 0, 1]",Proceedings of the 1961 Heat
where,[],Proceedings of the 1961 Heat
was,"[0, 6, 21, 6, 0, 722, 0, 11, 0, 3, 26, 1, 15, 12, 0]",Proceedings of the 1961 Heat
pyrometers,[0],Proceedings of the 1961 Heat
load,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 0, 8, 4, 0, 6, 9, 0, 0]",Proceedings of the 1961 Heat
explained,"[7, 5, 0]",Proceedings of the 1961 Heat
connected,"[2, 0, 3, 0, 0, 4, 1, 0, 0, 2, 0, 1, 0, 0, 8, 0, 0, 0]",Proceedings of the 1961 Heat
up,"[4, 0, 0, 3, 307, 0]",Proceedings of the 1961 Heat
not,"[0, 602]",Proceedings of the 1961 Heat
instead,"[0, 0, 40, 23]",Proceedings of the 1961 Heat
4,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 24, 20]",Proceedings of the 1961 Heat
large,"[53, 4, 30, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0]",Proceedings of the 1961 Heat
to,[],Proceedings of the 1961 Heat
commercially,[2],Proceedings of the 1961 Heat
tube,"[0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 6, 0]",Proceedings of the 1961 Heat
covered,"[0, 20, 0, 9, 8, 1, 1, 0, 6, 0, 3, 8, 0, 4, 5, 0, 0, 0, 10, 1, 0, 0, 13, 0, 4, 1, 2, 0, 6, 0, 0, 0, 0, 0, 2, 6]",Proceedings of the 1961 Heat
struck,"[1, 80, 1, 6, 0, 3, 9, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 7, 1, 0, 1, 0, 0, 0, 20, 0, 0, 0, 0, 21, 0, 0, 0]",Proceedings of the 1961 Heat
shown,"[8, 21, 3, 7, 1, 19, 0, 15, 37, 36, 44, 3, 0, 1, 20, 0, 1, 7, 1, 0, 0, 0, 6, 1]",Proceedings of the 1961 Heat
required,"[6, 5, 28, 2, 54, 1, 0, 0, 80, 0, 14, 15, 51, 0, 9, 22, 0, 0]",Proceedings of the 1961 Heat
could,[],Proceedings of the 1961 Heat
upper,"[0, 0, 0, 14, 1]",Proceedings of the 1961 Heat
each,"[0, 81, 0, 0, 0]",Proceedings of the 1961 Heat
existing,"[6, 5, 0, 0, 2, 722, 26]",Proceedings of the 1961 Heat
difficulties,"[7, 20, 0]",Proceedings of the 1961 Heat
conduction,"[0, 0]",Proceedings of the 1961 Heat
high,"[0, 1, 0, 0, 0, 0, 2, 0, 61, 0, 2, 0, 0, 0, 2, 0]",Proceedings of the 1961 Heat
gradient,"[0, 5]",Proceedings of the 1961 Heat
360,[],Proceedings of the 1961 Heat
gas,"[0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 0, 6, 0, 0, 0, 0, 6, 0, 5, 0, 1, 0]",Proceedings of the 1961 Heat
enhanced,"[7, 2, 0, 1]",Proceedings of the 1961 Heat
This,[],Proceedings of the 1961 Heat
medium,"[0, 0, 9, 10, 2, 0, 0, 21]",Proceedings of the 1961 Heat
anodes,[0],Proceedings of the 1961 Heat
order,"[0, 0, 0, 1, 0, 70, 0, 11, 21, 0, 0, 0, 0, 72, 0, 0, 39, 0, 1, 0, 1, 34, 3, 0, 0, 0, 17, 11, 1, 0, 1, 0, 51, 0, 0, 0, 0, 0, 0, 12, 0, 0]",Proceedings of the 1961 Heat
An,"[0, 0]",Proceedings of the 1961 Heat
latter,[9],Proceedings of the 1961 Heat
method,"[0, 11]",Proceedings of the 1961 Heat
value,"[0, 0, 1, 0, 1, 17, 1, 1, 0, 17, 13, 1, 7, 0, 0, 8]",Proceedings of the 1961 Heat
achieving,"[7, 11, 1, 1]",Proceedings of the 1961 Heat
plug,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",Proceedings of the 1961 Heat
Assuming,"[2, 0, 80, 0, 0, 0, 9, 6, 0, 0, 0, 6, 3, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0]",Proceedings of the 1961 Heat
thermocouples,"[0, 0]",Proceedings of the 1961 Heat
Gas,"[0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 0, 6, 0, 0, 0, 0, 6, 0, 5, 0, 1, 0]",Proceedings of the 1961 Heat
approximately,"[2, 0, 182, 6, 85, 0, 0, 0, 237]",Proceedings of the 1961 Heat
and,[],Proceedings of the 1961 Heat
taken,"[2, 10, 1, 21, 1, 0, 20, 0, 80, 0, 4, 14, 0, 7, 3, 0, 7, 9, 1, 22, 113, 6, 2, 24, 1, 123, 18, 5, 0, 0, 6, 5, 3, 6, 5, 0, 11, 4, 1, 16, 0, 492, 10, 1, 3, 0, 9, 54, 5, 0, 5, 17, 0, 4, 0, 3, 28, 7, 20, 0, 1, 0, 5, 3, 0, 2, 0, 1]",Proceedings of the 1961 Heat
free-burning,[],Proceedings of the 1961 Heat
possibilities,"[9, 10, 0, 0, 11, 4]",Proceedings of the 1961 Heat
length,"[16, 0, 9]",Proceedings of the 1961 Heat
upon,[],Proceedings of the 1961 Heat
with,[],Proceedings of the 1961 Heat
gives,"[7, 0, 19, 6, 51, 1, 0, 4, 0, 3, 113, 3, 36, 1, 13, 0, 6, 0, 11, 38, 0, 6, 492, 32, 1, 0, 19, 0, 10, 0, 0, 0, 17, 1, 50, 0, 0, 3, 12, 13, 6, 2, 1]",Proceedings of the 1961 Heat
7,"[0, 12, 0, 0, 0, 0, 0, 8]",Proceedings of the 1961 Heat
an,"[0, 0]",Proceedings of the 1961 Heat
principle,"[14, 0, 8, 0]",Proceedings of the 1961 Heat
parameters,"[0, 7, 0]",Proceedings of the 1961 Heat
observations,"[0, 4, 10, 4, 8, 1]",Proceedings of the 1961 Heat
established,"[13, 8, 10, 51, 4, 3, 3, 113, 5, 0, 0, 0, 21, 59, 3, 44, 3, 1, 9, 1, 0, 0, 0, 0, 1]",Proceedings of the 1961 Heat
Thus,"[0, 0, 0, 0, 3, 22, 228, 0, 12]",Proceedings of the 1961 Heat
its,"[0, 0]",Proceedings of the 1961 Heat
systematically,"[0, 5]",Proceedings of the 1961 Heat
steel,"[5, 0, 3, 0, 0]",Proceedings of the 1961 Heat
plasma,"[0, 0, 0]",Proceedings of the 1961 Heat
generator,"[1, 4, 3]",Proceedings of the 1961 Heat
research,"[7, 0, 7, 2, 0]",Proceedings of the 1961 Heat
largest,"[53, 4, 30, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0]",Proceedings of the 1961 Heat
90%,[],Proceedings of the 1961 Heat
consisted,"[2, 3, 0, 8, 0]",Proceedings of the 1961 Heat
first,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 169, 19, 0, 0, 0, 4, 0, 20, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",Proceedings of the 1961 Heat
