economical,"[5, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
purchase,"[2, 21, 0]",Rhode Island Legislative Council. Research Report Number 1
made,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 117, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
signify,"[37, 0, 2, 1]",Rhode Island Legislative Council. Research Report Number 1
concerning,"[0, 1, 0, 5, 1, 0, 0, 11, 1, 8, 3, 33]",Rhode Island Legislative Council. Research Report Number 1
Meaningful,[2],Rhode Island Legislative Council. Research Report Number 1
unduly,[2],Rhode Island Legislative Council. Research Report Number 1
replace,"[0, 5, 0, 0, 0, 3, 4, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
accomplish,"[52, 1, 0, 0, 0, 1, 1, 7, 11, 0]",Rhode Island Legislative Council. Research Report Number 1
So,"[0, 0, 22, 17, 0, 0, 12, 0, 177, 0, 3, 228]",Rhode Island Legislative Council. Research Report Number 1
repair,"[3, 0, 4, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
flexible,"[0, 0, 0, 1, 0, 0, 1, 1]",Rhode Island Legislative Council. Research Report Number 1
antiquated,"[0, 0, 2, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
war,"[31, 0, 2]",Rhode Island Legislative Council. Research Report Number 1
called,"[12, 0, 2, 9, 4, 2, 5, 0, 1, 0, 0, 0, 8, 25, 11, 0, 0, 31, 0, 0, 10, 0, 6, 1, 4, 0]",Rhode Island Legislative Council. Research Report Number 1
Twenty-six,"[0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
to,[],Rhode Island Legislative Council. Research Report Number 1
in,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
recently,"[0, 0, 8, 2, 30]",Rhode Island Legislative Council. Research Report Number 1
headquarter,[0],Rhode Island Legislative Council. Research Report Number 1
Registry,"[0, 1]",Rhode Island Legislative Council. Research Report Number 1
payment,"[0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
operating,"[4, 43, 0, 0, 90, 38, 0, 3, 0, 0, 1, 0, 0, 2, 127, 6]",Rhode Island Legislative Council. Research Report Number 1
Whether,[],Rhode Island Legislative Council. Research Report Number 1
Vehicle,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
assistance,"[41, 3, 1, 7]",Rhode Island Legislative Council. Research Report Number 1
annually,"[0, 0, 1, 1, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
Forty-seven,"[0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
Providence,"[1, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
central,"[0, 0, 5, 6, 0, 14, 6]",Rhode Island Legislative Council. Research Report Number 1
insurance,"[0, 5, 0, 6]",Rhode Island Legislative Council. Research Report Number 1
loose,"[0, 0, 3, 16, 9, 0, 7, 0, 0, 4, 0, 2, 22, 47, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 38]",Rhode Island Legislative Council. Research Report Number 1
switched,"[0, 5, 0, 0, 6, 4, 7, 0, 0, 0, 34, 0, 1, 6, 1]",Rhode Island Legislative Council. Research Report Number 1
employee,[0],Rhode Island Legislative Council. Research Report Number 1
complete,"[9, 3, 2, 12, 0, 0, 2, 3, 0, 0, 0, 163, 4, 22, 6, 0, 0, 1, 2, 0, 6, 1, 3, 0, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
Based,"[14, 3, 3, 59, 21, 0]",Rhode Island Legislative Council. Research Report Number 1
Motor,"[7, 11, 0, 6]",Rhode Island Legislative Council. Research Report Number 1
Police,"[24, 0, 20, 4, 0]",Rhode Island Legislative Council. Research Report Number 1
periods,"[0, 0, 0, 37, 0, 0, 0, 18, 2, 0, 14, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
:,[],Rhode Island Legislative Council. Research Report Number 1
newly-created,[],Rhode Island Legislative Council. Research Report Number 1
any,"[14, 168, 0]",Rhode Island Legislative Council. Research Report Number 1
them,[],Rhode Island Legislative Council. Research Report Number 1
``,[],Rhode Island Legislative Council. Research Report Number 1
help,"[3, 9, 3, 7, 0, 0, 0, 19, 1, 0, 41, 1]",Rhode Island Legislative Council. Research Report Number 1
through,"[0, 32, 125, 0]",Rhode Island Legislative Council. Research Report Number 1
registered,"[2, 0, 21, 1, 44, 3, 19]",Rhode Island Legislative Council. Research Report Number 1
'',[],Rhode Island Legislative Council. Research Report Number 1
estimate,"[0, 0, 1, 9, 3, 0, 4, 0, 0, 22, 12, 31, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
determining,"[0, 1, 102, 4, 5, 12, 6, 2, 0, 55, 1, 46, 0, 0, 1, 6, 1, 13, 0, 0, 0, 12, 0, 4, 0, 3]",Rhode Island Legislative Council. Research Report Number 1
Few,[71],Rhode Island Legislative Council. Research Report Number 1
increased,"[16, 13]",Rhode Island Legislative Council. Research Report Number 1
Probably,"[27, 0, 0, 13, 0, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
report,"[6, 0, 24, 0, 6, 17, 31, 7, 0, 0, 8, 8, 13, 3]",Rhode Island Legislative Council. Research Report Number 1
responsibility,"[3, 0, 0, 4, 0]",Rhode Island Legislative Council. Research Report Number 1
every,[49],Rhode Island Legislative Council. Research Report Number 1
except,"[1, 0, 0, 0, 19, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
privately-owned,[],Rhode Island Legislative Council. Research Report Number 1
States,"[0, 0, 0, 0, 5, 0, 0, 0, 39, 7, 49, 70, 28, 0, 21, 32, 0, 11, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
has,"[2, 49, 0, 113, 0, 0, 3, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 4, 4, 80, 2, 51, 0, 17, 7]",Rhode Island Legislative Council. Research Report Number 1
lack,"[2, 51, 10, 3]",Rhode Island Legislative Council. Research Report Number 1
charge,"[3, 0, 0, 1, 6, 0, 0, 0, 0, 1, 0, 21, 0, 0, 0, 2, 0, 0, 3, 5, 0, 0, 0, 0, 8, 0, 9, 37, 1, 14, 1, 2, 0, 1, 0, 4, 1, 1, 1, 0, 4, 8, 9, 0, 0, 10, 0, 0, 1, 5, 0]",Rhode Island Legislative Council. Research Report Number 1
was,"[1, 0, 12, 0, 0, 21, 3, 6, 0, 26, 722, 6, 11, 0, 15]",Rhode Island Legislative Council. Research Report Number 1
attempt,"[3, 12, 22, 10, 0, 9, 1, 0, 0, 0, 7]",Rhode Island Legislative Council. Research Report Number 1
Unit,"[28, 5, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
develop,"[0, 0, 0, 0, 0, 1, 3, 0, 12, 3, 0, 1, 12, 123, 7, 13, 0, 10, 0, 16, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
lend,"[1, 1, 9, 1, 18, 4, 1]",Rhode Island Legislative Council. Research Report Number 1
title,"[7, 1, 0, 4, 0, 0, 0, 8, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
years,"[133, 0, 0, 33, 0, 12, 36, 0, 0, 61, 0]",Rhode Island Legislative Council. Research Report Number 1
governing,"[34, 4, 0, 0, 0, 1, 8, 8, 13, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
for,[],Rhode Island Legislative Council. Research Report Number 1
expenses,"[0, 8, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
$50,[],Rhode Island Legislative Council. Research Report Number 1
been,"[1, 12, 0, 21, 3, 6, 0, 26, 722, 6, 11, 0]",Rhode Island Legislative Council. Research Report Number 1
regulations,"[0, 3, 0, 0, 0, 8]",Rhode Island Legislative Council. Research Report Number 1
important,"[0, 4, 14, 32, 0]",Rhode Island Legislative Council. Research Report Number 1
beyond,[18],Rhode Island Legislative Council. Research Report Number 1
financed,[0],Rhode Island Legislative Council. Research Report Number 1
latter,[9],Rhode Island Legislative Council. Research Report Number 1
389,[],Rhode Island Legislative Council. Research Report Number 1
public,"[35, 0, 96]",Rhode Island Legislative Council. Research Report Number 1
laws,"[24, 0, 0, 0, 1, 0, 0, 0, 0, 20, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
subsistence,[0],Rhode Island Legislative Council. Research Report Number 1
solely,"[13, 211, 17, 3, 3]",Rhode Island Legislative Council. Research Report Number 1
fleet,"[0, 0, 0, 1, 0, 0, 0, 0, 12, 0]",Rhode Island Legislative Council. Research Report Number 1
include,"[0, 9, 10]",Rhode Island Legislative Council. Research Report Number 1
activities,"[52, 8, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
need,"[8, 5, 0, 51, 80, 0, 6, 0, 6, 0, 22, 0, 14, 0, 0, 54]",Rhode Island Legislative Council. Research Report Number 1
advent,"[0, 0, 0, 26, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
and,[],Rhode Island Legislative Council. Research Report Number 1
"16,000",[],Rhode Island Legislative Council. Research Report Number 1
B,"[0, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 9, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
duties,"[0, 3, 0, 4]",Rhode Island Legislative Council. Research Report Number 1
met,"[0, 0, 102, 19, 1, 3, 0, 7, 0, 0, 0, 3, 3, 0, 0, 8, 0, 0, 23, 2, 0, 0, 1, 3, 11, 7, 0]",Rhode Island Legislative Council. Research Report Number 1
restrictions,"[1, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
engineers,"[0, 16, 0, 1, 0, 0, 0, 0, 0, 0, 4]",Rhode Island Legislative Council. Research Report Number 1
drivers,"[7, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
costs,"[0, 1, 21, 17, 722, 9]",Rhode Island Legislative Council. Research Report Number 1
averaged,"[10, 0]",Rhode Island Legislative Council. Research Report Number 1
23,"[0, 3, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
allowances,"[0, 2, 0, 0, 0, 0, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
all,"[13, 352, 28, 24, 2, 2, 6]",Rhode Island Legislative Council. Research Report Number 1
equipment,[27],Rhode Island Legislative Council. Research Report Number 1
abuse,"[0, 1, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
reasonably,"[6, 17, 0, 0, 2, 0, 19, 3, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
discount,"[0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
average,"[1, 0, 2, 0, 0, 21, 10, 0, 37, 15, 0, 8]",Rhode Island Legislative Council. Research Report Number 1
6,"[0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
Table,"[0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 15]",Rhode Island Legislative Council. Research Report Number 1
too,"[1, 0, 3, 121, 0, 2, 0, 118]",Rhode Island Legislative Council. Research Report Number 1
providing,"[16, 3, 0, 1, 1, 0, 0, 11, 0, 0, 12, 32]",Rhode Island Legislative Council. Research Report Number 1
example,"[1, 0, 8, 0, 35, 2, 1, 5, 0, 23, 10, 0]",Rhode Island Legislative Council. Research Report Number 1
lower,"[0, 0, 0, 1, 1, 0, 146, 0, 20, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 3, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 0, 0, 2, 67, 0]",Rhode Island Legislative Council. Research Report Number 1
$.09,[],Rhode Island Legislative Council. Research Report Number 1
retained,"[13, 35, 0, 0, 2, 0, 0, 17, 3]",Rhode Island Legislative Council. Research Report Number 1
",",[],Rhode Island Legislative Council. Research Report Number 1
assigning,"[51, 0, 0, 0, 1, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
such,[107],Rhode Island Legislative Council. Research Report Number 1
rapidly,"[0, 11, 0, 0, 6]",Rhode Island Legislative Council. Research Report Number 1
mile,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
billed,"[0, 4, 0, 8]",Rhode Island Legislative Council. Research Report Number 1
general,"[32, 1, 9, 1, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
procedures,"[0, 12, 6, 6, 0, 5, 6]",Rhode Island Legislative Council. Research Report Number 1
shed,"[0, 0, 6, 0, 1, 4, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
construction,"[10, 0, 8, 8, 0, 14, 0]",Rhode Island Legislative Council. Research Report Number 1
1942,[],Rhode Island Legislative Council. Research Report Number 1
assigns,"[51, 0, 0, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
vehicle,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
reimbursement,[0],Rhode Island Legislative Council. Research Report Number 1
And,[],Rhode Island Legislative Council. Research Report Number 1
Rhode,[],Rhode Island Legislative Council. Research Report Number 1
.,[],Rhode Island Legislative Council. Research Report Number 1
when,[],Rhode Island Legislative Council. Research Report Number 1
Island's,[],Rhode Island Legislative Council. Research Report Number 1
does,"[113, 0, 0, 18, 25, 3, 0, 0, 0, 0, 0, 163, 46, 0, 5, 6, 6, 0, 0, 0, 0, 3, 1, 9, 0, 22, 1, 84, 0]",Rhode Island Legislative Council. Research Report Number 1
While,"[1, 1, 11, 77]",Rhode Island Legislative Council. Research Report Number 1
acquisition,"[8, 5, 1, 0, 0, 2]",Rhode Island Legislative Council. Research Report Number 1
itself,[],Rhode Island Legislative Council. Research Report Number 1
reasons,"[1, 30, 0, 0, 0, 4, 9, 2, 18, 5, 21]",Rhode Island Legislative Council. Research Report Number 1
transferred,"[0, 0, 0, 2, 7, 1, 0, 0, 34, 0, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
by,"[40, 497, 7, 39]",Rhode Island Legislative Council. Research Report Number 1
Regulations,"[0, 3, 0, 0, 0, 8]",Rhode Island Legislative Council. Research Report Number 1
),[],Rhode Island Legislative Council. Research Report Number 1
traveled,"[1, 19, 0, 3, 0, 0, 90, 12, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
comparison,"[5, 1, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
problem,"[20, 36, 39]",Rhode Island Legislative Council. Research Report Number 1
as,"[147, 0, 0, 0, 0, 0, 0, 828, 0, 0, 0, 0, 0, 4, 0, 0, 2793, 0, 0, 69, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
respectively,"[6, 0]",Rhode Island Legislative Council. Research Report Number 1
uniform,"[2, 0, 6, 1]",Rhode Island Legislative Council. Research Report Number 1
economy,"[2, 2, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
later,"[0, 15, 10, 0, 0, 0, 1, 4, 89, 30, 0, 11, 33, 1, 3]",Rhode Island Legislative Council. Research Report Number 1
refine,"[0, 1, 2, 146, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
state-owned,[],Rhode Island Legislative Council. Research Report Number 1
1940,[],Rhode Island Legislative Council. Research Report Number 1
light,"[0, 3, 0, 0, 1, 0, 0, 0, 16, 0, 0, 26, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 28, 0, 0, 4, 0, 0, 0, 0, 0, 47, 0, 8, 2, 2, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
Prior,"[3, 4]",Rhode Island Legislative Council. Research Report Number 1
homes,"[0, 0, 3, 0, 72, 0, 54, 3, 0, 0, 0, 1, 0, 3, 0, 52, 74]",Rhode Island Legislative Council. Research Report Number 1
normal,"[3, 24, 8, 8, 2]",Rhode Island Legislative Council. Research Report Number 1
more,"[0, 271, 0, 0, 7, 0]",Rhode Island Legislative Council. Research Report Number 1
transportation,"[0, 0, 1, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
most,"[0, 3, 237, 104, 18, 0, 66, 23, 0]",Rhode Island Legislative Council. Research Report Number 1
into,[],Rhode Island Legislative Council. Research Report Number 1
Requests,"[0, 2, 4, 0, 0, 6, 11]",Rhode Island Legislative Council. Research Report Number 1
difficult,"[0, 33, 17]",Rhode Island Legislative Council. Research Report Number 1
terms,"[27, 0, 17, 17, 0, 3, 8, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
an,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
quarters,"[0, 5, 0, 3, 0, 7, 0, 1, 3, 0, 0, 9, 0, 5, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
progress,"[0, 0, 9, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
35%,[],Rhode Island Legislative Council. Research Report Number 1
1951,[],Rhode Island Legislative Council. Research Report Number 1
sound,"[1, 0, 134, 0, 4, 0, 4, 0, 0, 11, 0, 0, 0, 0, 0, 4, 30, 0, 90, 18, 25, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
forty,"[0, 6, 0, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
appears,"[0, 3, 59, 26, 0]",Rhode Island Legislative Council. Research Report Number 1
--,[],Rhode Island Legislative Council. Research Report Number 1
state's,[],Rhode Island Legislative Council. Research Report Number 1
division,"[0, 0, 12, 47, 0, 0, 0, 0, 0, 0, 3, 12]",Rhode Island Legislative Council. Research Report Number 1
highway,"[6, 0]",Rhode Island Legislative Council. Research Report Number 1
200,"[0, 4, 0]",Rhode Island Legislative Council. Research Report Number 1
taking,"[7, 3, 0, 113, 18, 0, 0, 5, 0, 0, 3, 6, 14, 0, 1, 1, 1, 0, 5, 7, 20, 2, 9, 0, 492, 5, 0, 0, 3, 10, 1, 0, 5, 123, 5, 16, 1, 1, 11, 7, 0, 0, 4, 9, 1, 0, 0, 10, 0, 3, 80, 20, 2, 24, 21, 6, 0, 0, 2, 0, 22, 6, 4, 1, 17, 4, 4, 5, 18, 54]",Rhode Island Legislative Council. Research Report Number 1
tax,"[11, 7, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
C,"[6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 13, 0, 0, 11, 0, 0, 13, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
plus,"[0, 0, 21, 6, 12]",Rhode Island Legislative Council. Research Report Number 1
problematical,"[1, 0, 2, 1, 7, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
Island,[5],Rhode Island Legislative Council. Research Report Number 1
few,[71],Rhode Island Legislative Council. Research Report Number 1
allocation,"[0, 0, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
personnel,"[5, 0, 0, 14, 0]",Rhode Island Legislative Council. Research Report Number 1
earlier,"[0, 10, 17, 0, 4, 123, 183, 41, 4, 0, 3]",Rhode Island Legislative Council. Research Report Number 1
measures,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 12, 0, 1, 0, 12, 10, 4, 0, 1, 4, 0, 17, 0, 23, 12, 8]",Rhode Island Legislative Council. Research Report Number 1
ineffective,"[0, 0, 0, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
Vehicles,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
compilation,"[0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
operate,"[43, 0, 90, 38, 0, 3, 0, 0, 1, 0, 0, 127, 6]",Rhode Island Legislative Council. Research Report Number 1
officers,"[0, 0, 0, 2, 10, 0]",Rhode Island Legislative Council. Research Report Number 1
well-regulated,[],Rhode Island Legislative Council. Research Report Number 1
current,"[2, 8, 0, 5]",Rhode Island Legislative Council. Research Report Number 1
Office,"[72, 0, 43, 1, 19, 6, 2, 7, 1, 0, 7, 16, 47, 58, 6, 0, 0, 0, 1]",Rhode Island Legislative Council. Research Report Number 1
practically,"[6, 111]",Rhode Island Legislative Council. Research Report Number 1
excise,"[0, 0, 1, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
old,"[0, 10, 1, 0, 10, 0, 0, 0, 79, 11, 0, 9, 0]",Rhode Island Legislative Council. Research Report Number 1
become,"[123, 7, 90, 37, 33]",Rhode Island Legislative Council. Research Report Number 1
it,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
fact,[74],Rhode Island Legislative Council. Research Report Number 1
services,"[0, 9, 0, 0, 0, 0, 41, 19, 0, 0, 1, 0, 0, 3, 0, 0, 8]",Rhode Island Legislative Council. Research Report Number 1
prior,"[3, 4]",Rhode Island Legislative Council. Research Report Number 1
matter,"[1, 53, 0, 25, 1, 7, 16, 29]",Rhode Island Legislative Council. Research Report Number 1
however,"[103, 1, 3, 47, 35, 0, 0, 0, 6]",Rhode Island Legislative Council. Research Report Number 1
keeping,"[1, 2, 4, 0, 2, 1, 5, 0, 0, 7, 0, 0, 0, 0, 8, 1, 9, 13, 35, 4, 0, 1, 0, 0, 17, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
garages,"[2, 0]",Rhode Island Legislative Council. Research Report Number 1
use,"[0, 0, 9, 0, 0, 0, 1, 6, 0, 0, 11, 1, 5, 2, 6, 0, 7, 1, 3, 66, 0, 0, 7]",Rhode Island Legislative Council. Research Report Number 1
upgrade,"[0, 0, 4, 0, 10, 0, 0, 0, 0, 7, 3]",Rhode Island Legislative Council. Research Report Number 1
$.027,[],Rhode Island Legislative Council. Research Report Number 1
management,"[3, 8]",Rhode Island Legislative Council. Research Report Number 1
dirty,"[0, 2, 0, 0, 1, 1, 0, 2, 0, 0, 1, 0, 0, 4, 0, 1, 0, 9, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
mileage,"[0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
allowed,"[16, 1, 1, 0, 0, 0, 0, 10, 6, 10, 0, 0, 51, 3, 12, 32]",Rhode Island Legislative Council. Research Report Number 1
two,"[158, 0, 0, 0, 26]",Rhode Island Legislative Council. Research Report Number 1
trade,"[20, 0, 7, 4, 3, 0, 0, 16, 0, 0, 0, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
itemized,"[0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
lowest,"[0, 0, 1, 1, 0, 146, 0, 0, 20, 0, 0, 10, 0, 0, 83, 0, 3, 0, 0, 0, 0, 13, 0, 0, 0, 4, 0, 2, 67, 0]",Rhode Island Legislative Council. Research Report Number 1
varied,"[5, 0, 3, 0, 0, 0, 34, 0, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
working,"[113, 18, 17, 6, 0, 2, 0, 3, 1, 0, 6, 5, 127, 0, 0, 2, 39, 12, 0, 0, 23, 0, 0, 1, 0, 43, 0, 13, 22, 0, 90, 12, 37, 0, 0, 1, 1, 0, 3, 9, 0]",Rhode Island Legislative Council. Research Report Number 1
is,"[1, 12, 0, 21, 3, 6, 0, 26, 722, 6, 11, 0]",Rhode Island Legislative Council. Research Report Number 1
their,[],Rhode Island Legislative Council. Research Report Number 1
year,"[0, 61, 12, 0]",Rhode Island Legislative Council. Research Report Number 1
appropriating,"[0, 0, 6, 0, 2, 1, 3, 12]",Rhode Island Legislative Council. Research Report Number 1
month,"[0, 8]",Rhode Island Legislative Council. Research Report Number 1
