w,vector_uso
disappointment,"[0, 2, 0]",The Christian Science Monitor
Vice-President,[],The Christian Science Monitor
:,[],The Christian Science Monitor
free,"[1, 4, 7, 0, 1, 4, 22, 0, 0, 2, 0, 5, 7, 4, 3, 0, 1, 0, 0, 0, 3, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",The Christian Science Monitor
fleet,"[0, 0, 0, 1, 0, 0, 12, 0, 0, 0]",The Christian Science Monitor
relinquish,"[0, 0, 0, 0, 4, 0, 7, 0, 0, 0, 1, 22, 0, 2]",The Christian Science Monitor
achieve,"[1, 7, 1, 11]",The Christian Science Monitor
concentrate,"[5, 2, 0, 0, 0, 0, 0, 6, 0, 23, 5, 0, 0, 0, 0]",The Christian Science Monitor
timely,"[0, 0, 0, 0, 0, 0]",The Christian Science Monitor
President,"[8, 0, 3, 0, 0, 4, 0, 14, 0, 0]",The Christian Science Monitor
those,[],The Christian Science Monitor
kind,"[39, 57, 2, 18, 10, 0]",The Christian Science Monitor
officials,"[6, 0]",The Christian Science Monitor
March,"[1, 0, 6, 0, 0, 0, 3, 0, 0, 0, 21, 0, 0, 3, 0, 6, 1, 1, 0, 0, 12]",The Christian Science Monitor
problems,"[39, 36, 20]",The Christian Science Monitor
favor,"[5, 0, 3, 0, 7, 0]",The Christian Science Monitor
setting,"[0, 2, 0, 163, 0, 1, 0, 0, 0, 0, 6, 0, 29, 0, 10, 1, 0, 0, 5, 46, 0, 2, 51, 8, 72, 2, 0, 8, 0, 13, 2, 0, 0, 0, 0, 19, 21, 0, 0, 0, 0, 1, 0, 0, 0, 4, 12]",The Christian Science Monitor
pro-Western,[],The Christian Science Monitor
Phouma,[],The Christian Science Monitor
another's,[],The Christian Science Monitor
Aid,"[3, 0, 7, 1, 0, 21, 17, 0, 41]",The Christian Science Monitor
recommends,"[5, 5, 1, 2]",The Christian Science Monitor
removal,"[0, 0]",The Christian Science Monitor
difficulties,"[20, 7, 0]",The Christian Science Monitor
his,[],The Christian Science Monitor
arms,"[2, 3, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 18, 0, 0, 5]",The Christian Science Monitor
continue,"[0, 0, 0, 13, 35, 0, 1, 0, 0, 0, 8, 1, 0, 0, 16, 1, 13, 0]",The Christian Science Monitor
daily,"[1, 1, 9, 0, 2, 0, 0]",The Christian Science Monitor
70,"[2, 0, 1, 0]",The Christian Science Monitor
Exploratory,"[0, 0]",The Christian Science Monitor
haltingly,[0],The Christian Science Monitor
test,"[0, 8, 0, 0, 43, 3, 0, 0, 18, 22, 0, 3, 2, 0, 0, 10, 2]",The Christian Science Monitor
nations,"[32, 28, 11, 1, 0, 0, 0, 0, 49, 0]",The Christian Science Monitor
from,[],The Christian Science Monitor
Its,"[0, 0]",The Christian Science Monitor
sailing,"[1, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0]",The Christian Science Monitor
compelled,"[0, 0, 0]",The Christian Science Monitor
past,"[0, 0, 3, 0, 0, 39, 497]",The Christian Science Monitor
country,"[32, 28, 11, 0, 0, 32, 0, 49, 0]",The Christian Science Monitor
communities,"[0, 0, 0, 13, 0]",The Christian Science Monitor
tentative,"[0, 2, 2, 0, 2]",The Christian Science Monitor
conventional,"[0, 0, 5, 2, 10]",The Christian Science Monitor
out,"[0, 0, 2, 309, 0, 4, 0, 0, 40, 0, 0, 0, 0, 1, 0]",The Christian Science Monitor
avoided,"[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 0, 0, 1]",The Christian Science Monitor
is,"[12, 3, 6, 21, 0, 11, 722, 6, 0, 0, 26, 1]",The Christian Science Monitor
others,[],The Christian Science Monitor
who,"[0, 0]",The Christian Science Monitor
tension,"[0, 0, 4, 0, 0, 5]",The Christian Science Monitor
franker,"[0, 0, 0, 1, 0, 0, 0, 2, 0]",The Christian Science Monitor
critics,[3],The Christian Science Monitor
today,"[28, 2, 129]",The Christian Science Monitor
persons,"[7, 28, 14, 4, 4, 19]",The Christian Science Monitor
danger,"[6, 0, 15]",The Christian Science Monitor
method,"[11, 0]",The Christian Science Monitor
states,"[0, 0, 32, 0, 0, 5, 0, 70, 28, 11, 0, 21, 0, 0, 39, 0, 7, 49, 0, 0]",The Christian Science Monitor
erupts,"[0, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 0, 0]",The Christian Science Monitor
urgency,"[0, 0, 0]",The Christian Science Monitor
Norway,"[1, 0, 0, 0]",The Christian Science Monitor
On,"[37, 839]",The Christian Science Monitor
negative,"[0, 6, 1, 0, 0, 1, 0, 0]",The Christian Science Monitor
His,[],The Christian Science Monitor
),[],The Christian Science Monitor
early,"[0, 10, 41, 0, 0, 183, 0]",The Christian Science Monitor
How,[],The Christian Science Monitor
achievement,"[0, 2]",The Christian Science Monitor
Communists,"[1, 0, 1]",The Christian Science Monitor
attempt,"[12, 10, 3, 0, 0, 22, 1, 0, 7, 9, 0]",The Christian Science Monitor
arrests,"[0, 123, 0, 4, 1, 0, 18, 0, 16, 6, 4, 0, 17, 0, 0, 1, 0, 0, 3, 1, 2, 4]",The Christian Science Monitor
outcome,"[5, 0, 1, 16, 6, 6, 27, 0, 8, 27]",The Christian Science Monitor
information,"[0, 16, 4, 0, 0]",The Christian Science Monitor
arises,"[0, 0, 0, 0, 10, 0, 0, 0, 2, 0, 12, 0, 0, 12, 0, 1, 0]",The Christian Science Monitor
submarines,"[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Christian Science Monitor
politics,"[0, 3, 0, 13, 0]",The Christian Science Monitor
huge,"[7, 2, 0, 0]",The Christian Science Monitor
impression,"[1, 0, 23, 6, 3, 0, 0, 20, 4, 4, 27, 6]",The Christian Science Monitor
cars,"[47, 0, 7, 8, 0, 0, 0, 0, 0, 8, 0]",The Christian Science Monitor
laid,"[72, 29, 1, 0, 7, 0, 19, 46, 51]",The Christian Science Monitor
diplomat,"[0, 0]",The Christian Science Monitor
eliminating,"[0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0]",The Christian Science Monitor
certain,"[42, 1, 42]",The Christian Science Monitor
within,"[25, 38]",The Christian Science Monitor
Cooperation,[4],The Christian Science Monitor
build-up,[],The Christian Science Monitor
years,"[0, 0, 0, 36, 61, 0, 33, 0, 12, 0, 133]",The Christian Science Monitor
Conflict,"[5, 7, 0, 0, 0, 7, 2, 0, 0, 16, 10]",The Christian Science Monitor
alliance's,[],The Christian Science Monitor
pleads,[0],The Christian Science Monitor
core,"[2, 0, 0, 6, 0, 0, 0, 4, 2, 1, 2, 0, 0, 3, 0, 20, 27, 0, 0, 0, 0, 23, 5]",The Christian Science Monitor
conference,"[2, 0, 0]",The Christian Science Monitor
conspicuous,"[0, 1, 1]",The Christian Science Monitor
heart,"[1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 15, 0, 0, 11, 3, 20, 1, 0, 2, 0, 0, 14, 23, 3, 1, 0, 0, 0, 5]",The Christian Science Monitor
delinquency,"[0, 0, 0, 0]",The Christian Science Monitor
being,"[12, 3, 1, 6, 21, 0, 11, 722, 6, 0, 0, 20, 26, 2, 100, 0]",The Christian Science Monitor
if,[],The Christian Science Monitor
only,"[211, 13, 4, 11, 25, 0, 1, 3, 115, 3, 17, 0, 3, 0, 409]",The Christian Science Monitor
changes,"[10, 6, 0, 3, 0, 1, 5, 1, 5, 0, 34, 10, 0, 7, 0]",The Christian Science Monitor
need,"[54, 0, 0, 0, 5, 0, 80, 8, 0, 6, 22, 51, 0, 14, 0, 6]",The Christian Science Monitor
advance,"[2, 0, 16, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 11, 0, 0, 18, 1, 0, 0, 5, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 1, 0, 1, 0, 0, 3, 0, 1, 0]",The Christian Science Monitor
Federal,"[3, 0, 5, 6, 0, 0, 0]",The Christian Science Monitor
an,"[0, 0]",The Christian Science Monitor
around,"[237, 0, 3, 0, 85, 0, 0, 6, 2, 182]",The Christian Science Monitor
trusting,"[22, 0, 7, 1, 31, 0, 1, 0, 1, 16, 7, 0, 1]",The Christian Science Monitor
Ministers,"[7, 0, 0, 0, 0, 3, 9, 0]",The Christian Science Monitor
taking,"[0, 0, 3, 0, 0, 123, 9, 0, 0, 113, 16, 0, 5, 0, 1, 5, 2, 11, 10, 0, 5, 0, 0, 1, 24, 0, 0, 3, 1, 1, 6, 0, 0, 14, 7, 1, 10, 18, 3, 9, 5, 20, 17, 4, 6, 3, 80, 6, 2, 0, 7, 21, 1, 0, 0, 54, 0, 4, 1, 7, 1, 18, 22, 20, 5, 2, 4, 4, 5, 492]",The Christian Science Monitor
mood,"[10, 0, 3, 0, 3, 3, 1]",The Christian Science Monitor
useless,[2],The Christian Science Monitor
local,"[0, 20, 0, 0, 0]",The Christian Science Monitor
have,"[123, 51, 113, 3, 4, 4, 0, 0, 1, 0, 1, 0, 2, 51, 17, 7, 80, 6, 0, 0, 6, 111, 6, 18, 0, 2, 49, 0, 492]",The Christian Science Monitor
Portugal,"[1, 0]",The Christian Science Monitor
regard,"[2, 102, 11, 0, 0, 10, 7, 17, 0, 0, 5, 0, 0, 13, 17]",The Christian Science Monitor
five,"[0, 0, 0, 35, 1, 0, 0, 0, 0, 0, 7, 0, 18, 0, 0]",The Christian Science Monitor
accredited,"[5, 1, 0, 0, 0, 5, 3, 0]",The Christian Science Monitor
National,"[4, 25, 8, 54, 0]",The Christian Science Monitor
Communist,"[1, 0, 0, 1]",The Christian Science Monitor
development,"[23, 1, 0, 0, 3, 0, 13, 0, 8]",The Christian Science Monitor
nationalism,"[0, 0]",The Christian Science Monitor
leadership,"[9, 11, 5]",The Christian Science Monitor
Thursday,"[2, 0]",The Christian Science Monitor
possibility,"[0, 11, 4, 10, 9, 0]",The Christian Science Monitor
specific,"[8, 20]",The Christian Science Monitor
Offenses,"[0, 0, 0, 0, 0, 4, 0, 0, 0, 0]",The Christian Science Monitor
reforms,"[1, 0, 0, 0, 0, 0]",The Christian Science Monitor
policies,"[6, 5, 0]",The Christian Science Monitor
remove,"[21, 0, 8, 0, 1, 1, 0, 0, 0, 7, 80, 0, 0, 102, 1, 2]",The Christian Science Monitor
could,[],The Christian Science Monitor
Nam,[],The Christian Science Monitor
be,"[12, 0, 3, 6, 21, 0, 11, 0, 722, 6, 0, 0, 0, 26, 4, 1]",The Christian Science Monitor
but,"[211, 25, 11, 115, 409]",The Christian Science Monitor
Viet,[],The Christian Science Monitor
votes,"[0, 0, 1, 5, 2, 0, 0]",The Christian Science Monitor
administration,"[8, 8, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 3, 0, 13]",The Christian Science Monitor
supported,"[0, 0, 0, 3, 0, 0, 0, 0, 1, 3, 5, 2, 0, 0, 17, 5, 0, 19, 0, 0, 0, 0, 6, 0, 0, 13, 2, 2, 0, 0, 0, 0, 1, 0, 162]",The Christian Science Monitor
events,"[5, 35, 16, 6, 27, 0, 8, 27]",The Christian Science Monitor
detailed,"[0, 5, 2, 3]",The Christian Science Monitor
neutralist,[0],The Christian Science Monitor
despite,"[1, 0, 3, 6]",The Christian Science Monitor
Technology,"[0, 2, 0, 2]",The Christian Science Monitor
moving,"[0, 6, 0, 7, 0, 0, 19, 22, 1, 43, 1, 1, 90, 0, 0, 16, 1, 1, 0]",The Christian Science Monitor
alliance,"[3, 0, 0, 0, 0, 0]",The Christian Science Monitor
effect,"[5, 3, 16, 0, 0, 2, 0, 6, 6, 3, 14, 27, 0, 8, 27]",The Christian Science Monitor
Committee,"[6, 0, 1]",The Christian Science Monitor
himself,[],The Christian Science Monitor
determination,"[1, 0, 11, 11, 7]",The Christian Science Monitor
And,[],The Christian Science Monitor
larceny,"[0, 0, 0, 1, 1]",The Christian Science Monitor
rate,"[72, 34, 17, 17, 3, 21, 12, 5, 0]",The Christian Science Monitor
Bureau,"[0, 1, 0, 16, 1, 10, 0, 2, 0]",The Christian Science Monitor
idea,"[50, 7, 0, 0, 31, 1, 67, 3, 0]",The Christian Science Monitor
feels,"[37, 6, 6, 23, 59, 0, 0, 14, 55, 40, 0, 2, 49, 8]",The Christian Science Monitor
genuine,"[2, 33, 0, 0, 4, 10, 24]",The Christian Science Monitor
mainly,"[1, 2, 3, 0, 3]",The Christian Science Monitor
detach,"[0, 0, 0]",The Christian Science Monitor
field,"[5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 1, 0, 0, 0, 0, 25, 0, 1, 1, 0, 0, 32, 0, 1, 0, 34, 7]",The Christian Science Monitor
didn't,[],The Christian Science Monitor
even,"[0, 14, 1, 103, 47, 0, 10, 0, 8, 115, 1, 14]",The Christian Science Monitor
confrontations,"[5, 0, 1, 3, 0]",The Christian Science Monitor
colonialist,[0],The Christian Science Monitor
Washington,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15]",The Christian Science Monitor
whole,"[28, 13, 2, 352, 5, 0, 2, 0, 6, 1, 24, 14, 2, 0]",The Christian Science Monitor
oppose,"[0, 3, 4, 2, 0, 0, 0, 0, 0, 0, 3, 10]",The Christian Science Monitor
assisted,"[0, 0, 1, 7, 41, 4, 1, 9, 0]",The Christian Science Monitor
now,"[129, 0, 12, 12, 0, 0, 1, 0, 3, 2, 0, 28, 0]",The Christian Science Monitor
inconclusive,[0],The Christian Science Monitor
show,"[1, 15, 44, 1, 0, 8, 1, 19, 3, 1, 7, 6, 0, 0, 20, 37, 3, 21, 0, 2, 0, 1, 6, 0, 7, 36]",The Christian Science Monitor
part,"[7, 6, 47, 6, 0, 0, 0, 3, 9, 12, 5, 0, 0, 1, 0, 0, 30, 0, 17, 5, 1, 16, 0, 4, 19, 0, 1, 0, 11, 6, 0, 4, 13, 3, 0, 12]",The Christian Science Monitor
coordinating,"[0, 1, 0, 0, 0, 0, 0]",The Christian Science Monitor
neighbors,"[0, 3]",The Christian Science Monitor
It,"[0, 0]",The Christian Science Monitor
forces,"[7, 7, 4, 11, 10, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 58, 0, 5, 0, 0, 27, 9, 14, 4, 0, 6]",The Christian Science Monitor
``,[],The Christian Science Monitor
time,"[0, 0, 1, 0, 0, 1, 3, 188, 0]",The Christian Science Monitor
issued,"[0, 0, 0, 20, 0, 0, 16, 3, 7, 1, 0, 0, 0, 0]",The Christian Science Monitor
will,"[218, 0, 0, 32, 0]",The Christian Science Monitor
first,"[1, 20, 0, 1, 1, 4, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0]",The Christian Science Monitor
docile,"[0, 3, 0]",The Christian Science Monitor
walk,"[0, 0, 0, 17, 8, 0, 12, 0, 0]",The Christian Science Monitor
delegation,"[1, 1, 0, 0, 0, 0, 9, 0]",The Christian Science Monitor
vagueness,[0],The Christian Science Monitor
determined,"[55, 13, 1, 12, 0, 0, 0, 1, 9, 1, 46, 6, 0, 6, 2, 3, 1, 0, 4, 102, 12, 0, 8, 4, 0, 0]",The Christian Science Monitor
service,"[0, 1, 0, 0, 0, 19, 0, 0, 0, 0, 41, 0, 9, 0, 0, 3]",The Christian Science Monitor
ever,"[59, 0, 46, 0, 0]",The Christian Science Monitor
Among,[],The Christian Science Monitor
different,"[1, 0, 24]",The Christian Science Monitor
chairman,"[8, 0, 0, 4, 14]",The Christian Science Monitor
limited,"[2, 0, 0, 24, 1, 7, 0, 0, 7, 10, 0, 1, 0, 1, 1, 5, 46, 0]",The Christian Science Monitor
blunders,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0]",The Christian Science Monitor
further,"[1, 2, 5, 2, 3, 57, 0, 18]",The Christian Science Monitor
coalition,"[0, 0, 0, 0, 7, 0, 0, 1, 0]",The Christian Science Monitor
suited,"[3, 0, 3, 33, 5, 8, 0, 7]",The Christian Science Monitor
complication,"[0, 0, 0, 1, 0]",The Christian Science Monitor
made,"[0, 123, 8, 51, 0, 113, 11, 163, 0, 4, 1, 0, 9, 0, 1, 31, 4, 21, 0, 0, 0, 0, 16, 1, 0, 0, 1, 0, 117, 0, 5, 0, 1, 0, 0, 0, 0, 26, 17, 0, 0, 0, 80, 0, 3, 0, 0, 0, 0, 0, 127, 21, 0, 0, 0, 6, 18, 39, 9, 0, 0, 0, 9, 0, 1, 0, 0, 492]",The Christian Science Monitor
march,"[1, 0, 6, 0, 0, 0, 3, 0, 0, 0, 21, 0, 0, 3, 0, 6, 1, 1, 0, 0, 12]",The Christian Science Monitor
ideas,"[50, 7, 0, 0, 31, 1, 67, 3, 0]",The Christian Science Monitor
inspection,"[1, 1]",The Christian Science Monitor
specified,"[0, 0, 0, 1, 0, 0, 1, 0, 7, 1, 0, 10, 46, 0, 0, 2, 2, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Christian Science Monitor
Some,"[237, 0, 0, 85, 0, 0, 182, 6, 2]",The Christian Science Monitor
United,"[0, 4, 3, 0, 3, 5, 5, 0, 0, 2]",The Christian Science Monitor
1948,[],The Christian Science Monitor
faster,"[0, 9, 0, 2, 0, 5, 11, 0, 0, 3, 0, 0, 1, 19, 0, 0, 0]",The Christian Science Monitor
certainly,"[9, 0, 16, 42, 0, 0, 0]",The Christian Science Monitor
extraordinary,"[1, 0, 5]",The Christian Science Monitor
