w,vector_uso
leveled,"[1, 37, 0, 0, 115, 14, 0, 0, 8, 0, 0, 0, 0]",Principles of Inertial Navigation
turning,"[0, 1, 0, 0, 4, 7, 33, 3, 0, 0, 4, 127, 37, 0, 0, 0, 0, 12, 0, 0, 12, 0, 0, 0]",Principles of Inertial Navigation
above,"[0, 0, 0, 20, 0]",Principles of Inertial Navigation
be,"[4, 12, 1, 0, 11, 722, 6, 0, 26, 0, 0, 21, 0, 6, 3, 0]",Principles of Inertial Navigation
rather,"[0, 23, 40, 0, 1, 28, 0, 3]",Principles of Inertial Navigation
7-1,[],Principles of Inertial Navigation
controlling,"[1, 6, 17, 0, 9, 0, 0, 3, 3, 0, 0, 1, 38, 0, 2, 0, 6, 4, 5, 102]",Principles of Inertial Navigation
few,[71],Principles of Inertial Navigation
revolution,"[0, 0, 5]",Principles of Inertial Navigation
its,"[0, 0]",Principles of Inertial Navigation
reasonable,"[1, 4, 15, 0, 3]",Principles of Inertial Navigation
order,"[0, 0, 0, 0, 0, 0, 34, 0, 1, 0, 0, 0, 1, 39, 72, 51, 17, 0, 0, 1, 3, 1, 0, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 70, 0, 0, 1, 21, 0]",Principles of Inertial Navigation
neglecting,"[9, 0, 0, 0, 3, 1, 0, 1, 1, 0, 3]",Principles of Inertial Navigation
value,"[0, 0, 1, 13, 0, 1, 1, 0, 1, 7, 17, 8, 0, 1, 0, 17]",Principles of Inertial Navigation
respond,"[25, 4, 3, 1]",Principles of Inertial Navigation
determination,"[0, 7, 1, 11, 11]",Principles of Inertial Navigation
results,"[5, 0, 27, 16, 25, 10, 0, 0, 27, 0, 20, 6, 1, 6, 8, 8, 0, 32]",Principles of Inertial Navigation
because,[],Principles of Inertial Navigation
Finally,"[0, 83, 18, 0, 0, 7, 3, 0, 0]",Principles of Inertial Navigation
drifting,"[2, 0, 0, 0, 0, 6, 0, 0, 1, 4, 0, 7, 1, 1, 0, 0, 3, 0, 0, 0, 21]",Principles of Inertial Navigation
latitude,"[0, 0, 3, 0]",Principles of Inertial Navigation
hairs,"[0, 0, 0, 27, 0, 0, 0, 0]",Principles of Inertial Navigation
indicated,"[37, 4, 2, 44, 0, 5, 0, 7, 1]",Principles of Inertial Navigation
navigator,"[0, 0]",Principles of Inertial Navigation
Platform,"[0, 0, 2, 0, 27, 0]",Principles of Inertial Navigation
follows,"[0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 4, 0, 12, 0, 2, 3, 0, 84, 0, 11, 0, 722, 0, 0, 2, 0, 0]",Principles of Inertial Navigation
or,"[0, 0, 1, 1, 0, 0, 0]",Principles of Inertial Navigation
rate,"[3, 5, 12, 0, 21, 34, 17, 72, 17]",Principles of Inertial Navigation
situation,"[1, 19, 16, 6, 0, 0, 2, 7, 72, 43]",Principles of Inertial Navigation
crossed,"[5, 0, 0, 0, 0, 0, 0, 6, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Principles of Inertial Navigation
mounted,"[0, 0, 2, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 9]",Principles of Inertial Navigation
accuracy,"[12, 4]",Principles of Inertial Navigation
represented,"[1, 0, 2, 3, 0, 0, 11, 36, 2, 22, 23, 1, 13, 0, 1, 0, 6, 2, 0, 1, 722, 0]",Principles of Inertial Navigation
away,"[309, 497, 102, 40, 7, 29, 9]",Principles of Inertial Navigation
diagram,"[7, 1]",Principles of Inertial Navigation
Before,"[14, 123, 0, 17]",Principles of Inertial Navigation
three,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 56, 0, 0, 0]",Principles of Inertial Navigation
input,"[0, 5, 0, 9, 0, 0, 6]",Principles of Inertial Navigation
characteristic,"[1, 17, 0]",Principles of Inertial Navigation
simple,"[1, 3, 0, 0, 15, 5, 0, 0, 6, 0, 0, 0, 1, 0]",Principles of Inertial Navigation
rotating,"[0, 0, 0, 0, 0, 0, 0]",Principles of Inertial Navigation
rotates,"[0, 0, 0, 0, 0, 0, 0]",Principles of Inertial Navigation
proportional,"[0, 5]",Principles of Inertial Navigation
for,[],Principles of Inertial Navigation
zero,"[1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 38, 0, 3, 0, 13, 0, 0, 0]",Principles of Inertial Navigation
see,"[13, 6, 1, 0, 8, 0, 11, 1, 0, 4, 22, 0, 0, 59, 0, 15, 0, 4, 10, 4, 0, 0, 8, 3, 0, 12, 2, 0, 17, 0, 0, 7, 0, 0, 17, 1, 3, 55, 0, 0, 0, 2, 7, 0, 20, 38, 0, 0, 0, 6, 4, 49, 5, 102, 19]",Principles of Inertial Navigation
project,"[13, 6, 0, 15, 2, 22, 4, 6, 0, 1, 24, 4, 0, 1, 0, 0, 0, 0, 0, 0, 20, 7, 0, 0, 18, 102]",Principles of Inertial Navigation
doubly,"[0, 0, 13, 5]",Principles of Inertial Navigation
transit,"[0, 0, 0, 3, 6, 0, 0, 0, 0]",Principles of Inertial Navigation
amplified,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Principles of Inertial Navigation
suited,"[3, 33, 3, 0, 0, 7, 8, 5]",Principles of Inertial Navigation
done,"[32, 46, 163, 1, 3, 0, 0, 0, 0, 0, 22, 0, 9, 25, 113, 0, 6, 1, 5, 0, 0, 18, 125, 84, 3, 0, 6]",Principles of Inertial Navigation
indicate,"[37, 4, 2, 44, 0, 5, 0, 7, 1]",Principles of Inertial Navigation
As,"[0, 0, 0, 0, 0, 69, 828, 0, 0, 0, 2793, 0, 0, 0, 0, 0, 147, 0, 4, 0, 0, 0]",Principles of Inertial Navigation
exactly,"[13, 0, 0, 4, 115, 0, 0]",Principles of Inertial Navigation
lessened,"[0, 20, 0, 1, 4, 2, 0, 1, 0, 1]",Principles of Inertial Navigation
system,"[0, 0, 23, 1, 4, 8]",Principles of Inertial Navigation
torquers,[],Principles of Inertial Navigation
exist,"[5, 722, 6, 26, 0]",Principles of Inertial Navigation
is,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",Principles of Inertial Navigation
applied,"[0, 0, 0, 51, 1, 6, 0, 7, 0, 0, 66, 0, 17, 7]",Principles of Inertial Navigation
limit,"[7, 1, 1, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 5, 2, 1, 0, 0, 1, 0, 0]",Principles of Inertial Navigation
U,"[0, 0, 5, 3, 0]",Principles of Inertial Navigation
polarity,"[0, 0, 13]",Principles of Inertial Navigation
defined,"[0, 46, 0, 2, 0, 0, 1, 1, 1, 2, 0]",Principles of Inertial Navigation
systematic,"[0, 0, 1]",Principles of Inertial Navigation
frequency,"[0, 0, 0, 0, 4]",Principles of Inertial Navigation
rapid,"[0, 4]",Principles of Inertial Navigation
only,"[3, 211, 13, 25, 1, 3, 0, 409, 4, 115, 17, 11, 3, 0, 0]",Principles of Inertial Navigation
block,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 18, 0, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 5, 0, 0, 12, 1, 0, 15, 0, 0, 0, 0, 0, 0]",Principles of Inertial Navigation
inversely,"[0, 0]",Principles of Inertial Navigation
inconvenient,[0],Principles of Inertial Navigation
provide,"[1, 0, 0, 12, 3, 11, 32, 0, 16, 1, 0, 0]",Principles of Inertial Navigation
some,"[2, 0, 0, 0, 237, 6, 0, 85, 182]",Principles of Inertial Navigation
gyro,"[0, 0]",Principles of Inertial Navigation
cancel,"[25, 0, 1, 0, 2, 0, 0, 1, 0, 0]",Principles of Inertial Navigation
easily,"[16, 20, 82]",Principles of Inertial Navigation
fixture,"[0, 0, 0, 4, 10, 0, 0, 0, 0, 0, 0, 1, 0]",Principles of Inertial Navigation
relating,"[0, 0, 11, 0, 1, 0, 0, 5, 3, 3, 0, 0, 0, 2, 1, 0]",Principles of Inertial Navigation
Below,"[0, 1, 0, 0, 0, 10, 0, 71, 2]",Principles of Inertial Navigation
hr.,[],Principles of Inertial Navigation
etc.,"[5, 0, 1, 0]",Principles of Inertial Navigation
required,"[1, 0, 28, 0, 0, 5, 54, 2, 80, 0, 15, 0, 22, 9, 6, 14, 0, 51]",Principles of Inertial Navigation
transient,"[1, 0, 3, 0, 1, 0, 0]",Principles of Inertial Navigation
fast,"[0, 5, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 1, 0, 11, 19, 0]",Principles of Inertial Navigation
External,"[2, 5, 0, 29]",Principles of Inertial Navigation
an,"[0, 0]",Principles of Inertial Navigation
Aj,[],Principles of Inertial Navigation
equal,"[0, 11, 0, 12, 3, 0, 0, 0, 9, 722, 2]",Principles of Inertial Navigation
north-south,[],Principles of Inertial Navigation
two,"[0, 158, 0, 0, 26]",Principles of Inertial Navigation
Z-axis,[0],Principles of Inertial Navigation
electrical,"[4, 3]",Principles of Inertial Navigation
prolonged,"[0, 3, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0, 0]",Principles of Inertial Navigation
difficulty,"[0, 20, 7]",Principles of Inertial Navigation
a,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",Principles of Inertial Navigation
accomplished,"[22, 10, 0, 14, 1, 1, 1, 0, 0, 4, 0, 52, 3, 7, 5, 11, 0]",Principles of Inertial Navigation
acting,"[6, 23, 3, 163, 0, 0, 0, 0, 5, 0, 22, 127, 0, 19, 2, 6]",Principles of Inertial Navigation
upper,"[14, 0, 1, 0, 0]",Principles of Inertial Navigation
one,"[0, 0, 0, 5, 24, 0, 0, 29, 0, 0, 786, 0, 3, 321, 0, 1, 0]",Principles of Inertial Navigation
especially,"[0, 0, 14, 11]",Principles of Inertial Navigation
rotation,"[0, 0, 0, 5]",Principles of Inertial Navigation
multiplied,"[0, 1, 0, 0, 0, 0]",Principles of Inertial Navigation
position,"[1, 1, 0, 4, 0, 1, 7, 0, 46, 61, 29, 0, 18, 0, 72, 43, 51, 6, 0, 0, 0, 0, 17, 0, 19, 16, 1, 4]",Principles of Inertial Navigation
platform,"[0, 0, 2, 0, 27, 0]",Principles of Inertial Navigation
those,[],Principles of Inertial Navigation
integrating,"[0, 0, 3, 0, 1, 0, 0]",Principles of Inertial Navigation
beam,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 26, 2, 0, 1, 0, 0, 0, 0, 10]",Principles of Inertial Navigation
installations,"[0, 2, 0, 0, 0, 3, 1]",Principles of Inertial Navigation
If,[],Principles of Inertial Navigation
threshold,"[0, 0, 0, 0, 0, 36, 2, 1, 0]",Principles of Inertial Navigation
For,[],Principles of Inertial Navigation
entire,"[14, 0, 1, 1, 24, 22]",Principles of Inertial Navigation
accelerometers,[0],Principles of Inertial Navigation
well,"[134, 5, 4, 20, 0, 0, 82, 1, 2, 1, 0]",Principles of Inertial Navigation
output-axis,[],Principles of Inertial Navigation
set,"[0, 0, 13, 0, 0, 0, 0, 0, 1, 0, 1, 0, 46, 0, 0, 0, 8, 0, 10, 163, 7, 0, 0, 0, 29, 0, 0, 0, 21, 0, 2, 0, 0, 72, 51, 1, 6, 0, 2, 6, 12, 1, 8, 0, 0, 0, 4, 0, 2, 19, 2, 1, 0, 7, 19, 0, 0, 0, 0, 9, 10]",Principles of Inertial Navigation
remotely,[0],Principles of Inertial Navigation
adequate,"[12, 0, 9, 0, 4, 0, 76]",Principles of Inertial Navigation
after,"[0, 33, 0, 3, 89, 0]",Principles of Inertial Navigation
heading,"[37, 16, 73, 0, 20, 0, 0, 3, 0, 0, 0, 5, 4, 0, 3, 0, 3, 0]",Principles of Inertial Navigation
takes,"[0, 5, 0, 0, 0, 1, 21, 0, 0, 13, 0, 22, 0, 2, 6, 7, 0, 24, 3, 3, 1, 0, 0, 0, 1, 20, 4, 4, 3, 1, 10, 6, 1, 4, 7, 0, 2, 7, 0, 5, 14, 16, 9, 0, 0, 113, 5, 6, 5, 9, 2, 0, 0, 11, 0, 18, 1, 17, 16, 0, 5, 5, 10, 20, 54, 1, 1, 6, 123, 80, 492, 3]",Principles of Inertial Navigation
determines,"[0, 0, 1, 3, 4, 46, 12, 0, 13, 4, 0, 0, 12, 2, 6, 55, 1, 0, 0, 1, 6, 102]",Principles of Inertial Navigation
external,"[2, 5, 0, 29]",Principles of Inertial Navigation
work,"[0, 0, 1, 6, 3, 24, 12, 0, 6, 0, 0, 13, 22, 127, 90, 43, 0, 39, 0, 0, 0, 0, 23, 1, 37, 3, 113, 0, 0, 0, 0, 5, 2, 18, 0, 0, 1, 9, 0, 0, 12]",Principles of Inertial Navigation
desired,"[22, 0, 16, 0, 0, 7, 1, 1, 51]",Principles of Inertial Navigation
acceleration,"[1, 1, 0]",Principles of Inertial Navigation
considerable,[6],Principles of Inertial Navigation
considered,"[11, 3, 0, 24, 0, 1, 10, 65, 13, 17, 80, 0, 0, 20, 4, 0, 31, 7, 102]",Principles of Inertial Navigation
Figs.,[],Principles of Inertial Navigation
field,"[0, 0, 1, 0, 1, 24, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 34, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 2, 32, 0, 0]",Principles of Inertial Navigation
team,"[0, 12, 5]",Principles of Inertial Navigation
typically,[1],Principles of Inertial Navigation
",",[],Principles of Inertial Navigation
With,[],Principles of Inertial Navigation
brief,"[0, 10, 0]",Principles of Inertial Navigation
establish,"[0, 8, 13, 44, 0, 1, 3, 1, 51, 59, 0, 113, 1, 3, 3, 9, 0, 21, 0]",Principles of Inertial Navigation
X,"[3, 0, 0, 0, 3, 19, 0, 90, 0, 20, 0, 18, 0, 1]",Principles of Inertial Navigation
dip,"[9, 0, 0, 20, 0, 0, 2, 2, 3, 2, 0, 0, 0, 0, 0, 1, 2]",Principles of Inertial Navigation
achieved,"[1, 1, 7, 11]",Principles of Inertial Navigation
signal,"[37, 2, 0, 1, 0, 0, 13, 7, 0]",Principles of Inertial Navigation
7-3,[],Principles of Inertial Navigation
low-pass,[],Principles of Inertial Navigation
display,"[0, 2, 44, 2, 6, 14, 2]",Principles of Inertial Navigation
torque,"[0, 0]",Principles of Inertial Navigation
compensating,"[0, 19, 8, 0, 84, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]",Principles of Inertial Navigation
therefore,"[3, 1, 22, 0, 12, 228]",Principles of Inertial Navigation
integration,"[0, 3, 0, 0]",Principles of Inertial Navigation
allowable,"[0, 0]",Principles of Inertial Navigation
7-6,[],Principles of Inertial Navigation
autonavigator,[],Principles of Inertial Navigation
returns,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 51, 5, 0, 0, 0, 1, 16, 1, 20, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 1, 12, 0, 2, 0, 80, 1, 0, 0]",Principles of Inertial Navigation
Obviously,"[2, 10, 7, 3, 0, 9, 0]",Principles of Inertial Navigation
procedure,"[0, 6, 0, 6, 6, 5, 12]",Principles of Inertial Navigation
tilts,"[0, 0, 0, 7, 1, 0, 2, 2, 4, 3, 0, 17, 0, 21, 1, 2, 3, 0, 0, 0, 0, 7, 1, 2]",Principles of Inertial Navigation
Although,[],Principles of Inertial Navigation
problems,"[39, 36, 20]",Principles of Inertial Navigation
signals,"[37, 2, 0, 1, 0, 0, 13, 7, 0]",Principles of Inertial Navigation
on,"[839, 37]",Principles of Inertial Navigation
turn,"[3, 0, 1, 0, 42, 0, 0, 24, 2, 4, 7, 33, 0, 3, 0, 22, 90, 4, 0, 127, 37, 23, 0, 1, 0, 0, 0, 0, 12, 0, 0, 12, 5, 0, 0, 0, 2]",Principles of Inertial Navigation
equation,"[7, 0, 1, 1, 0]",Principles of Inertial Navigation
**zq,[],Principles of Inertial Navigation
reduced,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 0, 20, 0, 0, 6, 0, 14, 2, 0, 1]",Principles of Inertial Navigation
images,"[13, 6, 0, 0, 22, 4, 0, 0, 0, 0, 1, 0, 13, 0, 0, 0, 0, 20, 0, 21, 1, 0, 102, 0]",Principles of Inertial Navigation
arranged,"[46, 0, 163, 0, 11, 6, 0, 0, 5, 0, 8, 0, 34, 0, 51, 2]",Principles of Inertial Navigation
gyro-platform-servo,[],Principles of Inertial Navigation
reach,"[11, 0, 1, 1, 21, 3, 1, 51, 0, 0, 7, 0, 0, 5, 113, 0, 1, 0, 1, 4, 0, 50, 11, 0, 1, 12, 5, 21, 0, 1, 0]",Principles of Inertial Navigation
24,"[4, 0, 0, 1, 0]",Principles of Inertial Navigation
Since,[],Principles of Inertial Navigation
angles,"[1, 1, 2, 0, 2, 13, 5, 1]",Principles of Inertial Navigation
compromise,"[0, 0]",Principles of Inertial Navigation
case,"[12, 0, 0, 0, 0, 1, 62, 0, 0, 0, 16, 0, 0, 10, 0, 0, 0, 25, 0, 7, 23, 0, 0, 8, 0, 18, 6, 35, 0, 0, 0, 0]",Principles of Inertial Navigation
gain,"[3, 12, 8, 0, 0, 0, 21, 2, 0, 16, 0, 0, 0, 7, 0, 1, 0, 113, 13, 11, 26, 1, 1, 1, 5, 0, 0, 3]",Principles of Inertial Navigation
turbulence,"[0, 0, 0, 0]",Principles of Inertial Navigation
point,"[37, 0, 3, 0, 4, 2, 14, 0, 44, 0, 0, 0, 3, 0, 0, 0, 7, 1, 0, 1, 0, 18, 0, 14, 6, 0, 11, 8, 72, 0, 73, 6, 0, 0, 0, 0, 16, 0, 0, 0, 2, 22, 5, 0, 0, 0, 0]",Principles of Inertial Navigation
Essentially,"[2, 1, 5]",Principles of Inertial Navigation
of,[],Principles of Inertial Navigation
assumed,"[0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 0, 9, 0, 0, 0, 0, 0, 6, 0, 1, 7, 0, 0, 80, 3]",Principles of Inertial Navigation
amounts,"[84, 42, 0, 8, 4, 0, 12, 0, 5, 22]",Principles of Inertial Navigation
hold,"[0, 0, 1, 0, 1, 0, 2, 0, 17, 0, 0, 3, 12, 1, 51, 4, 0, 0, 0, 1, 1, 2, 0, 6, 0, 0, 0, 13, 1, 1, 1, 1, 5, 2, 5, 0, 0, 0, 0, 9, 0, 0, 113, 0, 3, 3, 80, 0, 1, 1, 4, 1, 492, 4, 0, 10, 6, 0, 3, 10, 38, 0, 0, 0, 0, 35, 2, 0, 6, 0, 0, 4, 10, 0, 7]",Principles of Inertial Navigation
In,"[0, 0, 152, 0, 0, 2255, 1, 0, 2, 3]",Principles of Inertial Navigation
existing,"[5, 2, 0, 722, 6, 26, 0]",Principles of Inertial Navigation
autocollimator,[],Principles of Inertial Navigation
actually,"[11, 40, 0]",Principles of Inertial Navigation
noticed,"[9, 3, 10, 0, 0, 55, 9, 2, 0, 10, 4, 8]",Principles of Inertial Navigation
H,"[2, 10, 0, 0, 0, 0, 0, 0, 0]",Principles of Inertial Navigation
purely,"[9, 4]",Principles of Inertial Navigation
effects,"[5, 0, 27, 16, 2, 14, 0, 27, 0, 6, 3, 3, 0, 8, 14, 6, 0]",Principles of Inertial Navigation
X-gyro,[],Principles of Inertial Navigation
long,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0]",Principles of Inertial Navigation
