w,vector_uso
drifted,"[0, 6, 7, 0, 21, 2, 1, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0]",The Invisible Aborigine
hopeless,[5],The Invisible Aborigine
fire,"[1, 2, 0, 0, 1, 3, 1, 0, 0, 0, 7, 0, 9, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 29, 0, 0, 1, 2, 235, 0]",The Invisible Aborigine
constant,"[0, 0, 0, 8, 0, 3, 2, 0, 0, 1, 0, 1]",The Invisible Aborigine
forty,"[0, 6, 0, 2, 0]",The Invisible Aborigine
--,[],The Invisible Aborigine
deny,"[0, 4, 0, 3]",The Invisible Aborigine
tabac,[],The Invisible Aborigine
signals,"[7, 0, 0, 13, 2, 37, 1, 0, 0]",The Invisible Aborigine
viewed,"[12, 0, 17, 0, 0, 4, 102, 11, 10]",The Invisible Aborigine
sand,"[0, 1, 7, 0, 0, 0, 0, 1, 0, 0, 0]",The Invisible Aborigine
look,"[0, 0, 0, 59, 4, 102, 6, 7, 6, 15, 3, 0, 23, 62, 5, 7, 41, 37, 14, 4, 0, 2, 10, 26, 14, 8, 0, 23, 0]",The Invisible Aborigine
boulder,"[0, 0, 0]",The Invisible Aborigine
style,"[3, 4, 0, 6, 0, 0, 123, 8, 0, 1, 15, 4, 2, 0]",The Invisible Aborigine
once,"[0, 0, 0, 0, 0, 53, 0]",The Invisible Aborigine
ashes,"[0, 0]",The Invisible Aborigine
swung,"[0, 0, 0, 9, 0, 0, 1, 4]",The Invisible Aborigine
isn't,[],The Invisible Aborigine
few,[71],The Invisible Aborigine
odor,"[0, 0, 1, 0, 6, 0, 0, 0]",The Invisible Aborigine
men,"[1, 0, 49, 11, 0, 0, 0, 8, 11, 63, 0, 4, 7, 0, 0, 51, 6, 0, 173, 0, 0, 0, 96, 0, 0, 0, 0]",The Invisible Aborigine
pitch,"[0, 16, 1, 2, 0, 3, 0, 1, 0, 0, 3, 0, 5, 1, 0, 0, 0, 0, 1, 0, 1, 1, 2, 7, 0, 0, 0, 1]",The Invisible Aborigine
angular,"[1, 0]",The Invisible Aborigine
lay,"[51, 29, 72, 8, 0, 0, 1, 0, 1, 0, 46, 2, 16, 0, 0, 0, 19]",The Invisible Aborigine
stopped,"[18, 0, 0, 0, 1, 20, 0, 0, 0, 0, 0, 0, 4, 15, 13, 6, 4, 0, 0, 51, 3, 2, 0, 0, 3, 0, 0, 1, 12, 0]",The Invisible Aborigine
about,"[0, 85, 3, 237, 0, 6, 2, 104, 18, 0, 0, 0, 66, 0, 182, 23, 0]",The Invisible Aborigine
bodies,"[3, 0, 50, 1, 0, 2, 0, 0, 0, 0, 0]",The Invisible Aborigine
objects,"[5, 4, 0, 8, 3]",The Invisible Aborigine
blindfolded,"[0, 0]",The Invisible Aborigine
dropped,"[0, 4, 3, 0, 0, 1, 3, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 6, 0, 4, 0, 9, 20, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",The Invisible Aborigine
words,"[1, 1, 0, 1, 0, 0, 0, 0, 3, 2, 4, 0, 3, 7, 0, 25, 4, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 11, 0, 2, 0, 0, 18, 4, 0, 37]",The Invisible Aborigine
kind,"[39, 18, 10, 2, 57, 0]",The Invisible Aborigine
black,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 13, 0, 5, 2, 0, 0, 21, 0, 0, 0, 0, 0, 31, 0, 4, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3]",The Invisible Aborigine
strange,"[9, 7, 12, 5]",The Invisible Aborigine
cow,"[0, 0, 3]",The Invisible Aborigine
dingo,"[0, 0, 0, 0]",The Invisible Aborigine
tiny,"[0, 0, 10, 0, 0, 0, 0]",The Invisible Aborigine
way,"[3, 0, 6, 31, 123, 8, 2, 0, 15, 27, 9, 0, 8]",The Invisible Aborigine
