A,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
city,"[0, 44, 0]",Christian Ethics & the Sit-In
'',[],Christian Ethics & the Sit-In
leading,"[0, 29, 0, 0, 0, 8, 2, 0, 20, 27, 0, 0, 3, 43, 90, 73, 0, 11, 14, 16, 12, 5, 4, 0, 9, 32, 80]",Christian Ethics & the Sit-In
than,[],Christian Ethics & the Sit-In
whose,[],Christian Ethics & the Sit-In
Journal,"[0, 0, 0]",Christian Ethics & the Sit-In
pressure,"[10, 5, 1, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2]",Christian Ethics & the Sit-In
legal,"[4, 25, 0]",Christian Ethics & the Sit-In
objectively,[1],Christian Ethics & the Sit-In
top,"[0, 29, 0, 1, 0, 0, 0, 1, 0, 3, 8, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 12, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
would,[],Christian Ethics & the Sit-In
salutary,"[134, 0]",Christian Ethics & the Sit-In
And,[],Christian Ethics & the Sit-In
across,"[36, 0, 1]",Christian Ethics & the Sit-In
physical,"[0, 0, 14]",Christian Ethics & the Sit-In
as,"[0, 0, 0, 0, 0, 69, 828, 0, 0, 0, 2793, 0, 0, 0, 0, 0, 147, 0, 4, 0, 0, 0]",Christian Ethics & the Sit-In
correct,"[0, 0, 0, 4, 0, 46, 8, 0, 2, 0, 2, 0, 0, 0, 84, 0, 5, 0, 0, 0]",Christian Ethics & the Sit-In
moral,"[15, 1]",Christian Ethics & the Sit-In
conform,"[0, 4, 2]",Christian Ethics & the Sit-In
Negroes,"[13, 0, 5, 0, 0]",Christian Ethics & the Sit-In
mode,"[3, 8, 0, 0, 15, 6, 3, 123, 0]",Christian Ethics & the Sit-In
good,"[0, 25, 5, 82, 0, 24, 8, 0, 7, 0, 0, 0, 115, 8, 1, 134, 0, 7, 8, 0, 9, 23, 4, 1, 84, 0, 3, 2, 0, 0, 3, 0, 1, 2, 5, 0, 1]",Christian Ethics & the Sit-In
adherents,"[0, 0]",Christian Ethics & the Sit-In
everywhere,"[0, 0, 8]",Christian Ethics & the Sit-In
persons,"[14, 28, 4, 7, 19, 4]",Christian Ethics & the Sit-In
at,"[35, 0, 0, 580]",Christian Ethics & the Sit-In
One,"[0, 0, 0, 5, 24, 0, 0, 29, 0, 0, 786, 0, 3, 321, 0, 1, 0]",Christian Ethics & the Sit-In
if,[],Christian Ethics & the Sit-In
their,[],Christian Ethics & the Sit-In
our,[],Christian Ethics & the Sit-In
forms,"[8, 0, 0, 4, 0, 5, 0, 0, 0, 22, 0, 3, 12, 19, 0, 0, 13, 0, 57, 10, 0, 6, 127, 1, 39, 0, 0, 0, 1, 113, 18, 1, 4, 3, 1, 0, 1, 74, 0, 0, 9, 0, 0, 12, 0, 0, 0, 0]",Christian Ethics & the Sit-In
the,[],Christian Ethics & the Sit-In
sustenance,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 35, 13, 33, 0, 0, 0, 0]",Christian Ethics & the Sit-In
There,"[0, 0, 0, 0, 276, 0]",Christian Ethics & the Sit-In
pockets,"[7, 2, 0, 0, 0, 1, 0, 0]",Christian Ethics & the Sit-In
supported,"[0, 0, 0, 0, 1, 2, 0, 17, 0, 0, 0, 0, 0, 0, 2, 0, 13, 1, 162, 0, 0, 0, 3, 0, 5, 0, 3, 0, 6, 2, 5, 0, 19, 0, 0]",Christian Ethics & the Sit-In
which,[],Christian Ethics & the Sit-In
perhaps,"[13, 18, 0, 13, 0, 0]",Christian Ethics & the Sit-In
taken,"[5, 0, 0, 0, 1, 21, 0, 0, 0, 0, 22, 3, 2, 6, 7, 0, 24, 0, 3, 1, 0, 0, 0, 1, 20, 4, 4, 3, 1, 10, 6, 1, 4, 7, 2, 7, 0, 5, 14, 9, 0, 113, 5, 5, 9, 2, 3, 0, 11, 0, 18, 1, 17, 16, 0, 5, 5, 10, 20, 54, 1, 1, 6, 123, 28, 80, 492, 3]",Christian Ethics & the Sit-In
Peace,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 11]",Christian Ethics & the Sit-In
despoiled,"[0, 0, 0, 8, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",Christian Ethics & the Sit-In
(,[],Christian Ethics & the Sit-In
divine,"[0, 0, 3, 9, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 6, 0]",Christian Ethics & the Sit-In
resorted,"[3, 0, 0, 4]",Christian Ethics & the Sit-In
sure,"[0, 0, 0, 9, 42, 2, 16, 0, 42, 0]",Christian Ethics & the Sit-In
effectiveness,"[0, 0, 6, 0, 0, 0]",Christian Ethics & the Sit-In
lays,"[46, 0, 0, 19, 29, 0, 1, 72, 51]",Christian Ethics & the Sit-In
sufficiently,[7],Christian Ethics & the Sit-In
vote,"[1, 0, 0, 2, 5, 0, 0]",Christian Ethics & the Sit-In
poured,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 5]",Christian Ethics & the Sit-In
ago,"[0, 39]",Christian Ethics & the Sit-In
choice,"[0, 9, 3, 13, 9, 4, 11, 0, 1]",Christian Ethics & the Sit-In
are,"[0, 12, 1, 11, 722, 6, 0, 26, 0, 21, 479, 0, 6, 3]",Christian Ethics & the Sit-In
wide,"[0, 0, 0, 0, 0, 0, 3, 3, 0, 4, 0, 0, 0, 4, 24, 16, 0]",Christian Ethics & the Sit-In
applauded,"[0, 0, 3, 0]",Christian Ethics & the Sit-In
It,"[0, 0]",Christian Ethics & the Sit-In
non-violent,[],Christian Ethics & the Sit-In
exploitation,"[13, 0, 13, 0, 0]",Christian Ethics & the Sit-In
general,"[9, 0, 1, 0, 32, 0, 0, 0, 1]",Christian Ethics & the Sit-In
concentrated,"[0, 0, 33, 0, 0, 2, 6, 0, 0, 5, 2, 0, 5, 0, 0, 0, 23]",Christian Ethics & the Sit-In
surround,"[0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 12, 1, 2, 1, 1, 12, 0]",Christian Ethics & the Sit-In
Nobody,"[0, 0, 7, 0]",Christian Ethics & the Sit-In
over,"[22, 0, 1, 0, 6, 0, 163]",Christian Ethics & the Sit-In
America,"[0, 0, 0, 0, 0, 17, 14, 0]",Christian Ethics & the Sit-In
any,"[168, 0, 14]",Christian Ethics & the Sit-In
segregation,"[1, 0, 0]",Christian Ethics & the Sit-In
recently,"[0, 30, 0, 2, 8]",Christian Ethics & the Sit-In
today,"[28, 2, 129]",Christian Ethics & the Sit-In
marches,"[0, 0, 0, 1, 0, 0, 1, 6, 0, 0, 6, 0, 3, 0, 3, 0, 1, 0, 21, 0, 0, 0, 12]",Christian Ethics & the Sit-In
previous,"[11, 1, 79, 30, 10]",Christian Ethics & the Sit-In
inevitably,"[6, 0, 1, 16, 1, 0, 0]",Christian Ethics & the Sit-In
every,[49],Christian Ethics & the Sit-In
deadly,"[0, 0, 0, 0, 2, 1, 7, 0, 0, 0, 4, 0, 2, 0]",Christian Ethics & the Sit-In
steps,"[0, 12, 0, 0, 10, 1, 1, 0, 5, 0, 0, 0, 3, 5, 0, 6, 0, 0, 0, 0, 0, 8, 0]",Christian Ethics & the Sit-In
example,"[0, 35, 23, 2, 8, 10, 1, 0, 0, 1, 5, 0]",Christian Ethics & the Sit-In
blacks,"[13, 21, 0, 0, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
institutional,[1],Christian Ethics & the Sit-In
:,[],Christian Ethics & the Sit-In
change,"[1, 5, 5, 0, 3, 34, 10, 0, 10, 7, 0, 0, 1, 6, 0]",Christian Ethics & the Sit-In
more,"[7, 0, 0, 0, 271, 0]",Christian Ethics & the Sit-In
without,[],Christian Ethics & the Sit-In
He,"[2, 486, 0, 1039]",Christian Ethics & the Sit-In
New,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",Christian Ethics & the Sit-In
other,"[183, 41, 10]",Christian Ethics & the Sit-In
Councils,[3],Christian Ethics & the Sit-In
TV,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
program,"[0, 0, 2, 0, 0, 0, 2, 27, 0, 15, 0, 0]",Christian Ethics & the Sit-In
above,"[0, 0, 0, 20, 0]",Christian Ethics & the Sit-In
inflicting,"[0, 0, 8, 1]",Christian Ethics & the Sit-In
be,"[4, 12, 1, 0, 11, 722, 6, 0, 26, 0, 0, 21, 0, 6, 3, 0]",Christian Ethics & the Sit-In
rather,"[0, 23, 40, 0, 1, 28, 0, 3]",Christian Ethics & the Sit-In
justified,"[0, 0, 5, 0, 0, 0, 22, 0, 3, 0, 3]",Christian Ethics & the Sit-In
way,"[3, 0, 8, 27, 8, 0, 15, 6, 9, 123, 0, 31, 2]",Christian Ethics & the Sit-In
desegregation,"[0, 3, 0]",Christian Ethics & the Sit-In
primary,"[7, 3, 0, 15, 0, 13, 0, 0, 12, 0, 0, 0, 9]",Christian Ethics & the Sit-In
again,"[0, 74, 0, 0]",Christian Ethics & the Sit-In
confidence,"[0, 3, 2, 1, 7, 1, 0]",Christian Ethics & the Sit-In
business,"[0, 39, 3, 0, 0, 5, 31, 0, 5, 0, 0, 0, 0, 24, 0, 0]",Christian Ethics & the Sit-In
morale,"[0, 0, 0]",Christian Ethics & the Sit-In
few,[71],Christian Ethics & the Sit-In
Mississippi,"[5, 0, 0, 0]",Christian Ethics & the Sit-In
show,"[37, 8, 0, 1, 0, 44, 21, 7, 1, 19, 36, 6, 0, 7, 1, 0, 6, 1, 3, 3, 0, 20, 2, 15, 0, 1]",Christian Ethics & the Sit-In
compulsion,"[1, 2, 0, 0]",Christian Ethics & the Sit-In
calculating,"[5, 3, 1, 0, 1, 22, 3, 13, 59, 0, 0, 0, 4, 0, 0, 0, 1, 0, 16, 0, 1, 7]",Christian Ethics & the Sit-In
its,"[0, 0]",Christian Ethics & the Sit-In
warfare,"[31, 2]",Christian Ethics & the Sit-In
heads,"[37, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 50, 20, 0, 0, 0, 0, 4, 14, 0, 73, 0, 0, 0, 0, 0, 0, 1, 1, 33, 16, 12, 5, 0, 0, 0, 0]",Christian Ethics & the Sit-In
illustration,"[23, 2, 10, 1, 0]",Christian Ethics & the Sit-In
order,"[0, 0, 0, 0, 0, 0, 34, 0, 1, 0, 0, 0, 1, 39, 72, 51, 17, 0, 0, 1, 3, 1, 0, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 70, 0, 0, 1, 21, 0]",Christian Ethics & the Sit-In
employing,"[5, 0, 1, 1, 0, 66, 7]",Christian Ethics & the Sit-In
non-violence,[],Christian Ethics & the Sit-In
recover,"[0, 0, 0, 0, 0, 55, 0, 1, 1]",Christian Ethics & the Sit-In
Code,"[0, 0, 0, 3, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
results,"[5, 0, 27, 16, 25, 10, 0, 0, 27, 0, 20, 6, 1, 6, 8, 8, 0, 32]",Christian Ethics & the Sit-In
because,[],Christian Ethics & the Sit-In
hard,"[0, 0, 0, 7, 33, 2, 0, 18, 0, 5, 0, 0, 0, 7, 0, 2, 25, 17, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
won,"[0, 3, 8, 5, 0, 0, 3, 16, 0, 0, 0, 0, 3, 0, 0]",Christian Ethics & the Sit-In
alteration,"[0, 0, 2, 34, 0]",Christian Ethics & the Sit-In
U.S.,"[0, 0, 0, 0, 0, 17, 14, 0, 0, 0, 0]",Christian Ethics & the Sit-In
non-violently,[],Christian Ethics & the Sit-In
We,[],Christian Ethics & the Sit-In
people,"[0, 2, 0, 0, 0, 102, 4]",Christian Ethics & the Sit-In
values,"[0, 0, 0, 1, 13, 0, 1, 1, 0, 1, 7, 17, 8, 0, 10, 1, 17]",Christian Ethics & the Sit-In
situation,"[1, 19, 16, 6, 0, 0, 2, 7, 72, 43]",Christian Ethics & the Sit-In
or,"[0, 0, 1, 1, 0, 0, 0]",Christian Ethics & the Sit-In
attacker,"[0, 1, 0, 0]",Christian Ethics & the Sit-In
victims,"[0, 4]",Christian Ethics & the Sit-In
ordinarily,"[0, 1, 1, 18, 0]",Christian Ethics & the Sit-In
often,"[3, 47, 0, 0, 0, 1, 111]",Christian Ethics & the Sit-In
Economy,"[0, 2, 2, 0]",Christian Ethics & the Sit-In
indivisible,[0],Christian Ethics & the Sit-In
questionable,"[0, 0, 0, 0]",Christian Ethics & the Sit-In
e.g.,"[0, 2, 0]",Christian Ethics & the Sit-In
far,"[0, 0, 0, 57, 0, 0]",Christian Ethics & the Sit-In
decisive,"[5, 4]",Christian Ethics & the Sit-In
object,"[4, 0, 5, 8, 3]",Christian Ethics & the Sit-In
explained,"[7, 5, 0]",Christian Ethics & the Sit-In
singled,[24],Christian Ethics & the Sit-In
never,"[0, 96]",Christian Ethics & the Sit-In
unlimited,"[2, 1, 0, 2, 0]",Christian Ethics & the Sit-In
attain,"[0, 0, 3, 0, 113, 1, 0, 1, 0, 1, 0, 0, 0, 5, 7, 21, 11]",Christian Ethics & the Sit-In
affirm,"[0, 2, 0, 0, 0, 2, 1, 0, 13, 3, 0, 0]",Christian Ethics & the Sit-In
we,[],Christian Ethics & the Sit-In
for,[],Christian Ethics & the Sit-In
law,"[0, 0, 0, 0, 24, 20, 0, 0, 0]",Christian Ethics & the Sit-In
lose,"[3, 0, 3, 1, 0, 0, 0, 0, 9, 0]",Christian Ethics & the Sit-In
enforced,"[0, 0, 7, 0, 2, 0]",Christian Ethics & the Sit-In
legitimate,"[2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
makes,"[1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 1, 17, 0, 163, 51, 0, 0, 6, 0, 0, 127, 21, 4, 0, 9, 0, 39, 0, 31, 0, 0, 4, 113, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 18, 11, 9, 0, 0, 0, 26, 2, 0, 1, 1, 5, 0, 0, 123, 0, 9, 0, 0, 0, 80, 492, 16]",Christian Ethics & the Sit-In
smooching,"[1, 0, 0, 0, 0, 0, 1, 1, 3, 0, 0]",Christian Ethics & the Sit-In
autonomy,"[0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
language,"[0, 0, 0, 1, 18, 0, 0, 1, 3, 0, 0, 0, 25]",Christian Ethics & the Sit-In
approval,"[2, 2, 0, 0, 0, 0]",Christian Ethics & the Sit-In
Both,[76],Christian Ethics & the Sit-In
within,"[25, 38]",Christian Ethics & the Sit-In
he,"[2, 486, 0, 1039]",Christian Ethics & the Sit-In
concerning,"[0, 11, 1, 0, 5, 3, 33, 1, 0, 8, 1, 0]",Christian Ethics & the Sit-In
doers,"[0, 0, 4]",Christian Ethics & the Sit-In
done,"[32, 46, 163, 1, 3, 0, 0, 0, 0, 0, 22, 0, 9, 25, 113, 0, 6, 1, 5, 0, 0, 18, 125, 84, 3, 0, 6]",Christian Ethics & the Sit-In
withdrawal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
Billions,"[0, 2, 0, 0, 0, 1, 0, 0, 0, 14]",Christian Ethics & the Sit-In
indicate,"[37, 4, 2, 44, 0, 5, 0, 7, 1]",Christian Ethics & the Sit-In
itself,[],Christian Ethics & the Sit-In
written,"[4, 0, 1, 14, 1, 0, 0, 0, 3, 10]",Christian Ethics & the Sit-In
Church,"[54, 0, 0, 0]",Christian Ethics & the Sit-In
state,"[0, 0, 0, 28, 0, 32, 49, 7, 39, 0, 5, 0, 0, 0, 0, 0, 0, 21, 70, 11]",Christian Ethics & the Sit-In
system,"[0, 0, 23, 1, 4, 8]",Christian Ethics & the Sit-In
sides,"[14, 19, 61, 0, 1, 5, 62]",Christian Ethics & the Sit-In
alike,"[15, 1, 2, 176]",Christian Ethics & the Sit-In
complicity,[0],Christian Ethics & the Sit-In
heart,"[0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 3, 0, 1, 15, 2, 0, 2, 5, 14, 0, 0, 0, 11, 1, 0, 3, 1, 23]",Christian Ethics & the Sit-In
is,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",Christian Ethics & the Sit-In
applied,"[0, 0, 0, 51, 1, 6, 0, 7, 0, 0, 66, 0, 17, 7]",Christian Ethics & the Sit-In
fashions,"[3, 8, 15, 6, 123, 0]",Christian Ethics & the Sit-In
defined,"[0, 46, 0, 2, 0, 0, 1, 1, 1, 2, 0]",Christian Ethics & the Sit-In
obviously,"[2, 10, 7, 3, 0, 9, 0]",Christian Ethics & the Sit-In
significant,"[2, 1, 32, 14, 21]",Christian Ethics & the Sit-In
demoralize,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
only,"[3, 211, 13, 25, 1, 3, 0, 409, 4, 115, 17, 11, 3, 0, 0]",Christian Ethics & the Sit-In
Here,"[96, 12, 0, 0]",Christian Ethics & the Sit-In
Hell,"[0, 0, 14, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0]",Christian Ethics & the Sit-In
local,"[0, 20, 0, 0, 0]",Christian Ethics & the Sit-In
intolerable,"[2, 0, 1]",Christian Ethics & the Sit-In
pushed,"[10, 0, 24, 8, 0, 1, 0, 0, 0, 0, 8, 11, 4, 14, 0, 11]",Christian Ethics & the Sit-In
themselves,[],Christian Ethics & the Sit-In
national,"[0, 4, 25, 8, 54]",Christian Ethics & the Sit-In
12,"[5, 0, 0, 14, 4]",Christian Ethics & the Sit-In
groups,"[30, 0, 1, 0, 0, 0]",Christian Ethics & the Sit-In
some,"[2, 0, 0, 0, 237, 6, 0, 85, 182]",Christian Ethics & the Sit-In
Christ-like,[],Christian Ethics & the Sit-In
occasion,"[6, 5, 0, 0, 0, 0]",Christian Ethics & the Sit-In
register,"[19, 0, 1, 2, 44, 21, 0, 0]",Christian Ethics & the Sit-In
limiting,"[7, 1, 1, 1, 1, 0, 0, 0, 0, 46, 1, 0, 1, 2, 5, 1, 0, 1, 0, 0]",Christian Ethics & the Sit-In
agreeing,"[0, 0, 0, 2, 0, 3, 0, 2, 1, 0, 8, 1, 1, 17, 6, 0]",Christian Ethics & the Sit-In
went,"[0, 0, 1, 0, 1, 25, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 33, 6, 0, 20, 0, 0, 6, 0, 0, 26, 90, 43, 127, 0, 0, 0, 0, 11, 17, 3, 0, 6, 19, 0, 8, 13, 0, 0, 0, 0, 3, 83, 12, 0, 123, 0, 0, 0, 19]",Christian Ethics & the Sit-In
disagree,"[0, 0, 5, 0, 0, 0]",Christian Ethics & the Sit-In
user,"[0, 0, 1, 0]",Christian Ethics & the Sit-In
surely,"[0, 0, 42, 16, 0, 9, 0]",Christian Ethics & the Sit-In
an,"[0, 0]",Christian Ethics & the Sit-In
virtual,"[6, 0]",Christian Ethics & the Sit-In
limitation,"[0, 2, 1]",Christian Ethics & the Sit-In
anyone,[],Christian Ethics & the Sit-In
all,"[13, 24, 352, 6, 2, 2, 28]",Christian Ethics & the Sit-In
partly,"[47, 6, 6]",Christian Ethics & the Sit-In
Section,"[47, 3, 0, 12, 2, 1, 0, 0, 0, 4]",Christian Ethics & the Sit-In
ready,"[46, 0, 4, 113, 0, 9, 0, 21, 1]",Christian Ethics & the Sit-In
provision,"[8, 4, 1, 3, 2, 1, 0]",Christian Ethics & the Sit-In
go,"[0, 0, 1, 0, 1, 25, 0, 0, 0, 0, 0, 0, 1, 11, 0, 0, 0, 0, 0, 5, 33, 6, 0, 20, 0, 0, 3, 6, 0, 19, 0, 26, 90, 43, 127, 0, 0, 3, 0, 0, 37, 0, 0, 11, 17, 3, 0, 6, 1, 19, 0, 0, 8, 13, 0, 0, 0, 0, 3, 0, 0, 83, 0, 12, 0, 123, 0, 0, 0, 0, 19, 2]",Christian Ethics & the Sit-In
just,"[134, 211, 13, 11, 25, 7, 115, 4, 1, 15, 409, 4, 5, 1, 11, 0]",Christian Ethics & the Sit-In
R.,[],Christian Ethics & the Sit-In
love,"[0, 1, 0, 0, 0, 0, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49, 1, 8, 4, 0, 0, 0, 0, 3, 0, 0, 0, 2, 129, 0, 0, 0, 0]",Christian Ethics & the Sit-In
balance,"[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1]",Christian Ethics & the Sit-In
States,"[0, 0, 0, 28, 0, 32, 49, 7, 39, 0, 5, 0, 0, 0, 0, 0, 0, 21, 70, 11]",Christian Ethics & the Sit-In
own,"[0, 492, 4, 111]",Christian Ethics & the Sit-In
a,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
indirectly,[3],Christian Ethics & the Sit-In
importation,"[0, 3, 0]",Christian Ethics & the Sit-In
one,"[0, 0, 0, 5, 24, 0, 0, 29, 0, 0, 786, 0, 3, 321, 0, 1, 0]",Christian Ethics & the Sit-In
especially,"[0, 0, 14, 11]",Christian Ethics & the Sit-In
position,"[1, 1, 0, 4, 0, 1, 7, 0, 46, 61, 29, 0, 18, 0, 72, 43, 51, 6, 0, 0, 0, 0, 17, 0, 19, 16, 1, 4]",Christian Ethics & the Sit-In
sounder,"[134, 4, 0, 25, 0, 0, 0, 18, 0, 4, 0, 4, 0, 0]",Christian Ethics & the Sit-In
unexpectedly,"[0, 0, 2, 0, 1]",Christian Ethics & the Sit-In
Action,"[0, 8, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 52, 0, 0, 12, 0]",Christian Ethics & the Sit-In
those,[],Christian Ethics & the Sit-In
interpenetrates,"[0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
morality,"[0, 3, 0, 0]",Christian Ethics & the Sit-In
moment,"[5, 13, 3, 0, 24, 0, 40, 6, 45, 0]",Christian Ethics & the Sit-In
author,"[1, 4, 3, 5]",Christian Ethics & the Sit-In
opposition,"[0, 5, 9, 4, 1, 14, 0, 1, 0, 1]",Christian Ethics & the Sit-In
directed,"[37, 4, 0, 4, 0, 0, 3, 2, 0, 0, 20, 0, 7, 10, 1, 72, 0, 73, 0, 0, 6, 16, 5, 0, 0, 80, 4]",Christian Ethics & the Sit-In
re-establish,[],Christian Ethics & the Sit-In
entire,"[14, 0, 1, 1, 24, 22]",Christian Ethics & the Sit-In
once,"[0, 0, 0, 0, 53, 0, 0]",Christian Ethics & the Sit-In
well,"[134, 5, 4, 20, 0, 0, 82, 1, 2, 1, 0]",Christian Ethics & the Sit-In
inhuman,"[0, 0, 0, 15]",Christian Ethics & the Sit-In
actions,"[0, 8, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 52, 0, 0, 12, 0]",Christian Ethics & the Sit-In
directly,"[10, 16, 3, 0, 0, 129, 0, 1, 0, 0, 12, 16, 12]",Christian Ethics & the Sit-In
aim,"[37, 4, 0, 5, 2, 0, 3, 0, 0, 1, 4, 7, 72, 0, 7, 0, 8, 11, 16, 123, 11, 3, 80, 18]",Christian Ethics & the Sit-In
require,"[0, 5, 54, 2, 80, 0, 15, 22, 6, 14, 0, 51]",Christian Ethics & the Sit-In
states,"[0, 0, 0, 28, 0, 32, 49, 7, 39, 0, 5, 0, 0, 0, 0, 0, 0, 21, 70, 11]",Christian Ethics & the Sit-In
Rogers,"[0, 0, 0, 0, 0, 0, 4]",Christian Ethics & the Sit-In
social,"[15, 0, 0, 0]",Christian Ethics & the Sit-In
set,"[0, 0, 13, 0, 0, 0, 0, 0, 1, 0, 1, 0, 46, 0, 0, 0, 8, 0, 10, 163, 7, 0, 0, 0, 29, 0, 0, 0, 21, 0, 2, 0, 0, 72, 51, 1, 6, 0, 2, 6, 12, 1, 8, 0, 0, 0, 4, 0, 2, 19, 2, 1, 0, 7, 19, 0, 0, 0, 0, 9, 10]",Christian Ethics & the Sit-In
convict,"[0, 0, 0, 0, 1]",Christian Ethics & the Sit-In
justify,"[0, 5, 0, 0, 0, 22, 0, 3, 0, 3]",Christian Ethics & the Sit-In
however,"[1, 47, 0, 3, 6, 103, 35, 0, 0]",Christian Ethics & the Sit-In
desired,"[22, 0, 16, 0, 0, 7, 1, 1, 51]",Christian Ethics & the Sit-In
justifying,"[0, 5, 0, 0, 0, 22, 0, 3, 0, 3]",Christian Ethics & the Sit-In
considerable,[6],Christian Ethics & the Sit-In
out,"[0, 309, 1, 2, 0, 0, 0, 0, 0, 0, 0, 4, 40, 0, 0]",Christian Ethics & the Sit-In
",",[],Christian Ethics & the Sit-In
usual,"[8, 20]",Christian Ethics & the Sit-In
brutal,"[5, 1, 0, 0, 0, 1, 1, 20, 0, 0, 0, 3]",Christian Ethics & the Sit-In
